Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Lane Adams,23,44,177,156,30,38,7,1,5,26,15,0,18,45,.244,.333,.397,.731,62,2,3,0,0,0,,1
Jorge Bonifacio,20,25,105,93,15,28,7,0,2,19,2,1,11,23,.301,.371,.441,.812,41,1,0,0,1,1,,1
Orlando Calixte,21,123,536,484,59,121,25,4,8,36,14,11,42,131,.250,.312,.368,.680,178,15,3,4,3,2,,1
Mitch Canham*,28,91,341,291,41,76,21,4,2,26,12,7,46,54,.261,.360,.381,.741,111,5,0,2,2,2,,0
Cheslor Cuthbert,20,64,264,237,25,51,16,0,6,28,5,2,20,51,.215,.279,.359,.637,85,6,2,2,3,2,,1
Brett Eibner,24,114,504,441,74,107,17,9,19,41,7,3,53,149,.243,.330,.451,.781,199,6,6,1,3,0,,1
Matt Fields#,27,131,524,454,68,101,17,1,31,87,6,6,60,181,.222,.324,.469,.794,213,7,9,0,1,5,,0
Brian Fletcher,24,52,221,207,37,65,9,1,12,37,6,2,13,41,.314,.353,.541,.894,112,7,0,0,1,1,,0
Angel Franco#,23,83,309,282,27,83,13,3,4,27,7,7,19,41,.294,.338,.404,.742,114,8,0,7,1,2,,0
Juan Graterol,24,56,195,182,17,52,6,0,3,17,3,0,6,22,.286,.314,.368,.682,67,7,2,4,1,0,,1
Román Hernández,25,86,299,271,20,71,12,2,1,23,5,6,23,66,.262,.323,.332,.655,90,7,2,2,1,4,,0
Alex Llanos,22,9,32,31,1,6,1,0,0,0,0,0,0,14,.194,.219,.226,.445,7,0,1,0,0,0,,0
Alex McClure#,24,50,179,164,13,35,7,0,0,12,4,3,8,33,.213,.250,.256,.506,42,4,1,3,3,0,,0
Whit Merrifield,24,94,353,322,31,87,20,5,3,43,17,7,22,57,.270,.319,.391,.710,126,14,2,5,2,0,,1
Rey Navarro#,23,119,481,446,61,126,21,4,12,58,6,6,19,54,.283,.310,.428,.738,191,13,2,7,7,1,,1
Manny Pina,26,58,214,199,19,44,13,0,5,25,0,1,11,30,.221,.268,.362,.629,72,8,2,1,1,0,,1
Yem Prades,25,84,323,306,37,59,9,1,6,22,6,3,12,71,.193,.223,.288,.510,88,8,1,0,4,0,,0
Edinson Rincon,22,13,53,52,3,8,1,0,0,3,0,0,1,12,.154,.170,.173,.343,9,2,0,0,0,0,,0
Carlo Testa*,26,13,46,38,5,6,0,0,1,1,3,1,8,14,.158,.304,.237,.541,9,0,0,0,0,0,,0
19 Players,24.0,140,5156,4656,583,1164,222,35,120,531,118,66,392,1089,.250,.311,.390,.701,1816,120,36,38,34,20,,0
