Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Justin Bianco*,20,3,14,12,1,3,1,0,0,0,0,1,2,6,.250,.357,.333,.690,4,0,0,0,0,0,,0
Brian Billigen*,23,56,216,188,25,41,10,3,2,21,4,1,15,50,.218,.308,.335,.644,63,0,10,2,1,0,,0
Cesar Carrasco,19,26,110,98,9,23,3,0,0,6,0,0,9,16,.235,.300,.265,.565,26,7,1,0,2,0,,0
William Castillo,20,21,57,50,1,7,2,0,0,3,0,1,4,16,.140,.204,.180,.384,9,1,0,3,0,0,,0
Denver Chavez#,23,8,29,25,1,6,3,0,0,7,2,0,2,9,.240,.321,.360,.681,9,0,1,1,0,0,,0
Zach Esquerra,22,46,202,184,22,52,10,3,8,33,1,0,15,62,.283,.347,.500,.847,92,4,3,0,0,2,,0
Ryan Gebhardt,21,69,280,252,22,65,13,1,0,19,5,5,18,27,.258,.308,.317,.625,80,7,2,4,4,1,,0
Yosbel Gutierrez,20,34,138,125,24,27,8,2,1,15,3,0,5,34,.216,.270,.336,.606,42,7,5,1,2,0,,0
Ryan Kinsella*,21,30,108,92,7,22,8,0,1,5,0,0,13,29,.239,.333,.359,.692,33,1,1,0,2,0,,0
John Leonard,21,33,109,95,7,16,1,1,0,3,0,2,9,25,.168,.238,.200,.438,19,3,0,4,1,0,,0
Ty Linton,22,22,82,75,7,16,1,0,3,11,0,0,5,27,.213,.268,.347,.615,26,1,1,0,1,0,,0
Wagner Mateo*,20,9,33,32,2,5,2,0,0,3,0,0,1,13,.156,.182,.219,.401,7,1,0,0,0,0,,0
Randy McCurry,23,55,222,199,13,43,7,0,0,21,0,1,15,37,.216,.269,.251,.521,50,6,1,3,4,0,,0
Grant Nelson,21,13,47,41,4,6,0,0,0,3,0,0,6,14,.146,.255,.146,.402,6,2,0,0,0,0,,0
Daniel Palka*,21,12,55,47,10,16,1,2,2,10,1,0,7,16,.340,.418,.574,.993,27,1,0,0,1,1,,1
Jordan Parr,22,46,182,159,18,36,8,2,2,18,10,1,18,32,.226,.311,.340,.651,54,7,2,2,1,1,,0
Josh Parr,23,19,76,64,9,17,3,1,2,7,5,1,10,14,.266,.373,.438,.811,28,1,1,1,0,0,,0
Yogey Pérez-Ramos*,24,67,296,261,35,82,16,3,0,24,15,4,25,39,.314,.382,.398,.781,104,4,5,3,2,0,,0
Taylor Ratliff*,21,59,257,216,35,46,5,0,0,7,21,3,34,56,.213,.328,.236,.564,51,1,3,4,0,1,,0
George Roberts,23,57,244,215,34,54,8,1,7,33,3,0,17,50,.251,.326,.395,.722,85,8,8,2,2,0,,0
Elvin Soto#,21,45,173,153,12,32,9,1,1,7,3,0,15,41,.209,.288,.301,.589,46,0,2,3,0,0,,0
21 Players,21.8,76,2930,2583,298,615,119,20,29,256,73,20,245,613,.238,.313,.333,.646,861,62,46,33,23,6,,0
