Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Dylan Axelrod,29,22,20,16,0,3,1,0,0,0,1,0,0,7,.188,.188,.250,.438,4,1,0,4,0,0,,1
Tucker Barnhart*,24,5,18,16,0,5,3,0,0,2,0,0,1,4,.313,.333,.500,.833,8,0,0,0,1,0,,1
Joel Bender*,23,4,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0
Nick Benedetto,22,7,12,11,0,1,0,0,0,0,0,0,1,6,.091,.167,.091,.258,1,0,0,0,0,0,,0
Chris Berset#,27,45,163,142,10,31,7,0,0,14,0,1,11,25,.218,.285,.268,.552,38,5,3,5,2,1,,0
Brennan Boesch*,30,51,208,187,17,61,9,0,4,30,0,2,19,41,.326,.386,.439,.825,82,2,0,1,1,5,,1
Jason Bourgeois,33,14,60,55,8,17,2,1,0,7,1,1,3,5,.309,.356,.382,.738,21,1,1,1,0,0,,1
Sean Buckley,25,11,39,34,4,7,1,1,0,1,0,0,4,8,.206,.308,.294,.602,10,1,1,0,0,0,,0
Matt Buschmann,31,9,6,6,0,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,1,0,0,0,0,0,,1
Daniel Cabrera,34,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1
Ramon Cabrera#,25,86,351,317,29,92,14,0,2,35,1,1,27,44,.290,.343,.353,.696,112,10,0,4,3,0,,1
Nick Christiani,27,22,2,2,0,1,1,0,0,2,0,0,0,1,.500,.500,1.000,1.500,2,0,0,0,0,0,,1
Tony Cingrani*,25,9,2,2,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0,0,0,0,0,,1
Jose Constanza*,31,41,139,125,16,32,4,2,0,14,6,4,12,16,.256,.321,.320,.641,40,7,0,2,0,1,,1
Jermaine Curtis,27,74,260,227,30,62,10,0,2,20,5,1,21,25,.273,.362,.344,.705,78,4,11,0,1,0,,1
Ivan De Jesus,28,50,209,185,22,56,9,3,0,16,2,1,22,43,.303,.378,.384,.762,71,8,1,0,1,1,,1
Jose De La Torre,29,51,4,4,0,1,0,0,0,0,0,1,0,1,.250,.250,.250,.500,1,0,0,0,0,0,,1
