Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Stephen Alemais,21,11,42,37,2,7,1,1,0,2,1,3,2,11,.189,.244,.270,.514,10,2,1,1,1,0,,0
Daniel Arribas,23,127,508,426,54,109,20,4,11,49,9,3,58,103,.256,.360,.399,.759,170,11,13,8,3,1,,0
John Bormann,23,52,196,177,22,43,9,1,2,20,0,0,11,20,.243,.286,.339,.625,60,3,1,4,3,0,,1
Tyler Filliben,23,70,247,221,22,38,8,3,1,20,4,5,12,52,.172,.241,.249,.490,55,7,9,2,3,0,,0
Jordan George#,23,34,132,105,15,34,13,0,0,10,4,2,24,22,.324,.455,.448,.902,47,3,2,0,1,0,,0
Ke'Bryan Hayes,19,65,276,247,27,65,12,1,6,37,6,5,16,51,.263,.319,.393,.711,97,5,6,3,4,1,,1
Raul Hernandez,20,11,40,40,1,6,3,0,0,5,0,0,0,5,.150,.150,.225,.375,9,0,0,0,0,0,,0
Logan Hill,23,93,371,335,45,85,19,5,11,40,13,6,29,97,.254,.323,.439,.762,147,11,6,0,1,0,,0
Casey Hughston*,22,102,441,400,49,76,11,7,11,35,16,8,30,154,.190,.251,.335,.586,134,4,3,6,2,2,,0
Christian Kelley,22,77,294,259,26,61,12,0,2,28,0,5,25,55,.236,.310,.305,.615,79,5,4,4,2,1,,0
Ty Moore*,22,22,88,77,8,15,5,0,0,6,0,1,6,11,.195,.256,.260,.516,20,3,1,2,2,0,,0
Carlos Munoz*,22,126,525,452,54,118,28,4,7,67,2,4,51,54,.261,.341,.387,.728,175,4,8,6,8,0,,0
Ryan Nagle*,21,111,442,396,35,98,20,1,2,42,8,5,36,69,.247,.310,.318,.628,126,12,2,3,5,3,,0
Tito Polo,21,54,251,225,46,68,14,3,12,37,20,10,13,47,.302,.368,.551,.919,124,3,11,1,1,0,,0
Logan Ratledge,23,87,343,301,40,72,14,0,4,23,24,11,18,48,.239,.304,.326,.630,98,2,11,11,2,0,,0
Alfredo Reyes,22,97,352,312,34,62,7,2,3,25,28,2,26,97,.199,.262,.263,.525,82,6,1,12,1,0,,0
Mitchell Tolman*,22,119,524,434,65,115,20,1,8,48,10,13,71,68,.265,.370,.371,.741,161,5,6,5,8,2,,0
Cole Tucker#,19,15,67,61,9,16,4,2,1,2,1,1,4,9,.262,.308,.443,.750,27,1,0,2,0,0,,1
18 Players,22.0,139,5139,4505,554,1088,220,35,81,496,146,84,432,973,.242,.317,.360,.676,1621,87,85,70,47,10,,0
