Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Trey Amburgey,21,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1
Yancarlos Baez#,20,14,53,49,3,7,0,0,0,2,3,0,3,20,.143,.189,.143,.332,7,1,0,0,1,0,,0
Lisandro Blanco,19,26,99,81,7,9,3,0,1,6,1,1,17,36,.111,.265,.185,.450,15,2,0,1,0,0,,0
Aaron Bossi,22,22,64,57,9,19,5,0,1,4,0,0,6,6,.333,.391,.474,.864,27,1,0,0,1,0,,0
Oswaldo Cabrera#,17,7,34,33,9,15,6,0,2,6,1,1,1,2,.455,.471,.818,1.289,27,1,0,0,0,0,,0
Yeison Corredera,22,40,151,140,15,29,4,1,2,13,3,2,9,30,.207,.258,.293,.551,41,2,1,0,1,0,,0
Frederick Cuevas*,18,9,27,26,3,6,1,0,0,1,0,1,1,5,.231,.259,.269,.528,7,1,0,0,0,0,,0
Brayan Emery*,18,32,125,106,8,22,2,0,1,5,3,3,18,32,.208,.328,.255,.583,27,1,1,0,0,0,,0
Jesus Graterol,19,37,146,133,17,35,6,1,0,9,3,4,8,33,.263,.322,.323,.645,43,2,4,0,1,0,,0
Ryan Krill*,23,1,5,4,2,2,1,0,1,3,0,0,1,0,.500,.600,1.500,2.100,6,0,0,0,0,0,,0
Ozzie Liranzo#,23,15,53,47,8,19,2,0,1,8,0,1,4,3,.404,.442,.511,.953,24,1,0,1,1,0,,0
Edel Luaces,22,50,200,174,23,42,11,6,5,26,4,3,23,79,.241,.340,.460,.800,80,0,3,0,0,1,,0
Tim Lynch*,23,18,67,56,9,16,7,1,1,9,0,0,10,8,.286,.403,.500,.903,28,0,1,0,0,0,,0
Algeni Mateo,20,31,99,95,4,22,4,1,0,10,0,2,3,7,.232,.263,.295,.557,28,3,1,0,0,0,,0
Erick Mendez,20,26,110,98,15,29,10,1,3,26,2,2,9,31,.296,.373,.510,.883,50,2,3,0,0,0,,0
Jose Polonia,20,23,80,78,4,16,1,0,0,4,4,0,2,12,.205,.225,.218,.443,17,3,0,0,0,0,,0
Terrance Robertson*,19,22,80,62,22,16,2,2,0,5,10,3,18,18,.258,.425,.355,.780,22,0,0,0,0,0,,0
Brayan Rodriguez,19,27,67,63,3,14,4,0,0,4,0,0,2,18,.222,.269,.286,.554,18,2,2,0,0,0,,0
Yonauris Rodriguez,19,44,138,131,8,23,5,1,0,6,5,3,5,32,.176,.212,.229,.441,30,2,1,1,0,0,,0
Donny Sands,20,1,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,,0
Jordan Scott#,19,46,188,163,19,34,5,1,5,17,9,5,18,40,.209,.305,.344,.648,56,1,5,1,1,0,,0
Ronaldo Suarez,18,14,25,22,1,1,1,0,0,1,0,0,1,8,.045,.125,.091,.216,2,0,1,1,0,0,,0
Pedro Urena,21,18,66,59,5,15,5,0,1,6,0,0,5,15,.254,.318,.390,.708,23,0,1,0,1,0,,0
Brandon Wagner*,20,29,120,106,16,30,7,1,5,17,0,3,12,18,.283,.367,.509,.876,54,5,2,0,0,0,,0
Mason Williams*,24,1,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,1,0,0,0,0,,1
25 Players,20.0,56,2008,1794,210,422,92,16,29,188,48,34,176,456,.235,.312,.353,.664,633,31,26,5,7,1,,0
