Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Miguel Andujar,22,67,272,253,30,79,23,1,7,52,2,3,12,38,.312,.342,.494,.836,125,7,2,0,5,0,,1
Tyler Austin,25,5,17,14,5,6,1,2,0,1,0,0,2,2,.429,.529,.786,1.315,11,0,1,0,0,0,,1
Abiatal Avelino,22,69,249,230,35,62,12,4,3,28,4,0,14,33,.270,.315,.396,.710,91,4,2,1,2,0,,1
Dante Bichette,24,72,281,244,27,64,8,1,4,33,0,1,35,49,.262,.352,.352,.705,86,13,0,0,2,1,,0
Devyn Bolasky*,24,43,159,143,18,31,6,3,0,17,1,0,11,31,.217,.276,.301,.576,43,5,1,3,1,0,,0
Wilkin Castillo#,33,14,47,43,6,9,4,0,1,3,0,0,3,2,.209,.261,.372,.633,16,4,0,1,0,0,,1
Starlin Castro,27,2,7,7,0,2,1,0,0,0,0,0,0,2,.286,.286,.429,.714,3,0,0,0,0,0,,1
Jake Cave*,24,31,140,128,19,34,13,2,5,18,1,0,10,33,.266,.317,.516,.832,66,4,0,1,1,0,,1
Vicente Conde,23,31,102,83,12,11,4,0,1,11,1,0,16,31,.133,.287,.217,.504,18,2,2,1,0,0,,0
Garrett Cooper,26,6,23,20,5,8,1,0,1,2,0,0,3,6,.400,.478,.600,1.078,12,0,0,0,0,0,,1
Rashad Crawford*,23,106,419,376,57,79,13,4,5,32,16,4,28,92,.210,.268,.306,.574,115,6,3,9,3,0,,0
Francisco Diaz#,27,46,172,158,17,36,5,0,0,14,0,0,10,24,.228,.276,.259,.536,41,3,1,2,1,0,,0
Thairo Estrada,21,122,542,495,72,149,19,4,6,48,8,11,34,56,.301,.353,.392,.745,194,8,8,1,4,0,,1
Billy Fleming,24,76,289,259,41,66,12,3,9,51,3,2,19,35,.255,.308,.429,.737,111,6,4,0,7,1,,0
Mike Ford*,24,101,417,335,61,91,19,1,13,65,1,0,76,56,.272,.410,.451,.861,151,10,4,0,2,5,,1
Jeff Hendrix*,23,32,140,120,12,40,3,1,0,3,5,1,13,25,.333,.417,.375,.792,45,1,5,1,1,0,,0
Aaron Hicks#,27,2,9,8,3,2,1,0,1,2,0,0,1,1,.250,.333,.750,1.083,6,0,0,0,0,0,,1
Jhalan Jackson,24,29,103,86,11,26,5,1,3,12,1,2,14,27,.302,.417,.488,.906,42,0,3,0,0,0,,0
Jorge Mateo,22,30,140,120,26,36,9,3,4,26,11,7,15,32,.300,.381,.525,.906,63,0,2,1,2,0,,1
Ryan McBroom,25,38,156,140,11,36,5,0,4,16,1,1,13,35,.257,.327,.379,.705,53,7,2,0,1,0,,1
Billy McKinney*,22,69,276,232,34,58,16,4,6,29,2,1,30,45,.250,.339,.431,.770,100,6,5,2,7,0,,1
Sharif Othman*,28,15,52,51,4,14,2,0,2,5,0,0,1,12,.275,.288,.431,.720,22,1,0,0,0,0,,0
Mark Payton*,25,14,59,56,6,10,1,3,0,1,0,1,2,16,.179,.203,.304,.507,17,2,0,0,1,0,,1
Tito Polo,22,14,64,55,14,21,4,1,1,17,7,1,6,8,.382,.460,.545,1.006,30,0,2,1,0,0,,0
Jorge Saez,26,67,240,201,32,50,8,0,9,34,1,0,33,63,.249,.350,.423,.773,85,4,1,0,5,0,,0
Matt Snyder*,27,3,12,12,0,2,0,0,0,1,0,0,0,3,.167,.167,.167,.333,2,0,0,0,0,0,,0
Nick Solak,22,30,132,119,16,34,9,1,2,9,1,1,10,24,.286,.344,.429,.772,51,2,1,1,1,0,,1
Gleyber Torres,20,32,139,121,22,33,10,1,5,18,5,4,17,21,.273,.367,.496,.863,60,4,1,0,0,0,,1
Wes Wilson,27,6,20,20,0,1,0,0,0,0,0,0,0,8,.050,.050,.050,.100,1,2,0,0,0,0,,0
Zack Zehner,24,128,501,431,63,112,23,4,11,68,8,3,64,125,.260,.355,.408,.764,176,10,1,3,2,0,,0
30 Players,23.4,140,5179,4560,659,1202,237,44,103,616,79,43,492,935,.264,.339,.403,.741,1836,111,51,28,48,7,,0
