Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Russell Martin,34,91,365,307,49,68,12,0,13,35,1,2,50,83,.221,.343,.388,.731,95,119,13,7,1,0,0,1
1B,Justin Smoak#,30,158,637,560,85,151,29,1,38,90,0,1,73,128,.270,.355,.529,.883,131,296,17,2,0,2,3,1
2B,Darwin Barney,31,129,362,336,34,78,14,0,6,25,7,2,18,64,.232,.275,.327,.602,60,110,13,2,5,1,0,1
SS,Ryan Goins*,29,143,459,418,37,99,21,1,9,62,3,2,31,96,.237,.286,.356,.643,70,149,14,0,5,5,0,1
3B,Josh Donaldson,31,113,496,415,65,112,21,0,33,78,2,2,76,111,.270,.385,.559,.944,148,232,5,3,0,2,1,1
LF,Steve Pearce,34,92,348,313,38,79,17,1,13,37,0,0,27,68,.252,.319,.438,.757,99,137,11,5,0,3,1,1
CF,Kevin Pillar,28,154,632,587,72,150,37,1,16,42,15,6,33,95,.256,.300,.404,.704,86,237,13,6,3,3,0,1
RF,Jose Bautista,36,157,686,587,92,119,27,0,23,65,6,3,84,170,.203,.308,.366,.674,79,215,16,8,0,7,3,1
DH,Kendrys Morales#,34,150,608,557,67,139,25,0,28,85,0,0,43,132,.250,.308,.445,.753,98,248,22,5,0,3,2,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
LF,Ezequiel Carrera*,30,131,325,287,38,81,10,1,8,20,10,1,30,75,.282,.356,.408,.764,104,117,4,3,5,0,0,1
SS,Troy Tulowitzki,32,66,260,241,16,60,10,0,7,26,0,1,17,40,.249,.300,.378,.678,80,91,10,1,0,1,1,1
2B,Devon Travis,26,50,197,185,22,48,18,0,5,24,4,2,7,38,.259,.291,.438,.729,91,81,5,2,1,2,0,1
C,Luke Maile,26,46,136,130,10,19,5,0,2,7,1,0,3,35,.146,.176,.231,.407,8,30,2,2,0,1,0,1
C,Miguel Montero*,33,32,101,87,12,12,3,0,2,8,0,0,12,23,.138,.248,.241,.489,32,21,3,1,0,1,0,1
LF,Teoscar Hernandez,24,26,95,88,16,23,6,0,8,20,0,1,6,36,.261,.305,.602,.908,133,53,0,0,0,1,0,1
UT,Chris Coghlan*,32,36,88,75,7,15,2,0,1,5,0,0,9,22,.200,.299,.267,.566,53,20,2,2,1,1,0,1
SS,Richard Urena#,21,21,75,68,6,14,4,0,1,4,1,0,6,28,.206,.270,.309,.579,54,21,0,0,1,0,0,1
C,Rafael Lopez*,29,24,63,54,9,12,1,0,4,12,0,0,7,21,.222,.306,.463,.769,101,25,1,0,0,1,0,1
2B,Rob Refsnyder,26,32,58,51,5,10,1,0,0,0,2,1,5,9,.196,.281,.216,.496,36,11,2,1,0,0,1,1
OF,Nori Aoki*,35,12,34,32,4,9,1,0,3,8,0,0,1,5,.281,.294,.594,.888,128,19,0,0,0,1,0,1
OF,Dwight Smith Jr.*,24,12,29,27,2,10,2,0,0,1,1,0,1,10,.370,.414,.444,.858,130,12,0,1,0,0,0,1
C,Jarrod Saltalamacchia#,32,10,26,25,1,1,0,0,0,0,0,0,1,16,.040,.077,.040,.117,-67,1,0,0,0,0,0,1
