Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Juan Carlos Abreu,20,33,126,100,15,24,3,4,0,11,5,2,19,38,.240,.371,.350,.721,35,1,3,2,2,0,,0
Jecorrah Arnold,18,25,84,66,6,13,0,0,1,12,1,0,7,19,.197,.337,.242,.580,16,0,8,1,2,0,,0
Ramfis Berroa,21,27,107,95,11,26,3,1,3,16,3,0,9,38,.274,.346,.421,.767,40,2,2,0,1,1,,0
Cole Brannen*,18,39,168,134,23,31,2,0,0,7,9,1,30,37,.231,.383,.246,.630,33,2,3,1,0,0,,0
Marino Campana,19,9,42,36,3,9,2,0,0,4,0,0,4,6,.250,.333,.306,.639,11,0,1,0,1,1,,0
Pedro Castellanos,19,52,208,186,27,63,14,1,2,30,0,0,10,15,.339,.385,.457,.842,85,11,7,0,5,1,,0
C.J. Chatham,22,6,18,16,5,5,0,0,1,3,0,0,2,1,.313,.389,.500,.889,8,0,0,0,0,0,,0
Andre Colon,18,34,128,99,14,26,4,0,0,10,1,2,14,22,.263,.422,.303,.725,30,2,14,0,1,0,,0
Eduard Conde*,19,10,32,29,4,6,2,0,0,4,0,0,2,5,.207,.258,.276,.534,8,1,0,1,0,0,,0
Ricardo Cubillan#,19,34,130,96,21,26,0,0,0,11,6,1,30,20,.271,.444,.271,.715,26,3,0,4,0,0,,0
Bobby Dalbec,22,7,32,27,3,7,1,0,0,2,1,0,5,9,.259,.375,.296,.671,8,1,0,0,0,0,,1
Tyler Dearden*,18,28,94,74,9,19,5,0,2,15,1,1,14,28,.257,.409,.405,.814,30,3,5,1,0,1,,0
Jerry Downs*,23,11,43,32,7,6,3,0,0,3,0,0,3,8,.188,.349,.281,.630,9,0,6,0,2,0,,0
David Durden,18,30,106,91,7,20,1,0,0,9,1,0,6,33,.220,.311,.231,.542,21,1,7,0,2,0,,0
Tyler Esplin*,17,22,94,85,16,23,4,0,2,11,1,0,7,26,.271,.340,.388,.729,33,1,2,0,0,1,,0
Trey Ganns*,21,13,38,33,3,8,1,0,0,3,2,1,4,12,.242,.342,.273,.615,9,3,1,0,0,0,,0
Beau Hanna,18,3,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,0,0,0,,0
Chad Hardy,20,1,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,,0
Juan Hernandez*,21,13,27,24,5,4,1,0,0,1,0,0,2,6,.167,.231,.208,.439,5,0,0,1,0,0,,0
Xavier LeGrant,20,11,30,26,2,3,1,0,0,0,0,0,3,10,.115,.233,.154,.387,4,0,1,0,0,0,,0
Everlouis Lozada#,18,44,180,159,26,50,9,2,0,20,6,4,18,27,.314,.383,.396,.780,63,4,1,0,2,0,,0
Alan Marrero,19,24,85,75,12,15,3,0,2,8,0,0,6,28,.200,.294,.320,.614,24,2,4,0,0,0,,0
Michael Osinski,21,3,12,9,1,2,0,0,0,0,1,0,1,2,.222,.417,.222,.639,2,1,2,0,0,0,,0
Carlos Pulido#,19,11,27,20,2,2,0,0,0,4,0,0,6,4,.100,.333,.100,.433,2,0,1,0,0,0,,0
Eddy Reynoso,22,9,31,27,3,5,3,0,1,5,0,0,4,1,.185,.290,.407,.698,11,1,0,0,0,0,,0
Jagger Rusconi#,20,7,30,26,5,8,3,0,0,3,2,0,4,10,.308,.400,.423,.823,11,0,0,0,0,0,,0
Alberto Schmidt,20,16,52,37,2,4,0,0,0,4,0,0,10,11,.108,.353,.108,.461,4,2,4,1,0,0,,0
Zach Sterry*,23,5,17,16,0,3,0,0,0,1,0,0,0,6,.188,.235,.188,.423,3,1,1,0,0,0,,0
Kervin Suarez#,18,47,210,190,33,52,9,1,2,13,11,1,17,47,.274,.335,.363,.698,69,0,1,1,1,0,,0
Blake Swihart#,25,9,38,30,6,5,2,0,0,2,2,0,8,8,.167,.342,.233,.575,7,0,0,0,0,0,,1
30 Players,19.1,58,2199,1848,271,465,76,9,16,212,53,13,245,483,.252,.359,.328,.687,607,42,74,13,19,5,,0
