Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Tate Blackman,22,49,197,163,27,40,10,1,5,23,1,0,24,39,.245,.359,.411,.770,67,2,6,2,2,0,,0
Nolan Brown*,23,46,195,173,28,57,6,1,1,18,7,3,12,30,.329,.376,.393,.769,68,2,1,9,0,0,,0
Jacob Cooper,21,30,117,103,11,30,4,2,3,13,2,0,7,36,.291,.365,.456,.822,47,1,5,2,0,0,,0
David Cronin*,22,26,98,89,25,27,2,0,0,11,5,1,5,7,.303,.354,.326,.680,29,1,2,2,0,0,,0
Luis Curbelo,19,3,17,14,4,6,1,0,1,2,0,0,1,4,.429,.529,.714,1.244,10,0,2,0,0,0,,0
Craig Dedelow*,22,60,273,249,40,80,21,3,12,54,5,3,12,39,.321,.353,.574,.927,143,3,3,4,5,1,,0
Sam Dexter,23,1,5,5,1,1,0,0,0,1,0,0,0,1,.200,.200,.200,.400,1,0,0,0,0,0,,0
Mikey Duarte,23,2,8,7,1,1,0,0,0,1,0,0,1,1,.143,.250,.143,.393,1,1,0,0,0,0,,0
Max Dutto*,23,55,227,171,30,29,6,2,4,21,2,4,51,71,.170,.358,.298,.657,51,1,1,1,3,0,,0
Tyler Frost*,21,32,160,142,24,37,7,5,4,26,2,0,13,33,.261,.335,.465,.800,66,1,3,2,0,0,,0
Luis Gonzalez*,21,4,22,17,3,2,1,0,0,3,0,0,4,3,.118,.286,.176,.462,3,0,0,1,0,1,,1
Tracy Hadley,22,29,128,112,18,30,9,0,2,18,0,1,12,30,.268,.359,.402,.761,45,3,4,0,0,1,,0
Felix Mercedes,20,13,53,41,9,11,3,0,1,6,0,0,7,12,.268,.434,.415,.849,17,0,5,0,0,0,,0
Ricky Mota,19,8,34,33,3,9,0,0,0,2,1,0,1,11,.273,.294,.273,.567,9,0,0,0,0,0,,0
JJ Muno*,23,11,44,36,8,12,6,0,0,4,2,0,4,3,.333,.432,.500,.932,18,0,3,0,1,0,,0
Nate Nolan,22,42,179,162,27,41,13,1,7,27,1,1,12,66,.253,.313,.475,.788,77,0,3,0,2,0,,0
Amado Nunez,19,34,154,142,12,26,6,0,1,17,1,1,12,31,.183,.247,.246,.493,35,4,0,0,0,0,,0
Hanleth Otano,20,12,50,45,2,9,2,0,1,8,1,1,1,13,.200,.245,.311,.556,14,0,2,1,1,0,,0
Carlos Perez,20,28,123,114,9,30,3,1,0,8,0,0,5,8,.263,.289,.307,.596,35,5,0,2,2,1,,0
Franklin Reyes,18,56,250,241,24,60,12,0,5,34,1,0,5,68,.249,.270,.361,.631,87,11,2,2,0,0,,0
Logan Taylor,23,44,209,176,32,54,8,1,1,19,4,3,25,27,.307,.399,.381,.780,67,2,4,1,3,0,,0
Anthony Villa,23,63,289,226,56,71,17,2,16,57,0,0,52,72,.314,.453,.619,1.073,140,6,8,0,3,0,,0
Justin Yurchak*,20,60,269,223,46,77,13,1,8,27,1,0,43,33,.345,.448,.520,.968,116,8,0,1,2,0,,0
23 Players,21.3,76,3101,2684,440,740,150,20,72,400,36,18,309,638,.276,.359,.427,.786,1146,51,54,30,24,4,,0
