Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Blaze Alexander,19,28,129,116,27,35,9,3,3,17,3,0,12,31,.302,.364,.509,.873,59,1,0,0,1,1,,0
Zach Almond,22,56,247,229,43,79,16,1,13,53,2,0,13,40,.345,.385,.594,.979,136,11,3,0,2,0,,0
Jorge Barrosa#,17,6,20,18,3,3,0,1,0,1,0,0,1,5,.167,.200,.278,.478,5,1,0,0,1,0,,0
Luis Cossio*,21,23,77,64,4,5,1,0,0,3,0,0,11,25,.078,.224,.094,.317,6,0,1,1,0,0,,0
Nick Dalesandro,21,45,171,149,24,45,9,1,0,21,4,1,20,22,.302,.382,.376,.758,56,6,0,1,1,0,,0
Cesar Garcia,20,46,185,159,28,39,11,3,2,23,12,4,20,33,.245,.346,.390,.736,62,1,5,0,1,0,,0
Will Gorman*,23,5,22,20,4,5,1,1,0,2,1,0,2,8,.250,.318,.400,.718,8,0,0,0,0,0,,0
Eddie Hernandez#,19,59,256,251,31,77,14,2,3,27,5,4,5,60,.307,.320,.414,.735,104,3,0,0,0,0,,0
Zach Hoffpauir,24,3,12,11,0,2,0,0,0,1,0,0,1,5,.182,.250,.182,.432,2,1,0,0,0,0,,0
Zack Jones,23,7,30,25,7,5,2,0,0,4,0,0,4,10,.200,.300,.280,.580,7,1,0,0,1,0,,0
Buddy Kennedy,19,57,255,226,46,74,17,1,4,32,2,0,26,34,.327,.396,.465,.861,105,5,1,0,2,0,,0
Alex King,22,12,50,41,5,13,2,0,1,8,0,0,8,9,.317,.420,.439,.859,18,0,0,0,1,0,,0
Douglas Lanza,20,4,14,12,1,2,1,0,0,0,0,0,1,5,.167,.286,.250,.536,3,1,1,0,0,0,,0
Brandon Leyton,19,56,230,215,28,59,9,2,6,34,8,3,8,28,.274,.309,.419,.727,90,5,4,0,3,0,,0
Jesus Marriaga,19,43,191,170,29,46,7,0,0,10,12,1,17,48,.271,.351,.312,.663,53,4,4,0,0,0,,0
Jesus Munoz*,19,50,199,187,22,43,4,1,2,17,2,0,8,46,.230,.268,.294,.562,55,2,2,1,1,0,,0
Geraldo Perdomo#,18,6,29,22,3,10,0,1,0,2,1,1,7,4,.455,.586,.545,1.132,12,1,0,0,0,1,,1
Joe Robbins,24,26,110,91,19,29,6,1,4,20,1,0,15,26,.319,.436,.538,.975,49,0,4,0,0,0,,0
Kristian Robinson,17,17,74,60,13,18,1,0,3,10,5,3,11,21,.300,.419,.467,.886,28,0,2,0,1,0,,0
David Sanchez,19,53,204,197,20,51,14,3,2,30,2,1,5,49,.259,.279,.391,.670,77,7,1,0,1,1,,0
Zack Shannon,22,54,228,189,45,67,17,1,14,55,0,0,28,43,.354,.439,.677,1.116,128,7,5,0,6,2,,0
Alek Thomas*,18,28,134,123,26,42,11,1,2,17,4,3,11,19,.341,.396,.496,.891,61,3,0,0,0,0,,0
Daniel Wasinger#,22,8,28,24,5,5,1,0,0,1,0,0,3,7,.208,.321,.250,.571,6,1,1,0,0,0,,0
23 Players,19.9,75,2895,2599,433,754,153,23,59,388,64,21,237,578,.290,.354,.435,.789,1130,61,34,3,22,5,,0
