Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Austin Hedges,26,102,347,312,28,55,9,0,11,36,1,0,27,109,.176,.252,.311,.563,50,97,3,5,2,1,3,1
1B,Eric Hosmer*,29,160,667,619,72,164,29,2,22,99,0,3,40,163,.265,.310,.425,.735,94,263,12,3,0,5,3,1
2B,Ian Kinsler,37,87,281,258,28,56,12,0,9,22,2,4,19,54,.217,.278,.368,.646,71,95,5,3,0,1,0,1
SS,Fernando Tatis Jr.,20,84,372,334,61,106,13,6,22,53,16,6,30,110,.317,.379,.590,.969,154,197,4,5,0,3,1,1
3B,Manny Machado,26,156,661,587,81,150,21,2,32,85,5,3,65,128,.256,.334,.462,.796,110,271,24,6,0,3,3,1
LF,Wil Myers,28,155,490,435,58,104,22,1,18,53,16,7,51,168,.239,.321,.418,.739,96,182,12,2,1,1,0,1
CF,Manuel Margot,24,151,441,398,59,93,19,3,12,37,20,4,38,88,.234,.304,.387,.691,83,154,6,2,3,0,1,1
RF,Franmil Reyes,23,99,354,321,43,82,9,0,27,46,0,0,29,93,.255,.314,.536,.849,121,172,12,0,0,4,1,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OF,Hunter Renfroe,27,140,494,440,64,95,19,1,33,64,5,0,46,154,.216,.289,.489,.778,103,215,6,2,0,6,1,1
2B,Greg Garcia*,29,134,372,311,52,77,13,4,4,31,0,2,53,83,.248,.364,.354,.718,94,110,4,5,1,2,1,1
OF,Josh Naylor*,22,94,279,253,29,63,15,0,8,32,1,1,25,64,.249,.315,.403,.719,91,102,4,0,0,1,1,1
MI,Luis Urias,22,71,249,215,27,48,8,1,4,24,0,1,25,56,.223,.329,.326,.655,77,70,8,9,0,0,0,1
C,Francisco Mejia#,23,79,244,226,27,60,11,2,8,22,1,1,13,56,.265,.316,.438,.754,99,99,6,4,0,1,1,1
IF,Ty France,24,69,201,184,20,43,8,1,7,24,0,2,9,49,.234,.294,.402,.696,84,74,8,7,0,1,0,1
LF,Nick Martini*,29,26,96,82,7,20,4,1,0,5,0,0,12,21,.244,.344,.317,.661,80,26,0,1,0,1,0,1
C,Austin Allen*,25,34,71,65,4,14,4,0,0,3,0,0,6,21,.215,.282,.277,.559,51,18,2,0,0,0,3,1
IF,Seth Mejias-Brean,28,14,33,30,3,7,2,0,2,5,0,0,3,9,.233,.303,.500,.803,109,15,1,0,0,0,0,1
OF,Travis Jankowski*,28,25,24,22,4,4,0,0,0,0,2,2,2,4,.182,.250,.182,.432,19,4,0,0,0,0,0,1
OF,Franchy Cordero*,24,9,20,15,2,5,1,0,0,1,1,0,4,7,.333,.450,.400,.850,132,6,0,0,0,1,0,1
LF,Alex Dickerson*,29,12,19,19,1,3,0,0,0,2,0,0,0,7,.158,.158,.158,.316,-15,3,0,0,0,0,0,1
C,Luis Torrens,23,7,16,14,2,3,1,0,0,0,0,0,2,6,.214,.313,.286,.598,63,4,1,0,0,0,0,1
LF,Jose Pirela,29,2,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,1,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Joey Lucchesi*,26,28,54,48,0,3,0,0,0,1,0,0,1,36,.063,.082,.063,.144,-60,3,0,0,5,0,0,1
P,Eric Lauer,24,29,48,40,1,4,2,0,0,0,0,0,1,23,.100,.122,.150,.272,-28,6,0,0,6,0,0,1
P,Chris Paddack,23,25,46,42,3,5,0,0,0,2,0,0,0,19,.119,.119,.119,.238,-36,5,0,0,4,0,0,1
P,Cal Quantrill*,24,21,30,25,1,2,0,0,0,1,0,1,1,6,.080,.115,.080,.195,-46,2,0,0,4,0,0,1
P,Matt Strahm,27,45,27,21,1,6,2,0,0,1,0,0,2,12,.286,.348,.381,.729,96,8,0,0,4,0,0,1
P,Dinelson Lamet,26,13,24,21,1,3,0,0,0,0,0,0,0,11,.143,.143,.143,.286,-23,3,0,0,3,0,0,1
P,Nick Margevicius*,23,17,17,15,1,3,0,0,0,0,0,0,0,7,.200,.200,.200,.400,8,3,0,0,2,0,0,1
P,Luis Perdomo,26,44,7,7,0,1,0,0,0,1,0,0,0,2,.143,.143,.143,.286,-23,1,0,0,0,0,0,1
P,Logan Allen,22,7,5,4,1,1,0,0,0,0,0,0,0,0,.250,.400,.250,.650,82,1,0,1,0,0,0,1
P,Ronald Bolanos,22,5,5,5,1,0,0,0,0,1,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Phil Maton,26,18,4,4,0,1,0,0,0,1,0,0,0,2,.250,.250,.250,.500,35,1,0,0,0,0,0,1
P,Robbie Erlin,28,34,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,1
P,Garrett Richards,31,3,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
P,Brad Wieck*,27,28,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Pedro Avila,22,1,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
P,Adrián Morejón*,20,4,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Gerardo Reyes,26,27,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Miguel Diaz,24,5,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Craig Stammen,35,72,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Matt Wisler,26,18,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Trey Wingenter,25,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Michel Báez,23,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Eric Yardley,28,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Carl Edwards Jr.,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Aaron Loup*,31,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Andres Munoz,20,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Kirby Yates*,32,59,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Robert Stock*,29,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Adam Warren,31,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Javy Guerra*,23,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Jose Castillo*,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,David Bednar*,24,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,26.1,162,6019,5391,682,1281,224,24,219,652,70,37,504,1581,.238,.308,.410,.718,90,2210,120,55,37,31,19,1
,Rank in 15 NL teams,,,,15,13,15,15,10,10,,9,14,10,15,15,13,13,13,,13,,13,,14,,1
,Non-Pitcher Totals,26.2,162,5736,5145,672,1252,220,24,219,644,70,36,499,1453,.243,.315,.423,.738,95,2177,119,54,7,31,19,1
,Pitcher Totals,24.6,162,283,246,10,29,4,0,0,8,0,1,5,128,.118,.139,.134,.273,-26,33,1,1,30,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
