Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Clark Brinkman,23,18,80,65,17,17,5,1,1,8,5,1,10,14,.262,.350,.415,.765,27,1,1,0,4,0,,0
Jeremiah Burks,22,35,147,117,22,30,4,1,3,19,3,1,22,40,.256,.395,.385,.779,45,2,6,0,2,0,,0
Kerry Carpenter*,21,43,191,160,33,51,16,3,9,34,6,0,22,18,.319,.408,.625,1.033,100,3,5,0,4,0,,0
Esney Chacon,19,14,68,57,9,9,3,0,0,5,4,0,10,11,.158,.279,.211,.490,12,3,0,0,1,0,,0
Griffin Dey,22,2,9,8,0,2,0,0,0,0,0,0,0,3,.250,.333,.250,.583,2,0,1,0,0,0,,0
Ildemaro Escalona,20,14,54,41,6,10,3,0,0,7,2,0,12,12,.244,.407,.317,.724,13,1,0,0,1,0,,0
Vinny Esposito,23,7,28,22,6,4,0,1,1,2,1,0,4,7,.182,.357,.409,.766,9,1,2,0,0,0,,0
Jonah Girand,24,7,13,10,1,3,1,0,1,1,0,0,3,2,.300,.462,.700,1.162,7,0,0,0,0,0,,0
Alvaro Gonzalez#,18,15,60,42,11,11,3,0,0,9,4,1,13,8,.262,.450,.333,.783,14,1,3,0,2,0,,0
Riley Greene*,18,9,43,37,9,13,3,0,2,8,0,0,5,12,.351,.442,.595,1.036,22,1,1,0,0,0,,0
Pedro Hurtado#,20,16,55,51,3,11,0,0,1,7,1,0,3,14,.216,.255,.275,.529,14,2,0,0,1,0,,0
Matthew Jarecki,23,43,188,154,29,45,15,2,4,31,3,2,22,29,.292,.394,.494,.887,76,5,7,0,5,0,,0
Jack Kenley*,21,4,20,16,5,7,0,0,1,2,1,0,4,3,.438,.550,.625,1.175,10,0,0,0,0,0,,0
Jimmy Kerr*,22,25,103,90,16,25,7,0,6,19,0,0,13,20,.278,.369,.556,.924,50,0,0,0,0,0,,0
Jared Mang,22,43,171,151,20,32,9,3,1,22,0,1,15,29,.212,.292,.331,.624,50,4,3,0,2,0,,0
Sam McMillan,20,3,12,8,4,3,1,0,0,0,0,0,2,1,.375,.583,.500,1.083,4,1,2,0,0,0,,0
Dane Myers,23,3,9,5,1,3,1,0,0,2,0,0,4,1,.600,.778,.800,1.578,4,0,0,0,0,0,,0
Andrew Navigato,21,15,54,45,7,6,2,0,0,1,0,1,5,12,.133,.278,.178,.456,8,1,4,0,0,0,,0
David Noworyta,23,10,27,23,1,2,0,0,0,1,0,0,3,3,.087,.185,.087,.272,2,0,0,0,1,0,,0
Pavin Parks*,22,11,25,19,2,0,0,0,0,0,0,0,6,7,.000,.240,.000,.240,0,0,0,0,0,0,,0
Jordan Pearce*,23,23,83,60,12,13,1,0,1,7,2,0,18,11,.217,.434,.283,.717,17,2,5,0,0,0,,0
Yerjeni Perez,19,18,66,58,10,13,1,0,1,8,3,0,8,13,.224,.318,.293,.611,17,0,0,0,0,0,,0
Kelvin Smith,19,20,68,61,9,14,1,0,3,11,2,0,5,22,.230,.309,.393,.702,24,2,2,0,0,0,,0
Eduardo Valencia,19,31,126,114,17,25,6,0,0,17,1,0,8,13,.219,.270,.272,.542,31,6,1,0,3,0,,0
John Valente#,24,4,15,15,1,3,0,1,0,1,1,0,0,1,.200,.200,.333,.533,5,0,0,0,0,0,,0
Cole Zabowski*,21,45,187,157,26,40,10,0,2,20,1,0,19,28,.255,.353,.357,.710,56,2,7,0,4,0,,0
26 Players,21.1,50,1902,1586,277,392,92,12,37,242,40,7,236,334,.247,.356,.390,.747,619,38,50,0,30,0,,0
