Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Mike Sirotka*,28,11,13,.458,4.00,32,32,0,3,1,0,209.0,236,108,93,24,57,2,125,3,0,4,909,123,4.29,1.402,10.2,1.0,2.5,5.4,2.19,1
SP,James Baldwin,27,12,13,.480,5.10,35,33,1,1,0,0,199.1,219,119,113,34,81,1,123,7,1,11,886,97,5.44,1.505,9.9,1.5,3.7,5.6,1.52,1
SP,Jim Parque*,24,9,15,.375,5.13,31,30,0,1,0,0,173.2,210,111,99,23,79,2,111,10,2,3,804,96,5.11,1.664,10.9,1.2,4.1,5.8,1.41,1
SP,Jaime Navarro,32,8,13,.381,6.09,32,27,1,0,0,0,159.2,206,126,108,29,71,1,74,11,0,9,748,81,6.11,1.735,11.6,1.6,4.0,4.2,1.04,1
SP,John Snyder,24,9,12,.429,6.68,25,25,0,1,0,0,129.1,167,103,96,27,49,0,67,6,0,11,602,74,6.09,1.670,11.6,1.9,3.4,4.7,1.37,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Bob Howry,25,5,3,.625,3.59,69,0,54,0,0,28,67.2,58,34,27,8,38,3,80,3,1,3,298,138,4.12,1.419,7.7,1.1,5.1,10.6,2.11,1
RP,Keith Foulke,26,3,3,.500,2.22,67,0,31,0,0,9,105.1,72,28,26,11,21,4,123,3,0,1,411,222,2.84,0.883,6.2,0.9,1.8,10.5,5.86,1
RP,Sean Lowe,28,4,1,.800,3.67,64,0,13,0,0,0,95.2,90,39,39,10,46,1,62,4,0,4,406,135,4.76,1.422,8.5,0.9,4.3,5.8,1.35,1
RP,Bill Simas,27,6,3,.667,3.75,70,0,21,0,0,2,72.0,73,36,30,6,32,6,41,6,1,4,324,132,4.66,1.458,9.1,0.8,4.0,5.1,1.28,1
RP,Bryan Ward*,27,0,1,.000,7.55,40,0,8,0,0,0,39.1,63,36,33,10,11,1,35,0,0,2,183,66,5.50,1.881,14.4,2.3,2.5,8.0,3.18,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carlos Castillo,24,2,2,.500,5.71,18,2,6,0,0,0,41.0,45,26,26,10,14,1,23,0,2,0,178,87,6.21,1.439,9.9,2.2,3.1,5.0,1.64,1
,Kip Wells,22,4,1,.800,4.04,7,7,0,0,0,0,35.2,33,17,16,2,15,0,29,3,2,1,153,123,3.75,1.346,8.3,0.5,3.8,7.3,1.93,1
,Scott Eyre*,27,1,1,.500,7.56,21,0,8,0,0,0,25.0,38,22,21,6,15,2,17,1,0,1,129,66,6.81,2.120,13.7,2.2,5.4,6.1,1.13,1
,David Lundquist,26,1,1,.500,8.59,17,0,7,0,0,0,22.0,28,21,21,3,12,0,18,1,0,0,106,58,5.04,1.818,11.5,1.2,4.9,7.4,1.50,1
,Jesus Pena*,24,0,0,,5.31,26,0,1,0,0,0,20.1,21,15,12,3,23,5,20,1,0,3,106,94,6.63,2.164,9.3,1.3,10.2,8.9,0.87,1
,Aaron Myette,21,0,2,.000,6.32,4,3,0,0,0,0,15.2,17,11,11,2,14,1,11,2,0,2,80,79,6.45,1.979,9.8,1.1,8.0,6.3,0.79,1
,Pat Daneker,23,0,0,,4.20,3,2,1,0,0,0,15.0,14,8,7,1,6,0,5,0,0,0,64,120,4.53,1.333,8.4,0.6,3.6,3.0,0.83,1
,Tanyon Sturtze,28,0,0,,0.00,1,1,0,0,0,0,6.0,4,0,0,0,2,0,2,0,0,0,22,,3.47,1.000,6.0,0.0,3.0,3.0,1.00,1
,Chad Bradford,24,0,0,,19.64,3,0,0,0,0,0,3.2,9,8,8,1,5,0,0,0,0,1,24,27,10.77,3.818,22.1,2.5,12.3,0.0,0.00,1
,Joe Davenport,23,0,0,,0.00,3,0,2,0,0,0,1.2,1,0,0,0,2,0,0,0,0,0,7,,6.73,1.800,5.4,0.0,10.8,0.0,0.00,1
,Todd Rizzo*,28,0,2,.000,6.75,3,0,2,0,0,0,1.1,4,2,1,0,3,1,2,0,0,0,12,90,6.88,5.250,27.0,0.0,20.3,13.5,0.67,1
,Team Totals,26.6,75,86,.466,4.92,162,162,156,6,1,39,1438.1,1608,870,786,210,596,31,968,61,9,60,6452,100,5.06,1.532,10.1,1.3,3.7,6.1,1.62,1
,Rank in 14 AL teams,,9,6,,7,,,,6,13,8,4 ,12,10,6,14,8,,10,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
