Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Fabricio Benitez,24,1,0,1.000,2.08,3,0,2,0,0,0,4.1,4,1,1,1,0,0,0,0,0,0,17,0.923,8.3,2.1,0.0,0.0,,,0
Manny Delcarmen,20,7,8,.467,4.10,26,24,1,0,0,0,136.0,124,77,62,15,56,0,136,14,1,3,590,1.324,8.2,1.0,3.7,9.0,2.43,,1
Phil Dumatrait*,20,8,5,.615,2.77,22,22,0,1,1,0,120.1,109,44,37,5,47,0,108,5,0,7,492,1.296,8.2,0.4,3.5,8.1,2.30,,1
Kason Gabbard*,20,0,4,.000,1.89,7,7,0,0,0,0,38.0,31,14,8,0,7,0,31,2,0,9,150,1.000,7.3,0.0,1.7,7.3,4.43,,1
Jerome Gamble,22,1,2,.333,1.82,14,14,0,0,0,0,49.1,34,12,10,2,22,0,42,2,1,5,204,1.135,6.2,0.4,4.0,7.7,1.91,,0
Dan Generelli,21,1,3,.250,4.30,39,1,15,0,0,5,73.1,86,43,35,6,32,3,65,3,0,9,340,1.609,10.6,0.7,3.9,8.0,2.03,,0
Shane Hall,22,0,1,.000,13.50,6,0,3,0,0,0,10.2,17,16,16,1,9,0,3,1,0,1,55,2.438,14.3,0.8,7.6,2.5,0.33,,0
Jason Howell*,23,7,3,.700,2.11,40,0,31,0,0,16,76.2,73,30,18,3,16,2,47,2,0,1,321,1.161,8.6,0.4,1.9,5.5,2.94,,0
Kevin Huang,20,6,2,.750,5.06,29,1,22,0,0,4,58.2,53,34,33,7,19,3,56,2,0,5,250,1.227,8.1,1.1,2.9,8.6,2.95,,0
Ryo Kumagai,22,1,1,.500,3.82,21,0,11,0,0,0,30.2,33,18,13,3,16,0,21,1,0,2,137,1.598,9.7,0.9,4.7,6.2,1.31,,0
Wil Ledezma*,21,2,2,.500,3.80,5,5,0,0,0,0,23.2,23,10,10,0,8,0,38,1,0,2,101,1.310,8.7,0.0,3.0,14.5,4.75,,1
David Pahucki,21,2,1,.667,4.15,4,4,0,0,0,0,21.2,24,10,10,0,7,0,15,0,1,0,91,1.431,10.0,0.0,2.9,6.2,2.14,,0
Shane Rhodes*,22,9,6,.600,3.09,31,20,4,0,0,0,134.0,117,57,46,6,62,1,97,7,1,11,556,1.336,7.9,0.4,4.2,6.5,1.56,,0
Brett Rudrude,23,6,7,.462,3.43,34,7,10,0,0,3,94.1,98,47,36,5,26,2,73,3,0,3,398,1.314,9.3,0.5,2.5,7.0,2.81,,0
Milton Tavarez,20,7,12,.368,5.15,29,22,2,0,0,1,129.1,152,85,74,11,63,0,109,4,1,7,580,1.662,10.6,0.8,4.4,7.6,1.73,,0
Josh Thigpen,20,6,6,.500,3.92,25,9,2,0,0,2,82.2,76,45,36,5,45,0,87,10,0,7,364,1.464,8.3,0.5,4.9,9.5,1.93,,0
Charlie Weatherby,23,4,0,1.000,2.92,17,0,16,0,0,4,24.2,20,8,8,2,5,1,23,0,1,0,100,1.014,7.3,0.7,1.8,8.4,4.60,,0
Byung Yoo,22,0,2,.000,6.94,8,0,6,0,0,1,11.2,16,10,9,0,15,2,8,1,0,4,65,2.657,12.3,0.0,11.6,6.2,0.53,,0
Charlie Zink,22,1,2,.333,1.68,26,0,10,0,0,0,48.1,42,17,9,1,16,0,48,4,0,2,200,1.200,7.8,0.2,3.0,8.9,3.00,,1
19 Players,21.3,69,67,.507,3.63,136,136,135,1,9,36,1168.1,1132,578,471,73,471,14,1007,62,6,78,5011,1.372,8.7,0.6,3.6,7.8,2.14,,0
