Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Blake Allen*,21,6,3,.667,2.24,36,0,11,0,0,5,76.1,65,23,19,3,25,2,74,3,0,3,317,1.179,7.7,0.4,2.9,8.7,2.96,,0
Jason Bere,32,0,0,,6.75,1,1,0,0,0,0,4.0,7,3,3,1,0,0,1,0,0,0,18,1.750,15.8,2.3,0.0,2.3,,,1
Reid Casey,23,1,0,1.000,3.00,7,0,6,0,0,1,9.0,9,3,3,0,3,0,10,1,0,0,37,1.333,9.0,0.0,3.0,10.0,3.33,,0
Carlos De La Cruz,21,8,1,.889,3.66,32,3,10,0,0,3,76.1,67,34,31,3,30,0,94,4,0,4,329,1.271,7.9,0.4,3.5,11.1,3.13,,0
Dan Denham,20,5,2,.714,3.08,14,14,0,0,0,0,73.0,75,28,25,4,22,0,63,5,1,1,316,1.329,9.2,0.5,2.7,7.8,2.86,,0
Jake Dittler,20,6,4,.600,2.63,17,17,0,1,0,0,89.0,86,39,26,4,20,0,82,3,0,0,379,1.191,8.7,0.4,2.0,8.3,4.10,,0
Shea Douglas*,22,5,3,.625,1.37,34,0,13,0,0,10,85.2,46,14,13,2,30,3,104,5,0,4,334,0.887,4.8,0.2,3.2,10.9,3.47,,0
Dan Eisentrager,22,12,3,.800,1.72,32,6,12,0,0,6,104.2,79,20,20,4,19,0,99,11,2,2,411,0.936,6.8,0.3,1.6,8.5,5.21,,0
Roberto Hernandez,22,17,4,.810,2.06,24,24,0,1,0,0,148.1,117,48,34,10,14,0,83,3,0,3,573,0.883,7.1,0.6,0.8,5.0,5.93,,1
Nelson Hiraldo,19,1,1,.500,3.14,3,2,0,0,0,0,14.1,11,5,5,3,2,0,14,2,0,0,56,0.907,6.9,1.9,1.3,8.8,7.00,,0
Juan Lara*,22,1,4,.200,5.00,16,3,6,0,0,1,45.0,51,31,25,7,26,0,37,3,1,6,215,1.711,10.2,1.4,5.2,7.4,1.42,,1
Kevin Martin,24,1,1,.500,1.07,28,0,25,0,0,4,33.2,27,5,4,0,7,1,29,1,0,0,135,1.010,7.2,0.0,1.9,7.8,4.14,,0
Ignacio Montano*,22,2,0,1.000,3.38,21,0,13,0,0,2,40.0,45,20,15,5,8,1,36,1,0,1,171,1.325,10.1,1.1,1.8,8.1,4.50,,0
Todd Pennington,23,2,1,.667,0.72,36,0,35,0,0,20,37.1,14,3,3,1,17,0,65,1,0,5,145,0.830,3.4,0.2,4.1,15.7,3.82,,0
Randy Perez*,23,1,2,.333,4.05,5,4,0,0,0,0,26.2,31,15,12,3,6,0,17,1,0,0,112,1.388,10.5,1.0,2.0,5.7,2.83,,0
Ryan Prahm,24,1,1,.500,1.32,5,1,2,0,0,0,13.2,5,3,2,0,7,0,14,0,1,0,54,0.878,3.3,0.0,4.6,9.2,2.00,,0
Keith Ramsey*,23,13,6,.684,2.99,24,24,0,3,1,0,144.2,146,54,48,10,15,0,108,5,2,1,590,1.113,9.1,0.6,0.9,6.7,7.20,,0
Sean Smith,19,11,4,.733,3.71,26,26,0,0,0,0,121.1,100,62,50,17,67,0,101,6,2,7,520,1.376,7.4,1.3,5.0,7.5,1.51,,0
Chip Southerland,21,0,0,,0.00,1,0,1,0,0,0,1.1,2,0,0,0,0,0,2,0,0,0,7,1.500,13.5,0.0,0.0,13.5,,,0
Jim Ed Warden,24,4,3,.571,2.86,14,13,1,0,0,0,69.1,49,30,22,5,44,0,61,3,0,10,301,1.341,6.4,0.6,5.7,7.9,1.39,,0
Bob Wickman,34,0,0,,0.00,2,2,0,0,0,0,2.0,1,0,0,0,0,0,4,0,0,0,7,0.500,4.5,0.0,0.0,18.0,,,1
21 Players,21.9,97,43,.693,2.67,140,140,135,5,22,52,1215.2,1033,440,360,82,362,7,1098,58,9,47,5027,1.148,7.6,0.6,2.7,8.1,3.03,,0
