Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Jason Bere,32,1,0,1.000,0.61,3,3,0,0,0,0,14.2,9,1,1,0,3,1,17,0,0,0,53,0.818,5.5,0.0,1.8,10.4,5.67,,1
Rafael Betancourt,28,0,0,,4.05,4,0,2,0,0,1,6.2,6,3,3,1,2,0,6,0,0,1,27,1.200,8.1,1.4,2.7,8.1,3.00,,1
Nick Bierbrodt*,25,2,2,.500,3.00,16,1,5,0,0,0,27.0,22,10,9,1,18,2,31,2,0,1,121,1.481,7.3,0.3,6.0,10.3,1.72,,1
Jason Boyd,30,1,0,1.000,1.23,9,0,5,0,0,3,14.2,12,3,2,0,2,0,14,0,0,1,56,0.955,7.4,0.0,1.2,8.6,7.00,,1
Jamie Brown,26,4,4,.500,3.52,13,10,0,0,0,0,61.1,45,26,24,4,17,1,26,5,0,0,246,1.011,6.6,0.6,2.5,3.8,1.53,,1
Dave Burba,36,1,3,.250,2.05,4,4,0,0,0,0,22.0,18,6,5,2,5,0,10,1,0,0,86,1.045,7.4,0.8,2.0,4.1,2.00,,1
Lance Caraccioli*,25,4,8,.333,5.10,34,13,5,0,0,2,100.2,123,61,57,11,35,2,83,7,2,5,450,1.570,11.0,1.0,3.1,7.4,2.37,,0
David Cortes,29,1,0,1.000,2.70,5,0,2,0,0,1,6.2,4,3,2,1,0,0,9,0,0,0,26,0.600,5.4,1.4,0.0,12.2,,,1
Jack Cressend,28,1,0,1.000,1.23,8,0,2,0,0,0,14.2,7,2,2,0,6,0,12,0,0,0,56,0.886,4.3,0.0,3.7,7.4,2.00,,1
Kyle Denney,25,2,1,.667,5.28,6,6,0,0,0,0,30.2,35,18,18,4,10,2,26,1,0,0,139,1.467,10.3,1.2,2.9,7.6,2.60,,1
Chad Durbin,25,3,6,.333,4.60,10,10,0,1,0,0,58.2,51,30,30,9,16,0,64,5,0,2,241,1.142,7.8,1.4,2.5,9.8,4.00,,1
Dave Elder,27,0,0,,0.00,8,0,6,0,0,6,12.2,5,0,0,0,6,0,17,0,0,0,47,0.868,3.6,0.0,4.3,12.1,2.83,,1
Mike Fyhrie,33,1,5,.167,5.80,8,8,0,1,0,0,45.0,55,30,29,4,12,0,31,3,0,1,196,1.489,11.0,0.8,2.4,6.2,2.58,,1
Jeremy Guthrie,24,4,9,.308,6.52,18,18,0,1,0,0,96.2,129,75,70,15,30,1,62,7,1,3,444,1.645,12.0,1.4,2.8,5.8,2.07,,1
Alex Herrera*,23,4,6,.400,5.30,34,0,15,0,0,1,56.0,51,40,33,9,45,1,46,2,5,3,262,1.714,8.2,1.4,7.2,7.4,1.02,,1
Victor Kleine*,23,0,0,,1.80,1,1,0,0,0,0,5.0,4,2,1,0,4,0,4,0,0,0,24,1.600,7.2,0.0,7.2,7.2,1.00,,0
