Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Josh Axelson,24,0,2,.000,3.12,9,1,1,0,0,0,26.0,21,9,9,1,4,2,23,2,0,2,104,0.962,7.3,0.3,1.4,8.0,5.75,,0
Carmen Cali*,24,2,1,.667,4.99,62,0,23,0,0,3,70.1,72,49,39,2,32,6,70,6,0,2,321,1.479,9.2,0.3,4.1,9.0,2.19,,1
Chance Caple,24,2,6,.250,4.85,20,17,0,1,0,0,91.0,83,53,49,5,63,1,45,19,1,13,429,1.604,8.2,0.5,6.2,4.5,0.71,,0
Chris Carpenter,28,0,1,.000,1.29,4,4,0,0,0,0,7.0,6,3,1,1,1,0,6,0,0,0,28,1.000,7.7,1.3,1.3,7.7,6.00,,1
Pat Collins,25,1,2,.333,2.17,10,3,1,0,0,0,29.0,20,9,7,1,18,1,27,3,0,2,128,1.310,6.2,0.3,5.6,8.4,1.50,,0
Jeremy Cook,25,4,3,.571,3.62,45,0,18,0,0,2,59.2,52,24,24,4,10,1,33,0,2,2,233,1.039,7.8,0.6,1.5,5.0,3.30,,0
Cristobal Correa,23,4,9,.308,5.19,21,18,0,0,0,0,95.1,100,64,55,9,49,0,49,4,4,5,424,1.563,9.4,0.8,4.6,4.6,1.00,,0
Jeremy Dodson,26,0,0,,0.00,2,0,2,0,0,0,2.0,1,0,0,0,2,0,2,0,0,1,8,1.500,4.5,0.0,9.0,9.0,1.00,,0
Jonathan Estes,23,1,0,1.000,3.31,15,0,1,0,0,0,32.2,36,13,12,2,7,1,15,0,0,0,142,1.316,9.9,0.6,1.9,4.1,2.14,,0
Brian Flynn,24,2,1,.667,5.91,7,0,2,0,0,0,10.2,18,10,7,1,3,0,5,0,0,0,53,1.969,15.2,0.8,2.5,4.2,1.67,,0
Jay Galbraith*,22,0,1,.000,4.70,5,0,3,0,0,0,7.2,6,5,4,0,5,0,5,0,1,0,33,1.435,7.0,0.0,5.9,5.9,1.00,,0
Don Graves,22,1,0,1.000,4.26,3,3,0,0,0,0,19.0,23,9,9,1,3,0,8,0,0,1,82,1.368,10.9,0.5,1.4,3.8,2.67,,0
Matt Hammons,26,2,2,.500,1.25,21,0,17,0,0,8,21.2,11,4,3,0,9,3,32,0,0,5,85,0.923,4.6,0.0,3.7,13.3,3.56,,0
Blake Hawksworth,20,1,3,.250,3.94,6,6,0,0,0,0,32.0,28,14,14,2,11,0,32,1,0,2,132,1.219,7.9,0.6,3.1,9.0,2.91,,1
Tyler Johnson*,22,5,5,.500,3.08,22,10,3,0,0,0,79.0,79,29,27,2,38,2,81,1,0,8,346,1.481,9.0,0.2,4.3,9.2,2.13,,1
Josh Kinney,24,3,0,1.000,1.52,31,0,10,0,0,3,41.1,38,7,7,0,10,4,35,0,0,5,167,1.161,8.3,0.0,2.2,7.6,3.50,,1
Jeremy Lambert,24,0,0,,2.57,7,0,2,0,0,0,7.0,8,4,2,2,0,0,8,0,0,0,31,1.143,10.3,2.6,0.0,10.3,,,0
Miguel Martinez,21,1,1,.500,4.50,8,5,1,0,0,0,30.0,43,17,15,0,8,1,17,2,0,1,135,1.700,12.9,0.0,2.4,5.1,2.13,,0
Juan Mejia,23,3,0,1.000,5.68,8,5,0,0,0,0,31.2,39,21,20,3,13,0,14,4,0,5,147,1.642,11.1,0.9,3.7,4.0,1.08,,0
Chris Narveson*,21,7,7,.500,2.86,15,14,0,1,0,0,91.1,83,34,29,4,19,0,65,2,0,4,369,1.117,8.2,0.4,1.9,6.4,3.42,,1
John Novinsky,24,2,3,.400,3.18,37,0,31,0,0,16,45.1,41,16,16,5,16,6,36,1,0,1,189,1.257,8.1,1.0,3.2,7.1,2.25,,0
Lance Painter*,35,0,0,,0.00,1,1,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,0.000,0.0,0.0,0.0,9.0,,,1
Josh Pearce,25,1,4,.200,3.21,6,5,0,0,0,0,28.0,28,10,10,2,2,0,15,1,0,1,108,1.071,9.0,0.6,0.6,4.8,7.50,,1
Justin Pope,23,4,11,.267,4.92,20,18,0,1,1,0,106.0,123,68,58,9,33,0,69,5,0,5,467,1.472,10.4,0.8,2.8,5.9,2.09,,0
Anthony Rawson*,22,0,4,.000,3.78,25,0,5,0,0,0,33.1,34,16,14,0,19,2,26,0,0,3,152,1.590,9.2,0.0,5.1,7.0,1.37,,0
Bob Runyon,23,0,2,.000,9.00,5,1,3,0,0,0,11.0,19,12,11,1,5,1,3,0,0,0,58,2.182,15.5,0.8,4.1,2.5,0.60,,0
Aaron Russelburg,23,1,3,.250,6.52,6,4,0,0,0,0,19.1,19,19,14,0,7,0,12,3,0,0,88,1.345,8.8,0.0,3.3,5.6,1.71,,0
Rich Scalamandre,22,1,0,1.000,2.45,4,0,1,0,0,0,3.2,6,1,1,0,0,0,2,0,0,0,17,1.636,14.7,0.0,0.0,4.9,,,0
Jared Smith,24,2,3,.400,3.09,45,5,10,0,0,1,75.2,63,28,26,1,44,2,70,3,0,8,323,1.414,7.5,0.1,5.2,8.3,1.59,,0
Josh Teekel,22,0,0,,13.50,1,0,0,0,0,0,0.2,2,2,1,0,0,0,0,0,0,0,4,3.000,27.0,0.0,0.0,0.0,,,0
Brad Thompson,21,1,0,1.000,0.00,2,1,0,0,0,0,6.0,3,0,0,0,0,0,4,0,0,0,20,0.500,4.5,0.0,0.0,6.0,,,1
Julio Villalón,25,1,0,1.000,1.50,1,1,0,0,0,0,6.0,3,1,1,0,1,0,7,0,0,0,22,0.667,4.5,0.0,1.5,10.5,7.00,,0
Blake Williams,24,2,10,.167,4.36,20,16,1,0,0,1,84.2,81,55,41,7,33,1,56,7,3,6,382,1.346,8.6,0.7,3.5,6.0,1.70,,0
33 Players,23.6,54,84,.391,3.93,138,138,135,3,8,34,1205.0,1189,606,526,65,465,34,873,64,11,82,5230,1.373,8.9,0.5,3.5,6.5,1.88,,0
