Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Rich Barrett,23,0,1,.000,4.91,4,0,1,0,0,0,3.2,5,5,2,0,5,0,6,0,0,0,23,2.727,12.3,0.0,12.3,14.7,1.20,,0
Adam Bass,21,0,0,,0.80,27,0,9,0,0,3,33.2,26,4,3,2,14,0,34,2,0,1,142,1.188,7.0,0.5,3.7,9.1,2.43,,0
Joe Carque,22,0,1,.000,5.91,26,0,8,0,0,0,32.0,35,26,21,6,7,0,14,3,0,6,142,1.313,9.8,1.7,2.0,3.9,2.00,,0
Matt Chico*,20,7,4,.636,3.53,17,13,0,0,0,0,71.1,75,28,28,4,25,1,71,5,1,9,309,1.402,9.5,0.5,3.2,9.0,2.84,,1
Chad Clark,22,1,1,.500,4.99,24,0,5,0,0,1,30.2,19,19,17,0,29,0,30,5,1,5,139,1.565,5.6,0.0,8.5,8.8,1.03,,0
Klent Corley,22,2,1,.667,4.79,5,5,0,0,0,0,20.2,19,12,11,2,15,0,12,1,0,3,95,1.645,8.3,0.9,6.5,5.2,0.80,,0
Mike Davis,22,4,0,1.000,0.92,23,0,1,0,0,0,29.1,15,3,3,0,14,0,22,1,1,2,119,0.989,4.6,0.0,4.3,6.8,1.57,,0
Robert Ferns,22,1,1,.500,27.00,3,0,1,0,0,0,2.1,10,7,7,0,2,0,2,0,0,0,18,5.143,38.6,0.0,7.7,7.7,1.00,,0
Dustin Glant,21,1,2,.333,1.85,34,0,32,0,0,18,34.0,19,9,7,2,9,0,31,2,0,1,133,0.824,5.0,0.5,2.4,8.2,3.44,,0
Clint Goocher*,21,3,1,.750,2.73,31,0,8,0,0,0,33.0,28,10,10,1,6,0,33,2,0,5,137,1.030,7.6,0.3,1.6,9.0,5.50,,0
Adam Haley,22,0,0,,54.00,1,0,1,0,0,0,1.0,4,6,6,1,2,0,1,1,0,0,10,6.000,36.0,9.0,18.0,9.0,0.50,,0
William Juarez,22,5,3,.625,2.95,15,15,0,0,0,0,85.1,87,48,28,7,31,0,72,3,4,5,379,1.383,9.2,0.7,3.3,7.6,2.32,,0
Reuben Kerbs*,22,1,0,1.000,3.54,15,0,4,0,0,0,20.1,17,8,8,1,12,1,23,1,0,4,91,1.426,7.5,0.4,5.3,10.2,1.92,,0
Chris Kinsey,20,3,3,.500,4.00,9,9,0,0,0,0,45.0,45,34,20,6,16,0,23,3,1,2,194,1.356,9.0,1.2,3.2,4.6,1.44,,0
Jered Liebeck,22,5,3,.625,2.95,12,10,0,0,0,0,64.0,57,25,21,3,11,1,50,1,2,2,258,1.063,8.0,0.4,1.5,7.0,4.55,,0
Danny Muegge,22,2,3,.400,4.63,21,0,4,0,0,0,23.1,31,13,12,2,6,0,22,1,1,1,105,1.586,12.0,0.8,2.3,8.5,3.67,,0
Gabriele Rio*,22,0,0,,15.00,5,0,0,0,0,0,6.0,14,11,10,0,7,0,5,0,0,1,40,3.500,21.0,0.0,10.5,7.5,0.71,,0
Mark Rosen*,19,1,1,.500,14.09,2,2,0,0,0,0,7.2,14,12,12,1,5,0,8,3,0,1,44,2.478,16.4,1.2,5.9,9.4,1.60,,0
Chad Scarbery,22,7,6,.538,4.04,15,15,0,0,0,0,82.1,86,47,37,5,33,0,59,4,0,10,362,1.445,9.4,0.5,3.6,6.4,1.79,,0
Mike Schultz,23,1,0,1.000,4.71,5,5,0,0,0,0,28.2,21,16,15,2,10,0,27,2,1,0,120,1.081,6.6,0.6,3.1,8.5,2.70,,1
Robbie Van*,21,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,3,1.000,0.0,0.0,9.0,0.0,0.00,,0
Ruben Vicente,23,1,0,1.000,3.00,10,2,2,0,0,0,21.0,23,12,7,2,7,0,14,1,0,2,93,1.429,9.9,0.9,3.0,6.0,2.00,,0
22 Players,21.5,45,31,.592,3.74,76,76,76,0,7,22,676.1,650,355,281,47,267,3,559,41,12,60,2956,1.356,8.6,0.6,3.6,7.4,2.09,,0
