Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Paul Abraham,24,1,2,.333,2.79,37,0,11,0,0,1,48.1,53,28,15,3,15,0,49,1,0,4,214,1.407,9.9,0.6,2.8,9.1,3.27,,0
Chuck Bechtel,24,1,4,.200,6.94,35,0,10,0,0,0,46.2,63,49,36,4,40,3,54,5,0,5,248,2.207,12.2,0.8,7.7,10.4,1.35,,0
Greg Bochy,24,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,4,1.000,9.0,0.0,0.0,9.0,,,0
Eddie Bonine,23,2,1,.667,1.98,5,5,0,0,0,0,27.1,25,11,6,2,3,0,31,0,0,0,109,1.024,8.2,0.7,1.0,10.2,10.33,,1
Travis Chick,20,5,0,1.000,2.13,7,7,0,0,0,0,42.1,32,12,10,4,9,0,55,1,1,1,166,0.969,6.8,0.9,1.9,11.7,6.11,,1
Greg Conden,23,4,7,.364,4.30,23,12,2,0,0,1,81.2,70,49,39,9,33,0,85,5,0,4,344,1.261,7.7,1.0,3.6,9.4,2.58,,0
Aaron Coonrod,24,1,4,.200,4.54,29,0,15,0,0,5,35.2,37,28,18,3,30,2,33,3,0,5,178,1.879,9.3,0.8,7.6,8.3,1.10,,0
Danny De La O*,20,1,0,1.000,6.43,2,1,0,0,0,0,7.0,10,5,5,2,2,0,4,0,0,0,33,1.714,12.9,2.6,2.6,5.1,2.00,,0
Mike Ekstrom,20,0,2,.000,8.16,3,3,0,0,0,0,14.1,21,15,13,1,3,0,10,0,0,3,62,1.674,13.2,0.6,1.9,6.3,3.33,,1
Geivy Garcia,21,0,1,.000,4.76,4,0,2,0,0,0,5.2,7,3,3,3,0,0,4,0,0,0,24,1.235,11.1,4.8,0.0,6.4,,,0
Clark Girardeau,22,4,4,.500,5.02,13,13,0,0,0,0,71.2,64,50,40,9,29,1,73,5,0,4,310,1.298,8.0,1.1,3.6,9.2,2.52,,0
Grant Gregg*,24,1,2,.333,5.09,12,0,3,0,0,0,17.2,22,13,10,2,5,0,16,0,0,0,80,1.528,11.2,1.0,2.5,8.2,3.20,,0
Sazi Guthrie,24,2,4,.333,4.23,35,3,4,0,0,1,76.2,84,48,36,6,32,1,57,8,1,8,356,1.513,9.9,0.7,3.8,6.7,1.78,,0
Dirk Hayhurst,23,9,4,.692,2.66,26,17,1,0,0,0,118.1,114,41,35,6,19,0,106,4,1,4,475,1.124,8.7,0.5,1.4,8.1,5.58,,1
Ryan Klatt,22,4,0,1.000,2.79,25,0,12,0,0,3,29.0,19,10,9,1,6,2,35,0,0,2,112,0.862,5.9,0.3,1.9,10.9,5.83,,0
David Mead,23,1,5,.167,6.55,18,11,2,0,0,0,57.2,62,49,42,1,34,0,54,16,2,10,276,1.665,9.7,0.2,5.3,8.4,1.59,,0
Daniel Moore*,22,1,3,.250,7.41,4,4,0,0,0,0,17.0,27,14,14,1,10,0,14,1,0,0,83,2.176,14.3,0.5,5.3,7.4,1.40,,0
Howard Pence,24,4,3,.571,2.83,44,0,11,0,0,2,47.2,45,24,15,1,24,1,49,2,0,6,214,1.448,8.5,0.2,4.5,9.3,2.04,,0
Henry Perez,21,3,1,.750,3.70,21,0,9,0,0,0,24.1,21,14,10,3,8,0,23,0,2,4,102,1.192,7.8,1.1,3.0,8.5,2.88,,0
Ronnie Robinson,23,0,0,,4.40,10,0,8,0,0,0,14.1,20,13,7,2,5,0,13,1,0,2,70,1.744,12.6,1.3,3.1,8.2,2.60,,0
Leo Rosales,23,6,1,.857,1.40,53,1,40,0,0,26,57.2,38,11,9,4,15,1,66,0,0,1,230,0.919,5.9,0.6,2.3,10.3,4.40,,1
Luke Steidlmayer,23,1,0,1.000,2.61,3,2,0,0,0,0,10.1,6,5,3,0,1,0,14,2,0,0,42,0.677,5.2,0.0,0.9,12.2,14.00,,0
Vern Sterry,22,2,0,1.000,2.40,5,5,0,0,0,0,30.0,27,9,8,2,5,0,26,1,0,1,121,1.067,8.1,0.6,1.5,7.8,5.20,,0
Sean Thompson*,21,9,6,.600,3.10,27,27,0,0,0,0,148.0,124,60,51,15,57,0,157,5,1,3,608,1.223,7.5,0.9,3.5,9.5,2.75,,0
Chris Tierney*,20,3,4,.429,3.38,15,15,0,0,0,0,82.2,91,40,31,2,31,0,51,4,3,2,356,1.476,9.9,0.2,3.4,5.6,1.65,,0
Jake Upwood*,23,1,2,.333,6.00,19,0,5,0,0,0,21.0,24,20,14,1,12,1,17,2,0,8,101,1.714,10.3,0.4,5.1,7.3,1.42,,0
Matt Varner,22,2,2,.500,1.61,19,0,3,0,0,1,22.1,18,6,4,2,7,1,16,2,0,1,94,1.119,7.3,0.8,2.8,6.4,2.29,,0
Jared Wells,22,4,6,.400,4.09,14,14,0,1,0,0,81.1,91,42,37,6,19,0,72,2,1,4,349,1.352,10.1,0.7,2.1,8.0,3.79,,1
28 Players,22.7,72,68,.514,3.78,140,140,139,1,7,40,1237.2,1216,669,520,95,454,13,1185,70,12,82,5361,1.349,8.8,0.7,3.3,8.6,2.61,,0
