Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Kurt Ainsworth,25,0,0,,9.00,1,1,0,0,0,0,4.0,7,4,4,1,1,0,6,1,0,0,18,2.000,15.8,2.3,2.3,13.5,6.00,,1
Rick Bauer,27,3,5,.375,4.00,11,11,0,0,0,0,63.0,69,28,28,3,19,0,42,4,2,1,266,1.397,9.9,0.4,2.7,6.0,2.21,,1
Erik Bedard*,25,0,1,.000,7.20,2,2,0,0,0,0,5.0,8,4,4,1,3,0,3,0,0,0,26,2.200,14.4,1.8,5.4,5.4,1.00,,1
Sean Bergman,34,7,10,.412,4.94,20,18,0,2,0,0,102.0,119,68,56,20,33,1,89,8,0,3,462,1.490,10.5,1.8,2.9,7.9,2.70,,1
Dave Borkowski,27,6,9,.400,4.85,16,16,0,0,0,0,85.1,99,53,46,6,26,0,56,6,0,1,369,1.465,10.4,0.6,2.7,5.9,2.15,,1
Tim Byrdak*,30,2,1,.667,4.19,33,1,11,0,0,2,34.1,46,20,16,4,12,1,43,2,0,1,164,1.689,12.1,1.0,3.1,11.3,3.58,,1
Bruce Chen*,27,4,3,.571,3.22,22,17,0,1,1,0,95.0,85,41,34,12,30,1,108,1,2,1,394,1.211,8.1,1.1,2.8,10.2,3.60,,1
Ryan Childs,22,0,1,.000,12.00,1,1,0,0,0,0,3.0,5,4,4,2,2,0,0,1,0,0,15,2.333,15.0,6.0,6.0,0.0,0.00,,0
Darwin Cubillan,31,3,4,.429,4.59,51,0,42,0,0,24,51.0,52,26,26,7,17,1,53,2,0,1,222,1.353,9.2,1.2,3.0,9.4,3.12,,1
Matt DeWitt,26,2,4,.333,7.88,25,5,4,0,0,1,53.2,70,47,47,12,20,2,25,1,0,0,248,1.677,11.7,2.0,3.4,4.2,1.25,,1
Mark DiFelice,27,9,4,.692,3.44,36,4,3,0,0,1,89.0,73,42,34,10,27,1,70,2,1,3,365,1.124,7.4,1.0,2.7,7.1,2.59,,1
Tony Fiore,32,3,1,.750,1.80,25,0,8,0,0,3,45.0,36,11,9,1,10,0,32,3,0,1,183,1.022,7.2,0.2,2.0,6.4,3.20,,1
Brian Forystek*,25,3,5,.375,5.58,12,11,0,0,0,0,61.1,71,46,38,6,32,1,43,4,0,1,275,1.679,10.4,0.9,4.7,6.3,1.34,,0
Joe Gannon,29,0,4,.000,10.24,4,4,0,0,0,0,19.1,20,23,22,1,26,0,10,2,0,7,101,2.379,9.3,0.5,12.1,4.7,0.38,,0
Joey Hammond,26,0,0,,9.00,2,0,2,0,0,0,2.0,3,2,2,1,0,0,0,0,0,0,9,1.500,13.5,4.5,0.0,0.0,,,0
Craig House,26,0,0,,7.43,11,0,3,0,0,0,13.1,13,11,11,4,13,0,12,1,0,1,67,1.950,8.8,2.7,8.8,8.1,0.92,,1
Andrew Lorraine*,31,5,4,.556,4.50,28,19,3,0,0,0,120.0,137,65,60,11,36,3,74,3,0,4,524,1.442,10.3,0.8,2.7,5.6,2.06,,1
John Maine,23,5,7,.417,3.91,22,22,0,0,0,0,119.2,123,59,52,12,52,0,105,5,1,2,512,1.462,9.3,0.9,3.9,7.9,2.02,,1
Javier Martinez,27,0,0,,10.80,1,1,0,0,0,0,1.2,4,4,2,0,4,0,0,0,0,0,14,4.800,21.6,0.0,21.6,0.0,0.00,,1
Rodney Ormond,27,3,2,.600,5.55,28,0,8,0,0,1,47.0,50,29,29,1,29,4,38,2,0,6,220,1.681,9.6,0.2,5.6,7.3,1.31,,0
Mike Paradis,26,0,0,,15.32,9,0,2,0,0,0,12.1,22,22,21,3,18,0,8,3,0,8,78,3.243,16.1,2.2,13.1,5.8,0.44,,0
Carlos Perez*,22,0,0,,36.00,1,0,0,0,0,0,1.0,4,4,4,1,1,0,1,0,0,0,7,5.000,36.0,9.0,9.0,9.0,1.00,,0
Aaron Rakers,27,4,5,.444,2.75,54,1,18,0,0,1,78.2,65,27,24,8,25,4,80,2,0,2,326,1.144,7.4,0.9,2.9,9.2,3.20,,1
Matt Riley*,24,1,2,.333,1.71,10,10,0,0,0,0,42.0,26,9,8,3,23,0,51,0,0,2,170,1.167,5.6,0.6,4.9,10.9,2.22,,1
Eddy Rodriguez,22,1,0,1.000,5.12,28,0,17,0,0,3,31.2,34,19,18,4,18,0,31,3,0,1,152,1.642,9.7,1.1,5.1,8.8,1.72,,1
Jose Rodriguez*,29,2,0,1.000,7.56,20,0,8,0,0,0,25.0,30,25,21,8,16,1,17,1,1,2,121,1.840,10.8,2.9,5.8,6.1,1.06,,1
Sean Spencer*,29,0,1,.000,5.79,9,0,1,0,0,0,18.2,21,12,12,3,11,0,14,1,0,1,86,1.714,10.1,1.4,5.3,6.8,1.27,,1
Jerry Spradlin,37,2,4,.333,6.89,11,0,6,0,0,1,15.2,16,14,12,1,13,2,12,1,0,3,77,1.851,9.2,0.6,7.5,6.9,0.92,,1
Todd Williams,33,1,1,.500,3.05,14,0,5,0,0,2,20.2,19,7,7,0,3,1,11,0,0,2,84,1.065,8.3,0.0,1.3,4.8,3.67,,1
29 Players,28.1,66,78,.458,4.65,144,144,141,3,6,39,1260.1,1327,726,651,146,520,23,1034,59,7,54,5555,1.465,9.5,1.0,3.7,7.4,1.99,,0
