Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Conor Brooks,26,0,2,.000,2.77,8,0,2,0,0,1,13.0,7,4,4,2,3,0,19,0,0,0,49,0.769,4.8,1.4,2.1,13.2,6.33,,0
Juan Cedeno*,20,7,6,.538,4.64,25,22,0,1,0,0,120.1,145,70,62,8,40,3,78,5,0,2,534,1.537,10.8,0.6,3.0,5.8,1.95,,0
Tom Cochran*,21,0,0,,16.50,4,0,2,0,0,0,6.0,12,11,11,2,3,0,1,1,0,0,34,2.500,18.0,3.0,4.5,1.5,0.33,,0
Willy Corporan,22,2,2,.500,3.53,14,0,5,0,0,0,35.2,28,15,14,4,10,2,25,2,1,1,144,1.065,7.1,1.0,2.5,6.3,2.50,,0
Manny Delcarmen,22,3,6,.333,4.68,19,18,1,0,0,0,73.0,84,43,38,10,20,1,76,4,0,1,310,1.425,10.4,1.2,2.5,9.4,3.80,,1
Mike Dennison,23,1,1,.500,6.94,18,0,10,0,0,5,23.1,27,18,18,4,12,1,24,1,0,1,110,1.671,10.4,1.5,4.6,9.3,2.00,,0
Lenny DiNardo*,24,0,0,,0.00,1,1,0,0,0,0,3.0,2,0,0,0,0,0,2,0,0,0,11,0.667,6.0,0.0,0.0,6.0,,,1
Kason Gabbard*,22,3,2,.600,2.70,10,7,1,0,0,1,43.1,43,17,13,2,16,1,30,4,1,5,191,1.362,8.9,0.4,3.3,6.2,1.88,,1
Bryan Hebson,28,0,0,,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,2,0,0,0,7,0.500,4.5,0.0,0.0,9.0,,,1
Jason Howell*,25,5,0,1.000,2.70,19,0,6,0,0,0,23.1,25,10,7,1,12,2,14,0,0,2,107,1.586,9.6,0.4,4.6,5.4,1.17,,0
Byung-Hyun Kim,25,0,0,,0.00,1,1,0,0,0,0,2.0,0,0,0,0,0,0,2,0,0,0,5,0.000,0.0,0.0,0.0,9.0,,,1
Ryan Larson,25,2,0,1.000,1.77,11,0,3,0,0,1,20.1,18,6,4,1,9,0,22,0,0,4,86,1.328,8.0,0.4,4.0,9.7,2.44,,0
Jon Lester*,20,7,6,.538,4.28,21,20,0,0,0,0,90.1,82,46,43,2,37,0,97,3,1,1,382,1.317,8.2,0.2,3.7,9.7,2.62,,1
Brian Marshall*,21,1,1,.500,3.49,27,0,9,0,0,1,38.2,35,15,15,2,15,1,39,3,0,0,171,1.293,8.1,0.5,3.5,9.1,2.60,,0
Luis Mendoza,20,8,7,.533,3.74,25,25,0,1,0,0,137.0,133,76,57,12,54,5,51,6,0,10,596,1.365,8.7,0.8,3.5,3.4,0.94,,1
Ramiro Mendoza,32,0,1,.000,4.50,2,2,0,0,0,0,4.0,6,2,2,0,0,0,3,0,0,0,18,1.500,13.5,0.0,0.0,6.8,,,1
Cla Meredith,21,0,2,.000,2.20,16,0,16,0,0,12,16.1,15,4,4,0,3,0,16,1,0,0,68,1.102,8.3,0.0,1.7,8.8,5.33,,1
Carlos Morla,22,1,1,.500,7.71,13,0,5,0,0,0,21.0,28,19,18,3,9,1,16,0,0,1,100,1.762,12.0,1.3,3.9,6.9,1.78,,0
Kevin Ool*,23,0,0,,3.18,2,0,0,0,0,0,5.2,5,2,2,0,2,1,5,0,0,0,24,1.235,7.9,0.0,3.2,7.9,2.50,,0
David Pahucki,23,5,4,.556,1.81,43,0,18,0,0,5,59.2,46,15,12,2,15,4,40,4,0,4,243,1.022,6.9,0.3,2.3,6.0,2.67,,0
Jonathan Papelbon,23,12,7,.632,2.64,24,24,0,2,0,0,129.2,97,43,38,6,43,2,153,7,0,3,520,1.080,6.7,0.4,3.0,10.6,3.56,,1
Shane Rhodes*,24,0,1,.000,7.43,6,0,2,0,0,0,13.1,15,12,11,4,5,0,9,2,0,0,62,1.500,10.1,2.7,3.4,6.1,1.80,,0
Eladio Rodriguez,25,0,0,,5.40,4,0,3,0,0,0,5.0,8,5,3,0,4,0,3,0,0,1,27,2.400,14.4,0.0,7.2,5.4,0.75,,0
Joe Rogers*,22,8,5,.615,3.72,36,2,17,0,0,1,82.1,76,45,34,4,47,1,48,3,1,10,370,1.494,8.3,0.4,5.1,5.2,1.02,,0
Andy Shipman,22,1,1,.500,3.14,22,0,17,0,0,13,28.2,22,12,10,2,15,1,25,1,0,2,125,1.291,6.9,0.6,4.7,7.8,1.67,,0
Greg Stone,23,0,0,,0.00,1,0,1,0,0,0,2.0,0,0,0,0,3,0,1,0,0,0,9,1.500,0.0,0.0,13.5,4.5,0.33,,0
Justin Sturge*,23,4,3,.571,2.80,39,2,11,0,0,0,80.1,78,36,25,1,29,3,71,4,0,6,350,1.332,8.7,0.1,3.2,8.0,2.45,,0
Mat Thompson,22,0,0,,21.21,3,0,1,0,0,0,4.2,10,11,11,0,6,0,5,2,0,0,32,3.429,19.3,0.0,11.6,9.6,0.83,,0
Jose Vaquedano,22,5,1,.833,3.95,14,8,2,0,0,0,68.1,65,34,30,4,21,2,60,5,0,6,281,1.259,8.6,0.5,2.8,7.9,2.86,,0
Colin Young*,26,0,0,,0.00,2,0,0,0,0,0,2.1,1,1,0,0,2,0,2,0,0,0,10,1.286,3.9,0.0,7.7,7.7,1.00,,0
Charlie Zink,24,0,2,.000,5.65,3,3,0,0,0,0,14.1,22,13,9,0,9,0,3,0,0,2,66,2.163,13.8,0.0,5.7,1.9,0.33,,1
31 Players,22.1,75,61,.551,3.81,136,136,132,4,3,40,1169.0,1136,585,495,76,444,31,942,58,4,62,5042,1.352,8.7,0.6,3.4,7.3,2.12,,0
