Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Scott Beerer,22,2,3,.400,3.69,45,0,38,0,0,23,46.1,52,23,19,3,15,0,44,0,0,3,206,1.446,10.1,0.6,2.9,8.5,2.93,,0
Adam Bright*,20,4,2,.667,3.38,51,0,20,0,0,6,64.0,56,26,24,6,28,1,51,3,1,3,264,1.313,7.9,0.8,3.9,7.2,1.82,,0
Chris Buechner,21,4,3,.571,5.07,53,0,12,0,0,3,65.2,68,40,37,8,26,1,68,8,0,5,300,1.431,9.3,1.1,3.6,9.3,2.62,,0
Matt Daley,23,8,2,.800,3.99,45,0,21,0,0,1,79.0,90,46,35,10,16,0,49,12,0,5,349,1.342,10.3,1.1,1.8,5.6,3.06,,1
Sam Deduno,21,8,8,.500,5.62,20,20,0,1,0,0,89.2,82,67,56,9,65,0,110,11,1,13,410,1.639,8.2,0.9,6.5,11.0,1.69,,1
George Delgado,21,0,1,.000,10.32,10,0,3,0,0,1,11.1,22,17,13,2,3,0,13,0,0,1,60,2.206,17.5,1.6,2.4,10.3,4.33,,0
Jason Diangelo,24,4,4,.500,5.52,46,0,15,0,0,0,73.1,93,59,45,11,29,0,74,5,0,10,348,1.664,11.4,1.4,3.6,9.1,2.55,,0
Jarrett Grube,23,5,5,.500,6.02,32,11,6,0,0,0,104.2,119,76,70,17,30,1,98,14,1,5,467,1.424,10.2,1.5,2.6,8.4,3.27,,1
Efren Lira,23,0,0,,0.00,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0.000,0.0,0.0,0.0,0.0,,,0
Ching-Lung Lo,19,7,9,.438,5.65,24,24,0,1,0,0,121.0,148,90,76,23,38,0,91,14,0,4,550,1.537,11.0,1.7,2.8,6.8,2.39,,0
Ryan Mattheus,21,7,6,.538,5.82,23,23,0,0,0,0,128.1,142,90,83,16,52,0,102,12,0,14,581,1.512,10.0,1.1,3.6,7.2,1.96,,1
Darric Merrell,23,3,4,.429,3.76,52,0,16,0,0,6,83.2,78,37,35,7,15,0,68,6,2,5,337,1.112,8.4,0.8,1.6,7.3,4.53,,0
Franklin Morales*,19,8,4,.667,3.08,21,15,3,0,0,1,96.1,73,40,33,6,48,0,108,8,7,7,399,1.256,6.8,0.6,4.5,10.1,2.25,,1
Juan Morillo,21,1,3,.250,4.54,7,7,0,0,0,0,33.2,40,24,17,2,13,0,43,1,0,3,152,1.574,10.7,0.5,3.5,11.5,3.31,,1
Florentino Nunez,21,0,0,,27.00,1,0,1,0,0,0,1.0,3,4,3,0,2,0,0,0,0,0,8,5.000,27.0,0.0,18.0,0.0,0.00,,0
David Patton,21,0,3,.000,10.93,4,4,0,0,0,0,14.0,26,23,17,4,8,0,9,1,0,1,78,2.429,16.7,2.6,5.1,5.8,1.13,,1
Jake Postlewait*,23,7,8,.467,5.99,26,26,0,0,0,0,136.2,177,96,91,21,49,0,91,4,1,4,627,1.654,11.7,1.4,3.2,6.0,1.86,,0
Larry Robles,24,3,2,.600,3.00,8,8,0,0,0,0,42.0,31,15,14,6,20,0,33,3,0,2,172,1.214,6.6,1.3,4.3,7.1,1.65,,0
Kyle Wilson,22,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0.000,0.0,0.0,0.0,0.0,,,0
19 Players,21.7,71,67,.514,5.05,138,138,136,2,5,41,1192.0,1300,773,669,151,457,3,1052,102,13,85,5312,1.474,9.8,1.1,3.5,7.9,2.30,,0
