Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Aaron Harang,27,11,13,.458,3.83,32,32,0,1,0,0,211.2,217,93,90,22,51,3,163,8,0,6,887,112,3.67,1.266,9.2,0.9,2.2,6.9,3.20,1
SP,Eric Milton*,29,8,15,.348,6.47,34,34,0,0,0,0,186.1,237,141,134,40,52,2,123,7,0,8,855,66,5.44,1.551,11.4,1.9,2.5,5.9,2.37,1
SP,Ramon Ortiz,32,9,11,.450,5.36,30,30,0,1,0,0,171.1,206,110,102,34,51,1,96,7,1,4,755,80,5.49,1.500,10.8,1.8,2.7,5.0,1.88,1
SP,Brandon Claussen*,26,10,11,.476,4.21,29,29,0,0,0,0,166.2,178,89,78,24,57,5,121,7,1,2,731,102,4.59,1.410,9.6,1.3,3.1,6.5,2.12,1
SP,Luke Hudson,28,6,9,.400,6.38,19,16,1,0,0,0,84.2,83,62,60,14,50,2,53,11,0,5,380,67,6.08,1.571,8.8,1.5,5.3,5.6,1.06,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,David Weathers,35,7,4,.636,3.94,73,0,41,0,0,15,77.2,71,36,34,7,29,2,61,2,0,4,331,109,3.82,1.288,8.2,0.8,3.4,7.1,2.10,1
RP,Matt Belisle,25,4,8,.333,4.41,60,5,17,0,0,1,85.2,101,49,42,11,26,6,59,6,0,3,382,97,4.43,1.482,10.6,1.2,2.7,6.2,2.27,1
RP,Kent Mercker*,37,3,1,.750,3.65,78,0,23,0,0,4,61.2,64,27,25,8,19,4,45,3,0,1,265,118,4.32,1.346,9.3,1.2,2.8,6.6,2.37,1
RP,Todd Coffey,24,4,1,.800,4.50,57,0,14,0,0,1,58.0,84,33,29,5,11,2,26,5,0,1,265,96,4.07,1.638,13.0,0.8,1.7,4.0,2.36,1
RP,Ryan Wagner,22,3,2,.600,6.11,42,0,8,0,0,0,45.2,56,33,31,4,17,1,39,4,0,2,210,70,3.83,1.599,11.0,0.8,3.4,7.7,2.29,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Randy Keisler*,29,2,1,.667,6.27,24,4,7,0,0,0,56.0,64,45,39,10,28,2,43,1,0,2,262,69,5.36,1.643,10.3,1.6,4.5,6.9,1.54,1
,Paul Wilson,32,1,5,.167,7.77,9,9,0,0,0,0,46.1,68,41,40,10,17,1,30,4,0,2,224,55,5.89,1.835,13.2,1.9,3.3,5.8,1.76,1
,Jason Standridge,26,2,2,.500,4.06,32,0,6,0,0,0,31.0,38,14,14,3,16,7,17,1,0,1,140,106,4.83,1.742,11.0,0.9,4.6,4.9,1.06,1
,Ricky Stone,30,0,0,,6.75,23,0,4,0,0,0,30.2,48,24,23,8,7,2,15,2,0,2,143,64,6.31,1.793,14.1,2.3,2.1,4.4,2.14,1
,Brian Shackelford*,28,1,0,1.000,2.43,37,0,5,0,0,0,29.2,21,9,8,2,9,1,17,6,1,3,119,178,4.27,1.011,6.4,0.6,2.7,5.2,1.89,1
,Elizardo Ramirez,22,0,3,.000,8.46,6,4,1,0,0,0,22.1,33,22,21,5,10,2,9,2,0,2,110,51,6.74,1.925,13.3,2.0,4.0,3.6,0.90,1
,Danny Graves,31,1,1,.500,7.36,20,0,18,0,0,10,18.1,30,18,15,4,12,3,8,0,0,3,99,59,6.95,2.291,14.7,2.0,5.9,3.9,0.67,1
,Joe Valentine,25,0,1,.000,8.16,16,0,5,0,0,0,14.1,18,15,13,4,11,0,9,2,0,1,76,54,8.11,2.023,11.3,2.5,6.9,5.7,0.82,1
,Josh Hancock,27,1,0,1.000,1.93,11,0,5,0,0,0,14.0,11,4,3,1,1,0,5,0,0,0,54,227,3.45,0.857,7.1,0.6,0.6,3.2,5.00,1
,Ben Weber,35,0,0,,8.03,10,0,3,0,0,0,12.1,20,11,11,0,9,1,8,1,0,0,66,55,4.16,2.351,14.6,0.0,6.6,5.8,0.89,1
,Allan Simpson,27,0,1,.000,6.75,9,0,2,0,0,0,6.2,3,5,5,1,5,0,6,1,0,1,28,67,5.87,1.200,4.1,1.4,6.8,8.1,1.20,1
,Chris Booker,28,0,0,,31.50,3,0,1,0,0,0,2.0,6,8,7,2,4,0,2,0,0,0,15,16,20.02,5.000,27.0,9.0,18.0,9.0,0.50,1
,Team Totals,28.6,73,89,.451,5.15,163,163,161,2,0,31,1433.0,1657,889,820,219,492,47,955,80,3,53,6397,83,4.87,1.500,10.4,1.4,3.1,6.0,1.94,1
,Rank in 16 NL teams,,13,4,,16,,,,16,16,16,14 ,16,16,16,16,6,,15,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
