Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Byron Binda,22,4,1,.800,4.60,21,0,4,0,0,0,31.1,39,24,16,5,12,1,38,4,0,4,146,1.628,11.2,1.4,3.4,10.9,3.17,,0
Xavier Cedeno*,18,1,3,.250,5.43,12,12,0,0,0,0,53.0,62,36,32,4,17,0,47,8,0,3,236,1.491,10.5,0.7,2.9,8.0,2.76,,1
Brandon Durden*,20,1,4,.200,6.02,12,11,0,0,0,0,49.1,72,42,33,7,23,3,49,3,0,5,242,1.926,13.1,1.3,4.2,8.9,2.13,,0
Sandy Espinosa,20,1,2,.333,4.64,21,0,6,0,0,0,33.0,32,23,17,3,22,0,30,5,1,7,156,1.636,8.7,0.8,6.0,8.2,1.36,,0
Robinson Fabian,19,1,3,.250,11.79,12,3,3,0,0,0,23.2,43,33,31,8,8,1,20,1,0,5,121,2.155,16.4,3.0,3.0,7.6,2.50,,0
Ross Hipke,18,1,1,.500,6.75,19,0,0,0,0,0,32.0,41,33,24,11,9,0,26,0,2,2,146,1.563,11.5,3.1,2.5,7.3,2.89,,0
Alan Johnson,21,3,2,.600,3.97,15,15,0,0,0,0,79.1,90,44,35,1,24,1,78,2,0,4,349,1.437,10.2,0.1,2.7,8.8,3.25,,1
Andrew Johnston,21,1,2,.333,1.06,30,0,29,0,0,18,34.0,22,10,4,0,7,2,24,0,0,2,137,0.853,5.8,0.0,1.9,6.4,3.43,,0
Radhames Manzueta,22,0,4,.000,8.78,4,4,0,0,0,0,13.1,25,22,13,1,8,0,13,3,0,2,76,2.475,16.9,0.7,5.4,8.8,1.63,,0
Jason Metzger*,23,6,1,.857,5.13,22,4,1,0,0,0,47.1,50,29,27,7,13,0,40,3,2,4,204,1.331,9.5,1.3,2.5,7.6,3.08,,0
Riquy Pena,20,2,3,.400,6.48,21,0,6,0,0,0,25.0,27,20,18,2,24,2,21,4,1,5,126,2.040,9.7,0.7,8.6,7.6,0.88,,0
Manuel Pichardo,21,1,0,1.000,5.34,23,0,4,0,0,0,32.0,37,29,19,5,18,0,29,4,0,10,152,1.719,10.4,1.4,5.1,8.2,1.61,,0
Aneury Rodriguez,17,3,4,.429,7.55,15,15,0,0,0,0,62.0,77,54,52,7,26,0,47,7,1,11,285,1.661,11.2,1.0,3.8,6.8,1.81,,1
Chaz Roe,18,5,2,.714,4.17,12,12,0,0,0,0,49.2,31,25,23,2,36,0,55,6,0,8,220,1.349,5.6,0.4,6.5,10.0,1.53,,1
Sean Ruthven,22,2,1,.667,3.58,18,0,6,0,0,1,27.2,25,20,11,5,11,2,35,1,0,7,121,1.301,8.1,1.6,3.6,11.4,3.18,,0
Rafael Sanchez,22,2,1,.667,3.24,13,0,1,0,0,0,16.2,15,7,6,0,7,1,18,1,0,2,73,1.320,8.1,0.0,3.8,9.7,2.57,,0
Brett Strickland,22,4,3,.571,1.43,30,0,10,0,0,3,44.0,34,11,7,0,16,3,45,1,2,3,182,1.136,7.0,0.0,3.3,9.2,2.81,,0
Lindsay Webb,18,0,1,.000,5.40,15,0,6,0,0,0,18.1,20,13,11,2,10,0,9,4,0,2,87,1.636,9.8,1.0,4.9,4.4,0.90,,0
18 Players,20.2,38,38,.500,5.05,76,76,76,0,4,22,671.2,742,475,377,70,291,16,624,57,9,86,3059,1.538,9.9,0.9,3.9,8.4,2.14,,0
