Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Jose Arredondo,22,2,3,.400,6.53,11,11,0,1,1,0,60.2,80,47,44,8,22,0,48,1,0,6,280,1.681,11.9,1.2,3.3,7.1,2.18,,1
Jason Aspito,27,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0.000,0.0,0.0,0.0,0.0,,,0
Tim Bittner*,26,2,2,.500,6.97,17,0,8,0,0,0,20.2,27,18,16,1,19,0,17,2,0,2,105,2.226,11.8,0.4,8.3,7.4,0.89,,0
Allen Buckley,26,1,2,.333,4.84,10,0,2,0,0,0,22.1,25,12,12,5,13,2,19,2,0,2,104,1.701,10.1,2.0,5.2,7.7,1.46,,0
Daniel Davidson*,25,2,8,.200,5.64,29,16,6,0,0,0,113.1,146,81,71,13,43,0,62,4,0,5,520,1.668,11.6,1.0,3.4,4.9,1.44,,1
Devin Day,25,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,1.000,9.0,0.0,0.0,0.0,,,0
Kyle Edens,26,3,3,.500,6.46,25,1,9,0,0,1,47.1,69,40,34,6,30,1,32,0,0,2,234,2.092,13.1,1.1,5.7,6.1,1.07,,0
Bill Edwards,25,8,7,.533,5.71,52,0,29,0,0,4,80.1,94,59,51,5,39,0,45,11,0,5,368,1.656,10.5,0.6,4.4,5.0,1.15,,0
Miguel Gonzalez,22,0,2,.000,3.88,31,0,19,0,0,4,53.1,41,23,23,8,17,0,38,0,0,0,209,1.088,6.9,1.4,2.9,6.4,2.24,,1
Nick Green,21,8,5,.615,4.41,17,17,0,0,0,0,112.1,115,64,55,23,21,0,77,2,1,4,463,1.211,9.2,1.8,1.7,6.2,3.67,,0
Marcus Gwyn,28,0,0,,0.00,1,0,1,0,0,1,1.0,1,0,0,0,0,0,1,0,0,0,4,1.000,9.0,0.0,0.0,9.0,,,1
Jeff Heaverlo,28,0,1,.000,1.04,5,0,3,0,0,0,8.2,8,3,1,0,2,0,6,1,0,0,35,1.154,8.3,0.0,2.1,6.2,3.00,,0
James Holcomb,25,0,7,.000,5.46,13,13,0,0,0,0,62.2,75,51,38,6,20,0,42,8,1,3,288,1.516,10.8,0.9,2.9,6.0,2.10,,0
Chris Hunter,25,4,14,.222,7.45,25,25,0,0,0,0,125.2,168,113,104,21,69,0,49,9,2,13,602,1.886,12.0,1.5,4.9,3.5,0.71,,0
Matt Pali*,25,0,0,,13.50,2,0,2,0,0,0,1.1,2,2,2,1,2,0,2,0,0,0,8,3.000,13.5,6.8,13.5,13.5,1.00,,0
Aaron Pullin,25,2,0,1.000,4.70,28,0,9,0,0,1,46.0,46,25,24,5,27,1,28,5,0,4,212,1.587,9.0,1.0,5.3,5.5,1.04,,0
Rafael Rodriguez,21,5,10,.333,6.63,24,24,0,0,0,0,133.0,175,111,98,28,55,0,83,7,1,12,615,1.729,11.8,1.9,3.7,5.6,1.51,,1
Steven Shell,23,1,2,.333,4.00,3,3,0,0,0,0,18.0,20,12,8,1,4,0,10,1,0,0,75,1.333,10.0,0.5,2.0,5.0,2.50,,1
Michel Simard,24,0,1,.000,6.42,16,2,5,0,0,0,33.2,46,27,24,5,17,0,24,2,0,4,164,1.871,12.3,1.3,4.5,6.4,1.41,,0
Jesse Smith,25,8,13,.381,5.22,28,27,0,2,0,0,160.1,199,113,93,24,64,0,94,14,0,10,737,1.640,11.2,1.3,3.6,5.3,1.47,,0
Rich Thompson,21,3,4,.429,5.13,42,0,30,0,0,10,66.2,52,39,38,13,27,0,60,4,1,6,276,1.185,7.0,1.8,3.6,8.1,2.22,,1
Rob Zimmermann,24,2,3,.400,6.11,34,0,11,0,0,5,45.2,44,32,31,5,35,1,26,3,0,2,214,1.730,8.7,1.0,6.9,5.1,0.74,,0
22 Players,23.8,51,87,.370,5.65,139,139,136,3,5,26,1215.0,1434,872,763,178,526,5,763,76,6,80,5520,1.613,10.6,1.3,3.9,5.7,1.45,,0
