Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Greg Aquino,28,2,0,1.000,0.00,9,0,3,0,0,1,11.2,6,0,0,0,4,0,15,0,1,1,43,0.857,4.6,0.0,3.1,11.6,3.75,,1
Daryl Arreola,23,1,0,1.000,0.00,1,0,0,0,0,0,3.0,1,0,0,0,1,0,1,0,1,0,11,0.667,3.0,0.0,3.0,3.0,1.00,,0
Mike Bacsik*,28,11,0,1.000,2.79,28,10,4,0,0,0,87.0,81,28,27,8,19,0,57,2,0,2,350,1.149,8.4,0.8,2.0,5.9,3.00,,1
Jeff Bajenaru,28,4,3,.571,4.50,52,3,22,0,0,7,80.0,79,47,40,6,40,1,72,4,0,6,360,1.488,8.9,0.7,4.5,8.1,1.80,,1
Adam Bass,24,9,4,.692,4.76,20,20,0,1,1,0,124.2,136,68,66,13,40,0,68,7,0,3,546,1.412,9.8,0.9,2.9,4.9,1.70,,0
Brian Bruney,24,0,1,.000,33.75,4,0,2,0,0,0,2.2,10,12,10,2,4,0,4,0,0,0,23,5.250,33.8,6.8,13.5,13.5,1.00,,1
Jonathan Castellanos,24,0,0,,4.50,1,0,0,0,0,0,2.0,3,1,1,0,0,0,1,0,0,0,8,1.500,13.5,0.0,0.0,4.5,,,0
Randy Choate*,30,6,0,1.000,2.17,43,1,19,0,0,8,45.2,39,13,11,0,10,1,44,1,0,1,184,1.073,7.7,0.0,2.0,8.7,4.40,,1
Juan Cruz,27,0,0,,2.70,1,1,0,0,0,0,3.1,4,1,1,0,1,0,4,1,0,0,16,1.500,10.8,0.0,2.7,10.8,4.00,,1
Casey Daigle,25,3,5,.375,4.69,42,0,15,0,0,4,48.0,60,31,25,6,17,0,41,0,0,5,219,1.604,11.3,1.1,3.2,7.7,2.41,,1
Matt Erickson,30,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0.000,0.0,0.0,0.0,0.0,,,1
Edgar Gonzalez,23,3,8,.273,3.90,24,24,0,3,1,0,138.1,142,69,60,11,27,0,107,13,0,5,577,1.222,9.2,0.7,1.8,7.0,3.96,,1
Enrique Gonzalez,23,4,3,.571,2.24,10,10,0,0,0,0,60.1,61,22,15,2,14,0,35,2,0,3,251,1.243,9.1,0.3,2.1,5.2,2.50,,1
Kevin Jarvis,36,3,6,.333,3.44,15,13,1,0,0,0,83.2,76,40,32,7,22,0,58,3,0,1,347,1.171,8.2,0.8,2.4,6.2,2.64,,1
Chris Kinsey,23,0,0,,12.00,3,0,0,0,0,0,3.0,4,4,4,2,1,0,5,0,0,0,14,1.667,12.0,6.0,3.0,15.0,5.00,,0
Mike Koplove,29,5,0,1.000,3.60,48,0,9,0,0,0,65.0,63,31,26,4,24,1,49,1,0,2,270,1.338,8.7,0.6,3.3,6.8,2.04,,1
Evan MacLane*,23,1,0,1.000,3.38,2,1,0,0,0,0,8.0,10,3,3,1,1,0,4,0,0,0,33,1.375,11.3,1.1,1.1,4.5,4.00,,1
Brandon Medders,26,0,1,.000,1.50,5,0,1,0,0,0,6.0,4,2,1,0,1,0,9,0,1,0,22,0.833,6.0,0.0,1.5,13.5,9.00,,1
Terry Mulholland*,43,1,1,.500,3.38,3,1,1,0,0,0,10.2,9,4,4,0,3,0,5,0,0,0,40,1.125,7.6,0.0,2.5,4.2,1.67,,1
Bill Murphy*,25,5,4,.556,5.58,37,9,5,0,0,0,80.2,86,53,50,5,38,0,72,1,2,3,358,1.537,9.6,0.6,4.2,8.0,1.89,,1
Neal Musser*,25,1,3,.250,5.45,8,7,0,0,0,0,36.1,44,26,22,4,24,0,18,5,0,6,174,1.872,10.9,1.0,5.9,4.5,0.75,,1
Dustin Nippert,25,13,8,.619,4.87,25,24,0,1,0,0,140.1,161,85,76,11,52,0,130,4,0,7,621,1.518,10.3,0.7,3.3,8.3,2.50,,1
Ross Ohlendorf,23,0,0,,1.80,1,1,0,0,0,0,5.0,6,1,1,0,0,0,4,1,0,0,21,1.200,10.8,0.0,0.0,7.2,,,1
Russ Ortiz,32,1,0,1.000,2.61,4,4,0,0,0,0,20.2,22,7,6,1,5,0,10,0,0,0,90,1.306,9.6,0.4,2.2,4.4,2.00,,1
Micah Owings,23,10,0,1.000,3.70,15,15,0,1,0,0,87.2,96,40,36,4,34,0,61,5,0,5,380,1.483,9.9,0.4,3.5,6.3,1.79,,1
Tony Pena,24,3,1,.750,1.71,24,0,18,0,0,7,26.1,17,6,5,1,2,0,21,2,0,1,98,0.722,5.8,0.3,0.7,7.2,10.50,,1
Mike Schultz,26,2,4,.333,3.52,49,0,22,0,0,4,53.2,58,22,21,1,19,1,41,2,0,4,236,1.435,9.7,0.2,3.2,6.9,2.16,,1
Doug Slaten*,26,2,1,.667,0.45,18,0,6,0,0,2,20.0,10,2,1,0,7,0,21,0,0,0,77,0.850,4.5,0.0,3.2,9.5,3.00,,1
Jose Valverde,28,1,0,1.000,3.06,15,0,9,0,0,3,17.2,13,9,6,1,10,0,18,0,0,1,75,1.302,6.6,0.5,5.1,9.2,1.80,,1
29 Players,26.6,91,53,.632,3.88,144,144,138,6,6,36,1271.2,1301,627,548,90,420,4,975,54,5,56,5445,1.353,9.2,0.6,3.0,6.9,2.32,,0
