Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Jon Asahina,26,3,5,.375,5.07,10,10,0,0,0,0,49.2,58,32,28,8,25,1,15,1,0,5,228,1.671,10.5,1.4,4.5,2.7,0.60,,0
Jentry Beckstead,27,3,1,.750,5.01,36,0,10,0,0,0,59.1,64,34,33,6,24,0,48,6,0,7,257,1.483,9.7,0.9,3.6,7.3,2.00,,0
Adam Bright*,22,1,3,.250,3.72,52,0,7,0,0,0,46.0,44,21,19,3,26,2,41,5,1,3,201,1.522,8.6,0.6,5.1,8.0,1.58,,0
Gerardo Casadiego,26,1,0,1.000,3.12,6,0,1,0,0,0,8.2,8,3,3,2,2,0,10,0,0,1,35,1.154,8.3,2.1,2.1,10.4,5.00,,0
Darren Clarke,26,1,1,.500,1.64,10,1,4,0,0,0,11.0,5,2,2,2,1,0,16,0,0,0,37,0.545,4.1,1.6,0.8,13.1,16.00,,1
Matt Daley,25,2,6,.250,3.49,43,10,7,0,0,0,95.1,83,40,37,12,22,3,84,6,0,3,400,1.101,7.8,1.1,2.1,7.9,3.82,,1
Jorge De Paula,28,1,0,1.000,3.60,1,1,0,0,0,0,5.0,8,2,2,0,3,0,2,1,0,0,24,2.200,14.4,0.0,5.4,3.6,0.67,,1
Sam Deduno,23,5,8,.385,5.44,21,21,0,1,0,0,124.0,120,90,75,13,66,1,121,11,0,11,564,1.500,8.7,0.9,4.8,8.8,1.83,,1
Mike DeJean,36,0,0,,6.23,3,0,0,0,0,0,4.1,8,4,3,1,1,1,3,0,0,1,21,2.077,16.6,2.1,2.1,6.2,3.00,,1
Mike Esposito,25,0,1,.000,1.29,1,1,0,1,0,0,7.0,7,1,1,0,3,1,3,0,0,0,31,1.429,9.0,0.0,3.9,3.9,1.00,,1
Jarrett Grube,25,7,3,.700,2.53,52,0,17,0,0,0,67.2,58,20,19,4,21,2,61,1,1,1,278,1.167,7.7,0.5,2.8,8.1,2.90,,1
Alan Johnson,23,2,0,1.000,0.00,2,2,0,0,0,0,13.0,7,0,0,0,2,0,7,0,0,0,47,0.692,4.8,0.0,1.4,4.8,3.50,,1
Ching-Lung Lo,21,8,8,.500,5.61,26,26,0,1,0,0,139.2,162,95,87,20,66,0,87,13,0,9,639,1.632,10.4,1.3,4.3,5.6,1.32,,0
Ryan Mattheus,23,9,11,.450,5.56,26,26,0,1,0,0,158.2,182,100,98,13,55,2,102,14,0,5,704,1.494,10.3,0.7,3.1,5.8,1.85,,1
Franklin Morales*,21,3,4,.429,3.48,17,17,0,1,0,0,95.2,77,41,37,8,45,0,77,8,2,6,401,1.275,7.2,0.8,4.2,7.2,1.71,,1
Juan Morillo,23,6,4,.600,2.35,46,0,12,0,0,0,57.1,44,19,15,2,27,0,59,3,0,4,242,1.238,6.9,0.3,4.2,9.3,2.19,,1
Tim Olson,28,0,1,.000,9.00,1,0,1,0,0,0,1.0,1,2,1,1,0,0,2,1,0,0,5,1.000,9.0,9.0,0.0,18.0,,,1
Zack Parker*,25,2,1,.667,6.55,16,5,5,0,0,0,33.0,35,28,24,4,25,0,19,5,0,3,158,1.818,9.5,1.1,6.8,5.2,0.76,,0
Mark Redman*,33,0,0,,9.00,1,1,0,0,0,0,5.0,5,5,5,2,2,0,7,0,0,0,22,1.400,9.0,3.6,3.6,12.6,3.50,,1
Steven Register,24,1,3,.250,4.03,60,0,54,0,0,37,58.0,63,27,26,3,16,0,48,1,0,3,250,1.362,9.8,0.5,2.5,7.4,3.00,,1
Greg Reynolds,21,4,1,.800,1.42,8,8,0,0,0,0,50.2,32,10,8,2,9,0,35,2,0,0,190,0.809,5.7,0.4,1.6,6.2,3.89,,1
Oscar Rivera*,26,0,1,.000,0.00,1,1,0,0,0,0,3.0,1,3,0,0,2,0,2,0,0,0,13,1.000,3.0,0.0,6.0,6.0,1.00,,0
Duke Sardinha,26,0,1,.000,9.00,1,0,1,0,0,0,1.0,2,1,1,1,0,0,0,0,0,0,4,2.000,18.0,9.0,0.0,0.0,,,0
Judd Songster,27,5,5,.500,4.30,42,1,10,0,0,2,67.0,71,37,32,7,31,1,55,4,0,4,301,1.522,9.5,0.9,4.2,7.4,1.77,,0
Sean Thompson*,24,5,1,.833,4.06,8,7,0,1,1,0,44.1,40,20,20,4,15,0,22,3,1,5,181,1.241,8.1,0.8,3.0,4.5,1.47,,0
Todd Williams,36,0,0,,0.00,2,0,2,0,0,0,2.0,2,1,0,0,0,0,0,0,0,0,7,1.000,9.0,0.0,0.0,0.0,,,1
26 Players,24.0,69,69,.500,4.29,138,138,131,6,9,39,1207.1,1187,638,576,118,489,14,926,85,5,71,5240,1.388,8.8,0.9,3.6,6.9,1.89,,0
