Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Hugo Castellanos,27,3,1,.750,3.49,37,0,13,0,0,0,56.2,50,36,22,5,32,2,33,5,2,4,251,1.447,7.9,0.8,5.1,5.2,1.03,,0
Troy Cate*,26,2,5,.286,6.81,33,9,5,0,0,0,71.1,88,61,54,14,30,3,60,0,0,2,328,1.654,11.1,1.8,3.8,7.6,2.00,,1
Andy Cavazos,26,1,5,.167,3.21,44,0,12,0,0,0,47.2,40,18,17,5,26,1,48,0,0,2,203,1.385,7.6,0.9,4.9,9.1,1.85,,1
Dennis Dove,25,1,0,1.000,5.28,13,0,5,0,0,0,15.1,17,9,9,3,7,1,10,0,0,3,66,1.565,10.0,1.8,4.1,5.9,1.43,,1
Brian Falkenborg,29,3,4,.429,3.25,51,0,42,0,0,23,52.2,54,22,19,2,17,2,58,0,0,5,230,1.348,9.2,0.3,2.9,9.9,3.41,,1
Matt Ginter,29,2,6,.250,4.06,31,8,7,0,0,2,68.2,86,39,31,5,8,2,43,2,0,2,294,1.369,11.3,0.7,1.0,5.6,5.38,,1
Blake Hawksworth,24,4,13,.235,5.28,25,25,0,0,0,0,129.2,150,82,76,24,41,0,88,10,1,9,571,1.473,10.4,1.7,2.8,6.1,2.15,,1
Kelvin Jimenez,26,2,3,.400,2.72,30,0,8,0,0,1,39.2,46,16,12,2,11,4,34,1,1,2,174,1.437,10.4,0.5,2.5,7.7,3.09,,1
Tyler Johnson*,26,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,0.000,0.0,0.0,0.0,9.0,,,1
Randy Keisler*,31,8,11,.421,4.79,25,24,0,1,0,0,156.0,178,90,83,19,51,1,102,6,0,7,678,1.468,10.3,1.1,2.9,5.9,2.00,,1
Chris Lambert,24,1,4,.200,7.49,28,4,6,0,0,0,57.2,74,49,48,10,29,1,50,3,0,4,271,1.786,11.5,1.6,4.5,7.8,1.72,,1
Mike Maroth*,29,1,0,1.000,8.31,2,1,0,0,0,0,4.1,5,4,4,1,3,0,4,0,0,0,20,1.846,10.4,2.1,6.2,8.3,1.33,,1
Ryan Meaux*,28,0,0,,9.00,7,0,4,0,0,0,6.0,10,7,6,3,2,0,9,0,0,0,30,2.000,15.0,4.5,3.0,13.5,4.50,,0
Mark Mulder*,29,0,0,,3.60,1,1,0,0,0,0,5.0,5,2,2,1,2,0,4,0,0,0,21,1.400,9.0,1.8,3.6,7.2,2.00,,1
Chris Narveson*,25,3,2,.600,5.72,9,9,0,1,0,0,45.2,41,29,29,6,21,0,35,1,0,3,192,1.358,8.1,1.2,4.1,6.9,1.67,,1
Tomo Ohka,31,0,2,.000,6.87,3,3,0,0,0,0,18.1,27,15,14,2,3,0,7,0,0,0,81,1.636,13.3,1.0,1.5,3.4,2.33,,1
Mike Parisi,24,8,13,.381,4.91,28,28,0,0,0,0,165.0,192,100,90,21,65,0,111,10,1,5,733,1.558,10.5,1.1,3.5,6.1,1.71,,1
Troy Percival,37,0,0,,1.35,6,0,1,0,0,0,6.2,4,1,1,0,5,0,9,1,0,0,30,1.350,5.4,0.0,6.8,12.2,1.80,,1
Chris Perez,21,0,1,.000,4.50,15,0,15,0,0,8,14.0,6,7,7,2,13,0,15,1,0,2,58,1.357,3.9,1.3,8.4,9.6,1.15,,1
Anthony Reyes,25,1,1,.500,2.79,6,6,0,0,0,0,38.2,27,12,12,4,11,0,33,2,0,1,148,0.983,6.3,0.9,2.6,7.7,3.00,,1
Chris Russ,28,0,0,,5.40,2,0,0,0,0,0,3.1,3,2,2,1,1,0,2,0,0,0,14,1.200,8.1,2.7,2.7,5.4,2.00,,0
Mike Sillman,25,2,0,1.000,5.40,10,0,2,0,0,0,10.0,6,6,6,1,10,2,9,1,0,1,46,1.600,5.4,0.9,9.0,8.1,0.90,,0
Mike Smith,29,11,13,.458,5.19,31,25,2,0,0,0,159.2,182,95,92,17,49,1,127,3,0,6,697,1.447,10.3,1.0,2.8,7.2,2.59,,1
Brad Thompson,25,0,0,,4.32,2,1,0,0,0,0,8.1,8,4,4,2,1,0,2,0,0,0,34,1.080,8.6,2.2,1.1,2.2,2.00,,1
Mike Venafro*,33,0,1,.000,12.79,8,0,2,0,0,0,6.1,13,9,9,0,6,0,5,1,0,2,38,3.000,18.5,0.0,8.5,7.1,0.83,,1
Mark Worrell,24,3,2,.600,3.09,50,0,17,0,0,4,67.0,58,25,23,6,25,5,66,7,0,4,289,1.239,7.8,0.8,3.4,8.9,2.64,,1
26 Players,26.6,56,88,.389,4.81,144,144,141,2,5,38,1254.2,1370,740,671,156,469,25,965,54,5,64,5500,1.466,9.8,1.1,3.4,6.9,2.06,,0
