Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Nathan Adcock,19,1,3,.250,8.84,5,5,0,0,0,0,18.1,20,26,18,0,22,0,11,2,0,2,98,2.291,9.8,0.0,10.8,5.4,0.50,,1
Nick Allen,24,4,3,.571,6.40,43,3,9,0,0,0,97.0,136,84,69,18,23,1,43,12,0,3,460,1.639,12.6,1.7,2.1,4.0,1.87,,0
David Asher*,24,0,2,.000,5.87,25,0,9,0,0,0,23.0,21,19,15,4,7,0,23,1,0,2,102,1.217,8.2,1.6,2.7,9.0,3.29,,0
Cibney Bello,24,6,10,.375,6.91,22,21,0,0,0,0,116.0,153,106,89,28,54,0,91,16,1,22,564,1.784,11.9,2.2,4.2,7.1,1.69,,0
Austin Bibens-Dirkx,22,3,1,.750,4.42,31,0,21,0,0,8,38.2,40,25,19,2,20,1,26,5,0,6,183,1.552,9.3,0.5,4.7,6.1,1.30,,1
Ivan Blanco,23,1,1,.500,10.72,17,0,8,0,0,2,22.2,38,39,27,5,19,0,23,3,0,4,131,2.515,15.1,2.0,7.5,9.1,1.21,,0
Aaron Cotter,23,3,5,.375,6.42,40,10,14,0,0,2,102.1,131,85,73,10,42,0,62,6,1,16,489,1.691,11.5,0.9,3.7,5.5,1.48,,0
Jose Escalona*,21,4,10,.286,7.41,36,15,6,0,0,0,98.1,129,94,81,21,52,0,77,8,3,8,479,1.841,11.8,1.9,4.8,7.0,1.48,,0
Paul Fagan*,22,6,9,.400,6.68,43,7,14,0,0,1,90.1,110,74,67,9,44,2,58,5,0,8,422,1.705,11.0,0.9,4.4,5.8,1.32,,0
Ruben Flores,23,2,4,.333,7.62,16,8,2,0,0,0,52.0,62,48,44,10,35,0,64,7,0,8,257,1.865,10.7,1.7,6.1,11.1,1.83,,0
Aaron Jensen,23,2,6,.250,6.88,26,12,12,0,0,5,69.1,102,67,53,10,19,1,43,4,0,3,328,1.745,13.2,1.3,2.5,5.6,2.26,,0
Brian Kappel,24,2,1,.667,5.06,12,0,7,0,0,0,16.0,17,12,9,3,5,0,14,1,0,5,70,1.375,9.6,1.7,2.8,7.9,2.80,,0
Jon Lockwood,25,0,3,.000,6.58,6,6,0,0,0,0,26.0,33,19,19,5,11,0,21,3,0,0,123,1.692,11.4,1.7,3.8,7.3,1.91,,0
Miguel Marquez,19,0,0,,4.91,1,0,0,0,0,0,3.2,6,4,2,1,3,0,3,0,0,2,21,2.455,14.7,2.5,7.4,7.4,1.00,,0
Roman Martinez,22,6,3,.667,4.48,46,0,16,0,0,1,88.1,85,56,44,8,26,2,85,13,0,4,394,1.257,8.7,0.8,2.6,8.7,3.27,,0
Jason Snyder,24,0,0,,8.80,10,0,1,0,0,0,15.1,26,19,15,2,14,0,12,3,0,7,84,2.609,15.3,1.2,8.2,7.0,0.86,,0
John Sullivan,25,0,2,.000,9.56,10,0,4,0,0,0,16.0,23,17,17,3,3,0,14,3,0,3,76,1.625,12.9,1.7,1.7,7.9,4.67,,0
Chris Tillman,19,6,7,.462,5.26,20,20,0,0,0,0,102.2,107,79,60,12,48,0,105,12,0,13,472,1.510,9.4,1.1,4.2,9.2,2.19,,1
Steven Uhlmansiek*,24,2,0,1.000,8.92,26,0,11,0,0,0,36.1,52,44,36,12,28,1,26,2,1,3,189,2.202,12.9,3.0,6.9,6.4,0.93,,0
Marwin Vega,20,5,10,.333,4.90,24,24,0,1,0,0,128.2,149,88,70,14,43,0,82,14,1,16,566,1.492,10.4,1.0,3.0,5.7,1.91,,0
Alfredo Venegas,21,0,2,.000,8.68,2,2,0,0,0,0,9.1,12,9,9,2,5,0,5,2,0,1,48,1.821,11.6,1.9,4.8,4.8,1.00,,0
Mike Wagner*,22,0,0,,81.00,1,0,0,0,0,0,0.1,2,3,3,0,2,0,0,0,0,0,5,12.000,54.0,0.0,54.0,0.0,0.00,,0
Juan Zapata,22,1,4,.200,6.33,36,7,5,0,0,3,81.0,104,68,57,19,34,0,75,4,0,6,377,1.704,11.6,2.1,3.8,8.3,2.21,,0
23 Players,22.3,54,86,.386,6.41,140,140,139,1,1,22,1251.2,1558,1085,891,198,559,8,963,126,7,142,5938,1.691,11.2,1.4,4.0,6.9,1.72,,0
