Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Greg Acheatel,23,0,0,,2.25,2,0,0,0,0,0,8.0,12,6,2,1,2,0,4,1,0,0,40,1.750,13.5,1.1,2.3,4.5,2.00,,0
Bobby Blevins,22,3,3,.500,3.49,12,9,0,0,0,0,56.2,57,29,22,6,9,0,51,2,0,3,236,1.165,9.1,1.0,1.4,8.1,5.67,,0
Blake Brannon,22,0,1,.000,6.00,7,1,2,0,0,0,15.0,12,11,10,2,6,0,16,3,0,1,62,1.200,7.2,1.2,3.6,9.6,2.67,,0
Rodney Brantley,22,2,2,.500,5.08,9,8,0,0,0,0,39.0,40,26,22,1,15,1,30,3,1,3,170,1.410,9.2,0.2,3.5,6.9,2.00,,0
Douglas Brooks,24,3,4,.429,5.90,17,6,4,0,0,1,50.1,64,40,33,4,27,0,61,10,0,6,250,1.808,11.4,0.7,4.8,10.9,2.26,,0
Jhonny Caraballo,21,2,3,.400,4.43,21,0,19,0,0,10,22.1,23,11,11,2,8,0,22,3,2,1,97,1.388,9.3,0.8,3.2,8.9,2.75,,0
Paul Coleman*,23,4,0,1.000,1.50,4,4,0,0,0,0,24.0,14,4,4,2,3,0,25,2,0,1,88,0.708,5.3,0.8,1.1,9.4,8.33,,0
Chales Dasni,21,0,1,.000,1.35,7,0,4,0,0,1,13.1,9,2,2,1,4,0,24,0,0,1,51,0.975,6.1,0.7,2.7,16.2,6.00,,0
Wilfredo Diaz*,20,3,3,.500,4.58,17,8,1,0,0,0,55.0,62,33,28,5,23,0,61,6,0,8,252,1.545,10.1,0.8,3.8,10.0,2.65,,0
Michael Gardner,23,6,5,.545,3.93,15,15,0,1,1,0,84.2,96,54,37,7,26,0,49,2,0,4,374,1.441,10.2,0.7,2.8,5.2,1.88,,0
Kalen Gearhart,21,1,0,1.000,3.54,17,0,10,0,0,0,28.0,37,11,11,3,6,1,22,3,0,0,124,1.536,11.9,1.0,1.9,7.1,3.67,,0
Tim Gray,21,1,0,1.000,9.50,9,0,3,0,0,0,18.0,30,19,19,4,7,0,14,2,0,5,90,2.056,15.0,2.0,3.5,7.0,2.00,,0
Jon Haldis,20,0,1,.000,7.18,18,1,8,0,0,0,31.1,42,26,25,6,14,0,28,1,1,6,146,1.787,12.1,1.7,4.0,8.0,2.00,,0
Joseph Jones,24,0,3,.000,14.40,3,3,0,0,0,0,10.0,20,19,16,0,7,0,6,1,1,0,58,2.700,18.0,0.0,6.3,5.4,0.86,,0
Paul Koss,22,3,1,.750,5.12,18,0,9,0,0,2,31.2,39,21,18,3,9,0,33,2,0,0,146,1.516,11.1,0.9,2.6,9.4,3.67,,0
Kristopher Krise,23,2,6,.250,6.22,13,12,1,0,0,0,59.1,70,46,41,4,17,0,47,9,0,6,263,1.466,10.6,0.6,2.6,7.1,2.76,,0
Given Kutz,22,1,0,1.000,3.00,18,0,6,0,0,1,30.0,25,11,10,3,7,1,24,1,0,2,125,1.067,7.5,0.9,2.1,7.2,3.43,,0
Eduardo Quintana,22,1,0,1.000,8.38,6,0,1,0,0,0,9.2,14,9,9,1,8,0,9,0,0,1,51,2.276,13.0,0.9,7.4,8.4,1.13,,0
Matt Sartor,22,0,1,.000,3.44,10,0,5,0,0,2,18.1,10,8,7,3,5,1,25,1,0,2,70,0.818,4.9,1.5,2.5,12.3,5.00,,0
Cal Stanke,22,2,7,.222,5.66,14,8,1,0,0,0,49.1,60,43,31,3,28,1,41,6,0,8,236,1.784,10.9,0.5,5.1,7.5,1.46,,0
20 Players,21.9,34,41,.453,4.86,75,75,74,1,2,17,654.0,736,429,353,61,231,5,592,58,5,58,2929,1.479,10.1,0.8,3.2,8.1,2.56,,0
