Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Greg Atencio,26,1,1,.500,3.24,9,0,4,0,0,1,25.0,25,9,9,0,11,0,22,1,0,2,104,1.440,9.0,0.0,4.0,7.9,2.00,,0
John Bale*,34,0,3,.000,10.80,10,7,0,0,0,0,11.2,17,14,14,3,5,0,8,0,0,0,57,1.886,13.1,2.3,3.9,6.2,1.60,,1
Tony Bradley*,22,0,0,,16.88,2,0,1,0,0,0,2.2,6,5,5,0,4,0,4,0,0,0,17,3.750,20.3,0.0,13.5,13.5,1.00,,0
Brian Buchanan,34,0,0,,4.50,3,0,3,0,0,0,4.0,6,2,2,0,0,0,1,0,0,1,17,1.500,13.5,0.0,0.0,2.3,,,1
Jose Capellan,27,2,1,.667,4.10,6,5,1,0,0,0,37.1,35,17,17,3,14,0,20,0,0,0,154,1.313,8.4,0.7,3.4,4.8,1.43,,1
Roman Colon,28,5,5,.500,4.64,23,10,3,0,0,1,95.0,109,51,49,15,27,1,62,2,0,5,406,1.432,10.3,1.4,2.6,5.9,2.30,,1
Kyle Davies,24,6,2,.750,2.03,11,11,0,0,0,0,57.2,47,22,13,4,21,0,38,1,0,4,233,1.179,7.3,0.6,3.3,5.9,1.81,,1
Jorge De La Rosa*,27,3,0,1.000,1.64,4,4,0,0,0,0,22.0,18,4,4,0,7,0,23,0,0,0,90,1.136,7.4,0.0,2.9,9.4,3.29,,1
Brandon Duckworth,32,5,11,.313,4.75,27,17,3,1,0,1,134.2,132,78,71,23,49,1,103,2,0,8,574,1.344,8.8,1.5,3.3,6.9,2.10,,1
John Foster*,30,0,1,.000,11.74,5,0,5,0,0,0,7.2,12,10,10,3,6,2,5,0,0,2,39,2.348,14.1,3.5,7.0,5.9,0.83,,1
Jeff Fulchino,28,3,4,.429,4.84,25,5,11,0,0,5,61.1,71,38,33,2,27,1,53,0,1,4,273,1.598,10.4,0.3,4.0,7.8,1.96,,1
Roberto Giron,32,3,3,.500,5.86,20,0,10,0,0,1,43.0,41,31,28,13,17,0,39,1,0,2,181,1.349,8.6,2.7,3.6,8.2,2.29,,0
Jimmy Gobble*,26,1,1,.500,5.65,8,4,0,0,0,0,14.1,16,9,9,1,9,0,16,1,0,0,67,1.744,10.0,0.6,5.7,10.0,1.78,,1
Luke Hochevar,24,1,1,.500,2.60,3,3,0,0,0,0,17.1,11,7,5,2,6,0,12,0,1,3,68,0.981,5.7,1.0,3.1,6.2,2.00,,1
Dusty Hughes*,26,3,2,.600,5.04,12,11,0,0,0,0,55.1,65,32,31,8,25,0,36,0,0,3,245,1.627,10.6,1.3,4.1,5.9,1.44,,1
Devon Lowery,25,1,1,.500,2.12,31,0,18,0,0,5,59.1,48,19,14,4,30,2,43,2,0,1,250,1.315,7.3,0.6,4.6,6.5,1.43,,1
Tyler Lumsden*,25,3,13,.188,7.21,28,18,7,0,0,1,107.1,138,93,86,15,62,2,44,4,0,3,504,1.863,11.6,1.3,5.2,3.7,0.71,,0
Mike Maroth*,30,0,2,.000,12.91,3,3,0,0,0,0,7.2,12,12,11,3,5,0,4,1,0,1,40,2.217,14.1,3.5,5.9,4.7,0.80,,1
Paul Mildren*,24,0,0,,2.70,4,0,4,0,0,0,3.1,2,1,1,1,4,0,3,0,0,3,14,1.800,5.4,2.7,10.8,8.1,0.75,,0
Neal Musser*,27,3,5,.375,4.34,37,3,21,0,0,6,56.0,47,32,27,9,37,0,64,3,1,5,254,1.500,7.6,1.4,5.9,10.3,1.73,,1
Josh Newman*,26,0,1,.000,4.91,7,2,1,0,0,0,22.0,23,13,12,1,13,0,22,0,0,2,99,1.636,9.4,0.4,5.3,9.0,1.69,,1
Juan Carlos Oviedo,26,0,0,,6.75,4,0,2,0,0,0,4.0,7,3,3,1,1,0,3,0,0,0,20,2.000,15.8,2.3,2.3,6.8,3.00,,1
Joel Peralta,32,1,0,1.000,0.00,10,0,5,0,0,2,18.2,9,0,0,0,6,0,19,0,0,0,68,0.804,4.3,0.0,2.9,9.2,3.17,,1
Horacio Ramirez*,28,1,1,.500,1.42,3,3,0,0,0,0,19.0,13,5,3,2,3,0,8,0,0,0,71,0.842,6.2,0.9,1.4,3.8,2.67,,1
Brett Richardson,20,0,0,,11.57,3,0,2,0,0,1,2.1,6,3,3,0,1,0,2,0,0,2,14,3.000,23.1,0.0,3.9,7.7,2.00,,0
Carlos Rosa,23,4,3,.571,4.09,11,11,0,0,0,0,50.2,51,24,23,3,12,0,44,0,1,3,204,1.243,9.1,0.5,2.1,7.8,3.67,,1
Brad Salmon,28,8,7,.533,4.62,47,4,22,0,0,3,101.1,105,68,52,11,54,2,90,6,0,10,464,1.569,9.3,1.0,4.8,8.0,1.67,,1
Chin-hui Tsao,27,1,0,1.000,5.56,7,0,3,0,0,1,11.1,10,7,7,4,0,0,10,0,0,0,42,0.882,7.9,3.2,0.0,7.9,,,1
Matt Wright,26,4,10,.286,5.47,27,23,1,1,0,0,148.0,169,99,90,29,60,0,90,5,0,11,659,1.547,10.3,1.8,3.6,5.5,1.50,,0
Yasuhiko Yabuta,35,4,3,.571,5.36,20,0,15,0,0,3,40.1,46,24,24,3,16,0,33,0,0,1,178,1.537,10.3,0.7,3.6,7.4,2.06,,1
30 Players,27.6,63,81,.438,4.72,144,144,142,2,5,31,1240.1,1297,732,651,163,532,11,921,29,4,76,5406,1.475,9.4,1.2,3.9,6.7,1.73,,0
