Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Gabriel Alvarado,21,4,2,.667,3.04,13,11,0,0,0,0,50.1,47,21,17,6,12,0,23,1,0,1,205,1.172,8.4,1.1,2.1,4.1,1.92,,0
Gary Amato,22,2,0,1.000,0.00,8,0,6,0,0,3,13.0,9,0,0,0,2,0,19,0,0,0,49,0.846,6.2,0.0,1.4,13.2,9.50,,0
Christopher Aure*,18,3,2,.600,3.90,11,3,3,0,0,2,27.2,27,14,12,0,12,0,16,1,0,1,119,1.410,8.8,0.0,3.9,5.2,1.33,,0
Matt Capps,24,0,0,,0.00,2,2,0,0,0,0,2.0,2,1,0,0,0,0,2,0,0,0,9,1.000,9.0,0.0,0.0,9.0,,,1
Jorge Charry,21,2,1,.667,1.17,9,0,7,0,0,3,15.1,11,2,2,0,3,0,21,1,0,1,62,0.913,6.5,0.0,1.8,12.3,7.00,,0
Tyler Cox*,22,2,3,.400,1.79,13,7,1,0,0,0,45.1,35,14,9,0,11,0,42,5,0,3,183,1.015,6.9,0.0,2.2,8.3,3.82,,0
Meoli Devora,20,0,0,,18.00,2,0,1,0,0,0,3.0,7,6,6,2,0,0,1,0,0,1,17,2.333,21.0,6.0,0.0,3.0,,,0
Ryan Drese,32,0,0,,6.00,2,2,0,0,0,0,3.0,2,2,2,0,2,0,4,0,0,0,14,1.333,6.0,0.0,6.0,12.0,2.00,,1
Albert Fagan,21,3,2,.600,2.88,10,4,1,0,0,1,25.0,17,13,8,1,6,0,17,3,0,1,101,0.920,6.1,0.4,2.2,6.1,2.83,,0
Zach Foster,21,1,2,.333,3.99,14,8,0,0,0,0,38.1,44,22,17,2,18,0,32,3,1,2,176,1.617,10.3,0.5,4.2,7.5,1.78,,0
Matt Foust,23,2,0,1.000,3.68,17,0,5,0,0,4,29.1,31,17,12,0,16,0,16,2,0,4,136,1.602,9.5,0.0,4.9,4.9,1.00,,0
Diomedes Garcia,22,1,0,1.000,1.80,4,0,2,0,0,0,5.0,4,1,1,0,3,0,4,0,0,0,20,1.400,7.2,0.0,5.4,7.2,1.33,,0
Emilis Guerrero,22,1,0,1.000,1.13,2,1,0,0,0,0,8.0,8,1,1,0,1,0,8,0,0,1,30,1.125,9.0,0.0,1.1,9.0,8.00,,0
Ivan Herrera-Rusova,21,1,0,1.000,3.00,7,0,2,0,0,0,9.0,7,3,3,1,7,0,5,1,0,1,39,1.556,7.0,1.0,7.0,5.0,0.71,,0
Brandon Holden,20,1,2,.333,3.90,10,3,3,0,0,0,30.0,28,14,13,1,5,0,15,6,0,0,125,1.100,8.4,0.3,1.5,4.5,3.00,,0
Victor Igsema,22,1,0,1.000,6.23,6,0,2,0,0,0,8.2,11,6,6,0,4,0,7,3,0,0,41,1.731,11.4,0.0,4.2,7.3,1.75,,0
Brent Klinger,19,0,0,,0.66,7,0,2,0,0,0,13.2,7,2,1,0,3,0,12,4,0,0,57,0.732,4.6,0.0,2.0,7.9,4.00,,0
Eric Krebs,23,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,3,0,0,0,4,1.000,9.0,0.0,0.0,27.0,,,0
Serguey Linares,25,0,0,,2.57,4,2,0,0,0,0,7.0,5,2,2,1,3,0,4,0,0,1,28,1.143,6.4,1.3,3.9,5.1,1.33,,0
Francisco Ortiz,21,1,1,.500,2.33,11,0,5,0,0,1,19.1,12,5,5,0,6,0,15,1,0,4,76,0.931,5.6,0.0,2.8,7.0,2.50,,0
Ricardo Paulino,21,0,2,.000,3.34,7,6,0,0,0,0,29.2,32,15,11,2,3,0,32,1,0,1,125,1.180,9.7,0.6,0.9,9.7,10.67,,0
Nelson Pereira*,19,6,2,.750,1.62,13,6,2,0,0,0,50.0,41,20,9,3,10,0,46,0,0,1,201,1.020,7.4,0.5,1.8,8.3,4.60,,0
Juan Perez*,29,1,0,1.000,0.00,4,0,0,0,0,0,6.0,2,1,0,0,2,0,8,3,0,0,27,0.667,3.0,0.0,3.0,12.0,4.00,,1
Carlos Silva,21,0,0,,18.00,1,0,1,0,0,0,1.0,3,2,2,0,0,0,0,0,0,0,6,3.000,27.0,0.0,0.0,0.0,,,0
Carlos Teller*,21,4,0,1.000,4.37,13,0,7,0,0,2,22.2,23,13,11,0,11,0,20,2,1,2,104,1.500,9.1,0.0,4.4,7.9,1.82,,0
Mike Thompson,27,0,0,,0.00,1,1,0,0,0,0,2.0,0,0,0,0,1,0,1,1,0,0,9,0.500,0.0,0.0,4.5,4.5,1.00,,1
Malvin Vasquez,22,1,0,1.000,1.50,8,0,5,0,0,3,12.0,6,2,2,1,6,0,8,3,0,0,49,1.000,4.5,0.8,4.5,6.0,1.33,,0
27 Players,21.4,37,19,.661,2.87,56,56,56,0,4,19,477.1,422,199,152,20,147,0,381,41,2,25,2012,1.192,8.0,0.4,2.8,7.2,2.59,,0
