Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Dan Haren,28,14,10,.583,3.14,33,33,0,3,1,0,229.1,192,83,80,27,38,2,223,4,0,13,909,142,3.23,1.003,7.5,1.1,1.5,8.8,5.87,1
SP,Doug Davis*,33,9,14,.391,4.12,34,34,0,0,0,0,203.1,203,101,93,25,103,1,146,4,1,12,889,108,4.84,1.505,9.0,1.1,4.6,6.5,1.42,1
SP,Max Scherzer,24,9,11,.450,4.12,30,30,0,0,0,0,170.1,166,94,78,20,63,1,174,10,1,5,741,108,3.87,1.344,8.8,1.1,3.3,9.2,2.76,1
SP,Jon Garland,29,8,11,.421,4.29,27,27,0,1,0,0,167.2,188,90,80,19,52,5,83,6,0,5,728,104,4.62,1.431,10.1,1.0,2.8,4.5,1.60,1
SP,Yusmeiro Petit,24,3,10,.231,5.82,23,17,2,0,0,0,89.2,102,62,58,19,34,1,74,0,0,3,407,77,5.34,1.517,10.2,1.9,3.4,7.4,2.18,1
SP,Billy Buckner,25,4,6,.400,6.40,16,13,0,0,0,0,77.1,94,57,55,12,29,0,64,3,0,6,342,70,4.70,1.591,10.9,1.4,3.4,7.4,2.21,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Chad Qualls,30,2,2,.500,3.63,51,0,44,0,0,24,52.0,53,23,21,5,7,2,45,2,0,2,217,123,3.14,1.154,9.2,0.9,1.2,7.8,6.43,1
RP,J.C. Gutierrez,25,4,3,.571,4.06,65,0,21,0,0,9,71.0,67,33,32,2,30,5,66,3,0,5,307,110,3.00,1.366,8.5,0.3,3.8,8.4,2.20,1
RP,Jon Rauch,30,2,2,.500,4.14,58,0,13,0,0,2,54.1,57,27,25,5,17,0,35,1,0,6,235,108,4.00,1.362,9.4,0.8,2.8,5.8,2.06,1
RP,Esmerling Vasquez,25,3,3,.500,4.42,53,0,10,0,0,0,53.0,52,27,26,4,29,2,45,3,0,4,238,101,4.19,1.528,8.8,0.7,4.9,7.6,1.55,1
RP,Clay Zavada*,25,3,3,.500,3.35,49,0,9,0,0,0,51.0,45,22,19,5,24,2,52,3,0,1,221,134,3.92,1.353,7.9,0.9,4.2,9.2,2.17,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leo Rosales,28,2,1,.667,4.76,33,0,8,0,0,0,45.1,40,24,24,5,12,2,31,0,0,3,186,94,3.96,1.147,7.9,1.0,2.4,6.2,2.58,1
,Blaine Boyer,27,0,1,.000,2.68,30,0,16,0,0,0,37.0,39,20,11,0,12,0,18,3,0,2,160,168,3.34,1.378,9.5,0.0,2.9,4.4,1.50,1
,Tony Pena,27,5,3,.625,4.24,37,0,13,0,0,1,34.0,41,20,16,3,11,0,26,1,0,2,153,106,3.77,1.529,10.9,0.8,2.9,6.9,2.36,1
,Scott Schoeneweis*,35,1,2,.333,7.13,45,0,9,0,0,0,24.0,29,20,19,6,13,1,14,2,0,0,117,63,7.06,1.750,10.9,2.3,4.9,5.3,1.08,1
,Kevin Mulvey,24,0,3,.000,7.04,6,4,0,0,0,0,23.0,23,18,18,5,12,0,18,2,0,0,104,64,6.18,1.522,9.0,2.0,4.7,7.0,1.50,1
,Daniel Schlereth*,23,1,4,.200,5.89,21,0,4,0,0,0,18.1,15,13,12,1,15,1,22,1,0,4,86,77,4.02,1.636,7.4,0.5,7.4,10.8,1.47,1
,Bryan Augenstein,22,0,1,.000,7.94,7,2,2,0,0,0,17.0,23,16,15,2,6,2,6,2,0,0,81,57,5.33,1.706,12.2,1.1,3.2,3.2,1.00,1
,Daniel Cabrera,28,0,1,.000,6.55,6,1,4,0,0,0,11.0,11,8,8,0,7,0,7,2,0,1,51,70,4.28,1.636,9.0,0.0,5.7,5.7,1.00,1
,Doug Slaten*,29,0,0,,7.11,11,0,1,0,0,0,6.1,10,5,5,1,1,0,4,0,0,0,30,66,4.36,1.737,14.2,1.4,1.4,5.7,4.00,1
,Bobby Korecky,29,0,0,,13.50,5,0,0,0,0,0,6.0,11,9,9,0,4,0,3,0,0,3,32,35,4.10,2.500,16.5,0.0,6.0,4.5,0.75,1
,Brandon Webb,30,0,0,,13.50,1,1,0,0,0,0,4.0,6,6,6,2,2,0,2,1,0,0,20,36,10.85,2.000,13.5,4.5,4.5,4.5,1.00,1
,Tom Gordon,41,0,1,.000,21.60,3,0,1,0,0,0,1.2,3,4,4,0,3,0,0,0,0,2,10,25,8.50,3.600,16.2,0.0,16.2,0.0,0.00,1
,Josh Wilson,28,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,3,,6.10,1.000,0.0,0.0,9.0,0.0,0.00,1
,Team Totals,27.6,70,92,.432,4.42,162,162,158,4,1,36,1447.2,1470,782,711,168,525,27,1158,53,2,79,6267,101,4.20,1.378,9.1,1.0,3.3,7.2,2.21,1
,Rank in 16 NL teams,,13,3,,11,,,,10,2,14,6 ,11,14,12,11,3,,7,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
