Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Wander Alvino,23,5,4,.556,3.00,46,0,21,0,0,1,87.0,85,33,29,7,27,2,73,5,0,4,370,1.287,8.8,0.7,2.8,7.6,2.70,,0
Tanner Bushue,19,7,8,.467,4.11,25,25,0,0,0,0,133.2,129,72,61,18,48,1,114,4,1,9,562,1.324,8.7,1.2,3.2,7.7,2.38,,0
Jose Cisnero,21,8,6,.571,3.65,26,26,0,0,0,0,133.0,106,69,54,11,65,0,126,15,2,16,572,1.286,7.2,0.7,4.4,8.5,1.94,,1
Kirk Clark,21,5,2,.714,4.07,52,0,43,0,0,29,55.1,53,26,25,6,22,0,55,6,0,3,236,1.355,8.6,1.0,3.6,8.9,2.50,,0
Luis Cruz*,19,8,5,.615,3.61,20,16,0,1,0,0,99.2,96,49,40,5,26,0,88,5,0,6,414,1.224,8.7,0.5,2.3,7.9,3.38,,0
Robby Donovan,22,7,6,.538,3.61,18,18,0,0,0,0,92.1,94,46,37,7,37,0,59,5,2,6,397,1.419,9.2,0.7,3.6,5.8,1.59,,0
David Duncan*,24,3,2,.600,6.35,5,5,0,0,0,0,22.2,23,16,16,8,3,0,13,1,0,1,93,1.147,9.1,3.2,1.2,5.2,4.33,,0
Brad Dydalewicz*,20,1,4,.200,6.46,18,6,0,0,0,0,47.1,51,42,34,6,34,0,32,8,0,10,225,1.796,9.7,1.1,6.5,6.1,0.94,,0
Zachary Grimmett,20,5,3,.625,4.61,29,9,6,0,0,2,97.2,89,53,50,11,32,0,84,7,1,5,408,1.239,8.2,1.0,2.9,7.7,2.63,,0
Arcenio Leon,23,2,2,.500,2.33,26,0,9,0,0,4,54.0,40,22,14,0,23,0,60,4,0,16,227,1.167,6.7,0.0,3.8,10.0,2.61,,1
Juan Minaya,19,4,12,.250,4.79,26,26,0,0,0,0,127.2,111,80,68,7,73,0,96,21,0,22,577,1.441,7.8,0.5,5.1,6.8,1.32,,1
Mike Modica*,23,0,1,.000,3.00,3,0,2,0,0,0,6.0,5,2,2,0,1,0,3,0,0,0,21,1.000,7.5,0.0,1.5,4.5,3.00,,0
Nate Pettus,21,1,0,1.000,6.75,2,0,0,0,0,0,4.0,4,3,3,0,1,0,5,0,0,0,17,1.250,9.0,0.0,2.3,11.3,5.00,,0
Colton Pitkin*,20,3,4,.429,5.05,39,2,15,0,0,1,73.0,93,49,41,4,27,0,46,2,2,4,335,1.644,11.5,0.5,3.3,5.7,1.70,,0
Yordany Ramirez,25,0,0,,4.76,5,0,2,0,0,0,5.2,6,3,3,0,5,0,7,0,0,1,28,1.941,9.5,0.0,7.9,11.1,1.40,,0
Daniel Sarisky,22,3,0,1.000,4.62,21,0,12,0,0,0,25.1,39,16,13,2,10,0,20,2,0,6,124,1.934,13.9,0.7,3.6,7.1,2.00,,0
Michael Schurz,23,1,4,.200,6.65,26,0,13,0,0,2,44.2,54,34,33,10,24,2,46,3,0,8,212,1.746,10.9,2.0,4.8,9.3,1.92,,0
Brenden Stines,23,2,0,1.000,3.08,14,0,5,0,0,2,26.1,21,13,9,4,15,1,19,2,0,2,113,1.367,7.2,1.4,5.1,6.5,1.27,,0
Jose Trinidad,22,5,2,.714,2.57,30,0,10,0,0,0,63.0,53,25,18,3,13,0,48,5,0,5,253,1.048,7.6,0.4,1.9,6.9,3.69,,0
Brandt Walker,22,1,3,.250,10.25,8,6,0,0,0,0,26.1,31,33,30,3,20,0,16,1,1,8,130,1.937,10.6,1.0,6.8,5.5,0.80,,0
20 Players,21.0,71,68,.511,4.26,139,139,138,1,3,41,1224.2,1183,686,580,112,506,6,1010,96,9,132,5314,1.379,8.7,0.8,3.7,7.4,2.00,,0
