Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Adrian Alaniz,26,1,0,1.000,1.64,2,2,0,0,0,0,11.0,6,2,2,0,4,0,7,0,0,1,42,0.909,4.9,0.0,3.3,5.7,1.75,,0
Erik Arnesen,26,2,2,.500,2.81,13,5,5,0,0,2,41.2,36,15,13,2,7,0,35,1,0,1,165,1.032,7.8,0.4,1.5,7.6,5.00,,0
Joe Bisenius,27,3,0,1.000,4.40,14,0,4,0,0,0,14.1,10,7,7,1,8,0,17,1,0,4,61,1.256,6.3,0.6,5.0,10.7,2.13,,1
Adam Carr,26,6,1,.857,3.04,36,0,21,0,0,5,50.1,43,17,17,2,14,0,48,1,0,3,204,1.132,7.7,0.4,2.5,8.6,3.43,,0
Matt Chico*,27,1,2,.333,3.12,5,5,0,0,0,0,26.0,26,14,9,2,7,0,17,0,1,5,109,1.269,9.0,0.7,2.4,5.9,2.43,,1
Ross Detwiler*,24,2,2,.500,2.48,7,7,0,0,0,0,32.2,38,10,9,1,7,0,31,2,0,1,142,1.378,10.5,0.3,1.9,8.5,4.43,,1
Zach Dials,24,0,0,,6.00,5,0,1,0,0,0,6.0,10,4,4,0,3,0,7,0,0,1,32,2.167,15.0,0.0,4.5,10.5,2.33,,0
Victor Garate*,25,0,1,.000,0.87,17,0,9,0,0,4,20.2,8,2,2,0,6,0,25,0,0,0,75,0.677,3.5,0.0,2.6,10.9,4.17,,1
Orlando Hernandez,44,1,1,.500,1.86,6,0,4,0,0,0,9.2,5,2,2,1,5,0,12,1,0,0,40,1.034,4.7,0.9,4.7,11.2,2.40,,1
Robert Jacobsen,25,0,0,,40.50,1,0,1,0,0,0,0.2,4,3,3,1,0,0,0,0,0,0,6,6.000,54.0,13.5,0.0,0.0,,,0
Chuck James*,28,8,0,1.000,1.59,21,2,4,0,0,2,45.1,28,8,8,2,7,0,50,6,0,3,173,0.772,5.6,0.4,1.4,9.9,7.14,,1
Jason Jones,27,1,2,.333,4.37,6,4,0,0,0,0,22.2,25,13,11,3,6,0,15,2,0,0,101,1.368,9.9,1.2,2.4,6.0,2.50,,0
Cole Kimball,24,5,1,.833,2.33,38,0,24,0,0,12,54.0,33,21,14,4,31,2,74,5,3,13,235,1.185,5.5,0.7,5.2,12.3,2.39,,1
Andrew Kown,27,6,4,.600,3.83,15,15,0,0,0,0,84.2,83,40,36,13,19,1,47,3,0,1,352,1.205,8.8,1.4,2.0,5.0,2.47,,0
John Lannan*,25,1,4,.200,4.20,7,7,0,0,0,0,40.2,49,25,19,3,10,0,28,4,0,0,178,1.451,10.8,0.7,2.2,6.2,2.80,,1
Dan Leatherman,24,1,0,1.000,5.40,2,0,0,0,0,0,3.1,2,2,2,1,1,0,5,1,0,0,13,0.900,5.4,2.7,2.7,13.5,5.00,,0
Mike MacDougal,33,2,1,.667,7.36,8,0,2,0,0,1,7.1,11,6,6,0,5,0,4,0,0,2,37,2.182,13.5,0.0,6.1,4.9,0.80,,1
Jeff Mandel,25,1,4,.200,3.83,7,7,0,0,0,0,40.0,37,21,17,1,13,2,27,2,0,1,171,1.250,8.3,0.2,2.9,6.1,2.08,,0
Jason Marquis,31,0,0,,8.10,1,1,0,0,0,0,3.1,5,3,3,0,1,0,3,0,0,1,16,1.800,13.5,0.0,2.7,8.1,3.00,,1
Rafael Martin,26,5,4,.556,3.61,47,0,12,0,0,0,67.1,55,31,27,5,26,0,58,1,0,6,279,1.203,7.4,0.7,3.5,7.8,2.23,,1
Brad Meyers,24,1,0,1.000,1.47,6,6,0,0,0,0,30.2,23,7,5,3,7,0,35,1,0,0,121,0.978,6.8,0.9,2.1,10.3,5.00,,0
Tommy Milone*,23,12,5,.706,2.85,27,27,0,2,0,0,158.0,161,57,50,10,23,0,155,4,2,7,650,1.165,9.2,0.6,1.3,8.8,6.74,,1
Garrett Mock,27,0,1,.000,7.20,1,1,0,0,0,0,5.0,6,4,4,1,2,0,0,1,0,0,21,1.600,10.8,1.8,3.6,0.0,0.00,,1
Yunior Novoa*,25,0,5,.000,5.57,23,1,6,0,0,1,32.1,34,20,20,2,17,0,26,3,1,3,143,1.577,9.5,0.6,4.7,7.2,1.53,,0
Brad Peacock,22,2,2,.500,4.66,7,7,0,0,0,0,38.2,33,21,20,5,22,1,30,0,0,0,166,1.422,7.7,1.2,5.1,7.0,1.36,,1
Hassan Peña,25,2,2,.500,4.29,48,0,9,0,0,1,71.1,73,39,34,5,30,2,64,6,0,8,315,1.444,9.2,0.6,3.8,8.1,2.13,,0
Tanner Roark,23,1,1,.500,2.50,6,6,0,0,0,0,36.0,35,13,10,5,9,0,33,0,1,0,148,1.222,8.8,1.3,2.3,8.3,3.67,,1
Jack Spradlin*,25,1,1,.500,4.09,39,1,7,0,0,1,50.2,51,26,23,5,18,1,49,4,0,2,223,1.362,9.1,0.9,3.2,8.7,2.72,,0
Drew Storen,22,0,0,,0.96,7,0,6,0,0,4,9.1,5,1,1,1,1,0,11,0,0,0,32,0.643,4.8,1.0,1.0,10.6,11.00,,1
Stephen Strasburg,21,3,1,.750,1.64,5,5,0,0,0,0,22.0,13,9,4,0,6,0,27,1,0,0,86,0.864,5.3,0.0,2.5,11.0,4.50,,1
Ryan Tatusko,25,3,1,.750,1.72,6,6,0,0,0,0,36.2,30,8,7,2,13,0,36,1,0,1,149,1.173,7.4,0.5,3.2,8.8,2.77,,0
Aaron Thompson*,23,4,13,.235,5.80,26,26,0,0,0,0,136.2,164,96,88,16,53,0,95,5,2,5,616,1.588,10.8,1.1,3.5,6.3,1.79,,1
Cory VanAllen*,25,0,1,.000,3.24,8,0,4,0,0,0,8.1,7,3,3,2,4,0,6,1,0,0,35,1.320,7.6,2.2,4.3,6.5,1.50,,0
Tyler Walker,34,0,0,,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,2,0,0,0,6,0.000,0.0,0.0,0.0,9.0,,,1
Jordan Zimmermann,24,0,0,,0.00,1,1,0,0,0,0,4.2,1,0,0,0,2,0,3,1,0,1,17,0.643,1.9,0.0,3.9,5.8,1.50,,1
Zech Zinicola,25,2,3,.400,2.57,26,0,21,0,0,11,28.0,21,9,8,3,13,1,26,0,0,2,117,1.214,6.8,1.0,4.2,8.4,2.00,,0
36 Players,25.1,77,65,.542,3.51,142,142,140,2,10,44,1252.0,1171,559,488,102,400,10,1108,58,10,72,5276,1.255,8.4,0.7,2.9,8.0,2.77,,0
