Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Yancorix Adrian*,20,3,2,.600,2.14,12,7,2,0,0,0,59.0,44,25,14,3,21,0,52,4,1,0,249,1.102,6.7,0.5,3.2,7.9,2.48,,0
Orlando Alfonso,20,6,1,.857,1.57,12,8,3,0,0,0,51.2,48,13,9,0,11,0,34,2,1,1,212,1.142,8.4,0.0,1.9,5.9,3.09,,0
Cory Ast*,22,1,0,1.000,2.31,5,0,2,0,0,0,11.2,8,4,3,1,2,0,13,0,0,3,45,0.857,6.2,0.8,1.5,10.0,6.50,,0
Luiyi Batista,22,1,7,.125,4.40,12,12,0,0,0,0,61.1,65,38,30,3,20,0,46,4,1,6,269,1.386,9.5,0.4,2.9,6.8,2.30,,0
Tim Berry*,19,0,1,.000,1.35,14,0,2,0,0,0,20.0,13,9,3,0,14,0,23,2,2,2,91,1.350,5.9,0.0,6.3,10.4,1.64,,0
Parker Bridwell,18,0,0,,5.40,2,2,0,0,0,0,1.2,1,1,1,0,3,0,4,0,0,2,9,2.400,5.4,0.0,16.2,21.6,1.33,,1
Cameron Coffey*,19,0,1,.000,5.73,7,0,0,0,0,0,11.0,19,8,7,1,2,0,8,0,0,0,53,1.909,15.5,0.8,1.6,6.5,4.00,,0
Andy Deain,23,0,1,.000,2.61,7,0,3,0,0,1,10.1,7,3,3,0,3,0,14,1,0,1,41,0.968,6.1,0.0,2.6,12.2,4.67,,0
Matt Drummond*,22,2,1,.667,1.76,8,0,1,0,0,0,15.1,5,6,3,1,11,1,21,1,0,3,65,1.043,2.9,0.6,6.5,12.3,1.91,,0
D.J. Ferguson,22,4,3,.571,1.09,12,8,1,0,0,1,58.0,40,13,7,2,14,0,44,4,0,3,222,0.931,6.2,0.3,2.2,6.8,3.14,,0
Mike Gonzalez*,32,0,0,,0.00,2,2,0,0,0,0,2.0,1,0,0,0,0,0,3,0,0,0,7,0.500,4.5,0.0,0.0,13.5,,,1
Joshua Goodin,23,1,0,1.000,6.48,4,0,1,0,0,0,8.1,11,6,6,0,3,0,7,3,1,1,38,1.680,11.9,0.0,3.2,7.6,2.33,,0
Derek Hanks,23,0,2,.000,3.48,5,2,2,0,0,0,10.1,16,5,4,0,5,0,9,0,0,0,52,2.032,13.9,0.0,4.4,7.8,1.80,,0
Chris Hervey,23,0,2,.000,3.68,4,0,1,0,0,0,7.1,7,5,3,1,4,1,7,1,0,3,35,1.500,8.6,1.2,4.9,8.6,1.75,,0
Enrico Jimenez*,21,2,2,.500,2.68,12,8,2,0,0,0,57.0,45,24,17,1,25,0,72,4,1,8,246,1.228,7.1,0.2,3.9,11.4,2.88,,0
Jim Johnson,27,0,0,,6.75,4,4,0,0,0,0,4.0,5,3,3,1,1,0,5,0,0,0,17,1.500,11.3,2.3,2.3,11.3,5.00,,1
Chris Lamb*,19,1,2,.333,9.20,14,0,9,0,0,0,14.2,23,23,15,2,14,0,14,4,2,3,83,2.523,14.1,1.2,8.6,8.6,1.00,,0
Xavier Lopez,20,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,3,0.000,0.0,0.0,0.0,18.0,,,0
Jose Mota,20,1,2,.333,2.32,20,0,17,0,0,6,31.0,20,9,8,1,5,0,32,3,0,2,116,0.806,5.8,0.3,1.5,9.3,6.40,,0
Jose Nivar,21,0,0,,5.40,5,0,1,0,0,0,5.0,3,3,3,1,7,0,5,0,1,0,24,2.000,5.4,1.8,12.6,9.0,0.71,,0
Chris Petrini*,23,0,1,.000,1.53,6,0,4,0,0,2,17.2,10,3,3,0,7,0,23,2,0,0,68,0.962,5.1,0.0,3.6,11.7,3.29,,0
Jesse Rasner,23,1,0,1.000,4.15,3,0,0,0,0,0,4.1,5,2,2,0,0,0,6,0,0,1,18,1.154,10.4,0.0,0.0,12.5,,,0
David Richardson,19,0,2,.000,10.80,13,0,1,0,0,1,11.2,12,15,14,0,20,1,14,1,0,2,68,2.743,9.3,0.0,15.4,10.8,0.70,,0
Chris Schmitt,23,0,0,,1.08,3,0,1,0,0,0,8.1,5,2,1,0,3,0,7,1,0,2,34,0.960,5.4,0.0,3.2,7.6,2.33,,0
Aaron Swenson,23,1,2,.333,2.03,6,2,2,0,0,0,13.1,8,5,3,0,4,0,10,0,0,0,54,0.900,5.4,0.0,2.7,6.8,2.50,,0
Sebastian Vader,18,1,0,1.000,7.30,9,0,3,0,0,0,12.1,8,10,10,2,9,0,16,2,0,3,56,1.378,5.8,1.5,6.6,11.7,1.78,,0
Aaron Wirsch*,19,0,2,.000,8.64,5,4,0,0,0,0,8.1,12,9,8,0,6,0,9,1,0,0,42,2.160,13.0,0.0,6.5,9.7,1.50,,0
27 Players,21.1,25,34,.424,3.14,59,59,59,0,5,11,516.2,441,244,180,20,214,3,500,40,10,46,2217,1.268,7.7,0.3,3.7,8.7,2.34,,0
