Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Tim Adleman,23,5,7,.417,6.01,28,9,6,0,0,0,88.1,123,70,59,10,24,1,72,10,0,9,416,1.664,12.5,1.0,2.4,7.3,3.00,,1
David Baker,20,3,4,.429,2.82,9,9,0,0,0,0,54.1,40,21,17,5,19,0,48,2,0,3,214,1.086,6.6,0.8,3.1,8.0,2.53,,0
Tim Berry*,20,3,7,.300,5.17,26,26,0,0,0,0,116.2,107,70,67,11,61,0,96,7,1,6,504,1.440,8.3,0.8,4.7,7.4,1.57,,0
Parker Bridwell,19,0,3,.000,7.06,5,5,0,0,0,0,21.2,23,18,17,0,13,0,13,1,0,3,101,1.662,9.6,0.0,5.4,5.4,1.00,,1
Matt Bywater*,22,0,4,.000,3.77,9,9,0,0,0,0,45.1,38,22,19,3,32,0,51,5,0,6,206,1.544,7.5,0.6,6.4,10.1,1.59,,0
Scott Copeland,23,5,9,.357,6.58,20,20,0,0,0,0,108.0,136,88,79,10,46,0,55,7,0,14,501,1.685,11.3,0.8,3.8,4.6,1.20,,1
Jake Cowan,23,0,3,.000,4.46,6,6,0,0,0,0,34.1,36,19,17,0,18,0,30,1,0,1,154,1.573,9.4,0.0,4.7,7.9,1.67,,0
Josh Dowdy,24,0,0,,4.70,7,0,2,0,0,0,7.2,13,4,4,0,4,0,11,0,0,2,39,2.217,15.3,0.0,4.7,12.9,2.75,,0
D.J. Ferguson,23,1,2,.333,4.69,30,0,18,0,0,2,55.2,66,35,29,5,16,0,29,3,0,5,246,1.473,10.7,0.8,2.6,4.7,1.81,,0
Jason Gurka*,23,2,0,1.000,2.52,13,0,7,0,0,0,25.0,28,11,7,4,2,0,33,2,0,3,110,1.200,10.1,1.4,0.7,11.9,16.50,,1
Randy Henry,21,4,0,1.000,1.67,20,0,5,0,0,1,37.2,31,10,7,3,6,0,29,1,0,1,147,0.982,7.4,0.7,1.4,6.9,4.83,,0
Brandon Holloway*,25,0,1,.000,7.50,4,0,2,0,0,0,6.0,7,5,5,2,2,0,3,0,0,0,25,1.500,10.5,3.0,3.0,4.5,1.50,,0
Jarret Martin*,21,5,12,.294,4.96,31,18,3,0,0,1,110.2,107,81,61,8,65,0,97,13,2,12,506,1.554,8.7,0.7,5.3,7.9,1.49,,0
Luis Noel,23,8,10,.444,4.86,29,18,3,0,0,0,120.1,129,81,65,12,54,1,92,6,5,14,542,1.521,9.6,0.9,4.0,6.9,1.70,,0
Ryan Palsha,21,2,2,.500,4.25,25,0,5,0,0,0,48.2,51,27,23,3,28,1,38,5,0,4,225,1.623,9.4,0.6,5.2,7.0,1.36,,0
Chris Petrini*,24,1,1,.500,5.40,3,0,1,0,0,0,5.0,5,3,3,1,1,0,5,1,0,1,20,1.200,9.0,1.8,1.8,9.0,5.00,,0
Jake Pettit*,24,5,4,.556,4.42,16,15,0,0,0,0,93.2,108,52,46,8,30,0,65,3,1,4,405,1.473,10.4,0.8,2.9,6.2,2.17,,0
Cam Roth*,22,3,2,.600,5.05,32,4,10,0,0,1,82.0,91,48,46,4,33,0,57,3,1,4,361,1.512,10.0,0.4,3.6,6.3,1.73,,0
Clay Schrader,21,1,1,.500,2.05,12,0,4,0,0,2,22.0,11,7,5,1,13,1,38,0,0,2,92,1.091,4.5,0.4,5.3,15.5,2.92,,0
Kyle Simon,20,0,2,.000,4.15,8,0,4,0,0,0,8.2,6,4,4,1,2,0,7,1,0,1,35,0.923,6.2,1.0,2.1,7.3,3.50,,0
Will Startup*,26,2,0,1.000,1.29,4,0,2,0,0,0,7.0,5,1,1,0,1,0,8,1,0,1,28,0.857,6.4,0.0,1.3,10.3,8.00,,0
Travis Strong,22,0,2,.000,8.31,7,0,6,0,0,0,8.2,12,10,8,1,8,0,12,3,0,0,49,2.308,12.5,1.0,8.3,12.5,1.50,,1
Aaron Swenson,24,2,0,1.000,5.23,13,0,7,0,0,1,20.2,27,16,12,3,6,0,11,0,0,3,97,1.597,11.8,1.3,2.6,4.8,1.83,,0
Ashur Tolliver*,23,1,2,.333,2.27,24,0,13,0,0,0,39.2,35,10,10,3,16,2,41,0,0,5,164,1.286,7.9,0.7,3.6,9.3,2.56,,1
David Walters,23,1,6,.143,3.93,48,0,42,0,0,30,50.1,62,31,22,5,12,0,35,2,0,2,231,1.470,11.1,0.9,2.1,6.3,2.92,,0
Mike Wright,21,1,1,.500,10.54,4,1,0,0,0,0,13.2,21,16,16,3,4,0,12,2,0,3,67,1.829,13.8,2.0,2.6,7.9,3.00,,1
26 Players,22.2,55,85,.393,4.74,140,140,140,0,5,38,1231.2,1318,760,648,106,516,6,988,79,10,109,5485,1.489,9.6,0.8,3.8,7.2,1.91,,0
