Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Matt Andriese,21,5,1,.833,1.51,12,8,0,0,0,0,41.2,29,8,7,0,10,0,42,2,0,1,161,0.936,6.3,0.0,2.2,9.1,4.20,,1
Johnny Barbato,18,1,4,.200,4.89,15,13,2,0,0,0,57.0,52,39,31,4,31,2,50,5,1,5,256,1.456,8.2,0.6,4.9,7.9,1.61,,1
Simon Berroa,23,2,0,1.000,4.12,32,1,7,0,0,0,39.1,45,20,18,3,19,0,33,2,2,8,179,1.627,10.3,0.7,4.3,7.6,1.74,,0
Paul Bingham,23,0,0,,15.63,6,0,0,0,0,0,6.1,12,12,11,3,5,0,5,1,0,0,37,2.684,17.1,4.3,7.1,7.1,1.00,,0
Matt Branham,23,0,0,,0.00,2,0,0,0,0,0,2.0,1,0,0,0,1,0,4,0,0,0,8,1.000,4.5,0.0,4.5,18.0,4.00,,0
Kyle Brule,22,4,0,1.000,5.47,19,0,5,0,0,1,24.2,32,17,15,1,8,0,25,1,1,2,110,1.622,11.7,0.4,2.9,9.1,3.13,,0
Leonel Campos,23,0,0,,18.00,1,1,0,0,0,0,2.0,5,4,4,1,0,0,4,0,0,0,11,2.500,22.5,4.5,0.0,18.0,,,1
Daniel Cropper,23,1,0,1.000,1.86,7,0,0,0,0,0,9.2,8,2,2,0,4,0,11,1,0,0,39,1.241,7.4,0.0,3.7,10.2,2.75,,0
Luis De La Cruz,22,1,2,.333,4.28,36,0,13,0,0,1,48.1,40,25,23,3,20,0,43,4,0,7,208,1.241,7.4,0.6,3.7,8.0,2.15,,0
Jeremy Gigliotti*,23,4,3,.571,3.82,23,0,4,0,0,2,33.0,24,15,14,3,16,0,44,2,2,2,139,1.212,6.5,0.8,4.4,12.0,2.75,,0
Greg Gonzalez,22,4,1,.800,3.99,16,0,3,0,0,0,29.1,18,13,13,5,12,0,33,0,0,4,116,1.023,5.5,1.5,3.7,10.1,2.75,,0
Chris Haney,22,1,1,.500,6.97,9,0,2,0,0,1,10.1,8,8,8,0,6,1,14,0,0,2,47,1.355,7.0,0.0,5.2,12.2,2.33,,0
Cody Hebner,20,2,2,.500,3.35,11,7,0,0,0,0,37.2,28,16,14,0,15,0,39,0,0,4,153,1.142,6.7,0.0,3.6,9.3,2.60,,0
Juan Herrera,19,2,4,.333,4.50,14,14,0,0,0,0,56.0,51,34,28,4,40,0,37,1,0,12,255,1.625,8.2,0.6,6.4,5.9,0.93,,0
James Jones,22,0,0,,0.00,3,0,0,0,0,0,3.1,6,0,0,0,1,0,5,0,0,0,17,2.100,16.2,0.0,2.7,13.5,5.00,,0
Zach Kometani,21,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,2,0,1,1,0,0,6,2.000,0.0,0.0,18.0,9.0,0.50,,0
Ruben Mejia,19,0,0,,4.50,1,1,0,0,0,0,4.0,3,2,2,0,2,0,1,1,1,0,17,1.250,6.8,0.0,4.5,2.3,0.50,,0
Clint Moore,22,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,0.000,0.0,0.0,0.0,9.0,,,0
James Needy,20,1,4,.200,4.60,12,11,0,0,0,0,43.0,51,28,22,3,16,0,26,1,0,2,198,1.558,10.7,0.6,3.3,5.4,1.63,,0
Mark Pope,21,3,1,.750,3.41,10,0,0,0,0,0,29.0,26,12,11,4,11,0,24,0,0,2,123,1.276,8.1,1.2,3.4,7.4,2.18,,0
Kevin Quackenbush,22,1,0,1.000,0.44,17,0,15,0,0,9,20.2,13,1,1,0,6,0,33,0,0,1,76,0.919,5.7,0.0,2.6,14.4,5.50,,1
Colin Rea,20,3,4,.429,2.21,15,15,0,0,0,0,53.0,47,18,13,2,21,0,43,6,2,6,228,1.283,8.0,0.3,3.6,7.3,2.05,,1
Will Scott,20,2,2,.500,3.17,19,5,2,0,0,2,54.0,45,23,19,0,12,0,43,1,0,4,219,1.056,7.5,0.0,2.0,7.2,3.58,,0
Warren Slack,21,0,0,,16.88,5,0,0,0,0,0,5.1,12,10,10,0,5,0,1,0,0,2,31,3.188,20.3,0.0,8.4,1.7,0.20,,0
Matt Stites,21,4,0,1.000,1.93,24,0,9,0,0,5,32.2,14,7,7,1,8,0,36,1,2,3,121,0.673,3.9,0.3,2.2,9.9,4.50,,1
Chris Wilkes,21,5,1,.833,3.28,27,0,13,0,0,5,35.2,29,15,13,3,18,1,46,3,0,5,156,1.318,7.3,0.8,4.5,11.6,2.56,,0
26 Players,21.1,46,30,.605,3.79,76,76,76,0,4,26,680.0,599,329,286,40,289,4,644,33,11,72,2914,1.306,7.9,0.5,3.8,8.5,2.23,,0
