Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Andy Bass,22,0,4,.000,9.25,17,0,7,0,0,0,24.1,31,28,25,4,32,0,15,4,0,3,136,2.589,11.5,1.5,11.8,5.5,0.47,,0
Andrew Bellatti,19,3,5,.375,2.63,15,13,0,0,0,0,72.0,66,26,21,1,23,0,63,1,0,0,295,1.236,8.3,0.1,2.9,7.9,2.74,,1
Brooks Belter,23,3,2,.600,3.58,15,1,4,0,0,1,32.2,26,20,13,0,18,0,29,7,0,8,148,1.347,7.2,0.0,5.0,8.0,1.61,,0
Ryan Carpenter*,20,2,1,.667,0.76,8,4,1,0,0,0,23.2,9,2,2,0,4,0,26,0,0,1,84,0.549,3.4,0.0,1.5,9.9,6.50,,1
Roque Colon,23,0,2,.000,12.60,4,0,2,0,0,0,10.0,20,15,14,1,5,0,5,2,0,5,55,2.500,18.0,0.9,4.5,4.5,1.00,,0
Charlie Cononie,22,1,1,.500,2.43,16,0,13,0,0,6,29.2,17,11,8,0,12,1,27,5,0,0,115,0.978,5.2,0.0,3.6,8.2,2.25,,0
Robert Dickmann*,24,3,3,.500,1.65,17,5,4,0,0,1,49.0,42,26,9,4,13,0,45,3,1,3,208,1.122,7.7,0.7,2.4,8.3,3.46,,0
Jake Floethe,22,1,1,.500,1.71,7,5,0,0,0,0,21.0,21,5,4,0,7,0,15,0,0,2,86,1.333,9.0,0.0,3.0,6.4,2.14,,0
Theron Geith*,22,0,1,.000,1.80,2,0,1,0,0,0,5.0,4,1,1,0,0,0,4,0,0,0,18,0.800,7.2,0.0,0.0,7.2,,,0
Roberto Gomez,21,1,0,1.000,0.00,2,1,0,0,0,0,7.0,2,0,0,0,3,0,4,0,0,0,26,0.714,2.6,0.0,3.9,5.1,1.33,,1
Mickey Jannis,23,4,3,.571,2.92,18,2,6,0,0,2,52.1,48,24,17,2,16,0,42,4,0,4,216,1.223,8.3,0.3,2.8,7.2,2.63,,1
Dave Laufer,22,1,2,.333,5.40,17,0,10,0,0,0,25.0,28,20,15,3,11,0,15,2,0,1,113,1.560,10.1,1.1,4.0,5.4,1.36,,0
Drew Leary,23,0,0,,3.75,3,1,2,0,0,2,12.0,10,5,5,1,2,0,6,1,0,2,47,1.000,7.5,0.8,1.5,4.5,3.00,,0
Lenny Linsky,21,3,0,1.000,1.46,12,0,6,0,0,3,24.2,19,11,4,2,6,0,27,2,0,2,102,1.014,6.9,0.7,2.2,9.9,4.50,,0
Diogenes Luis,24,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,5,1.000,9.0,0.0,0.0,0.0,,,0
Parker Markel,20,3,4,.429,3.14,13,13,0,0,0,0,57.1,42,26,20,3,23,0,44,5,0,2,232,1.134,6.6,0.5,3.6,6.9,1.91,,1
Jason McEachern,20,3,0,1.000,2.38,7,7,0,0,0,0,34.0,21,12,9,1,9,0,35,4,1,1,134,0.882,5.6,0.3,2.4,9.3,3.89,,0
Jacob Partridge*,20,3,6,.333,3.89,15,15,0,0,0,0,74.0,81,45,32,6,23,0,57,1,0,4,320,1.405,9.9,0.7,2.8,6.9,2.48,,0
Wilking Rodriguez,21,1,1,.500,6.48,2,2,0,0,0,0,8.1,10,6,6,0,2,0,9,0,1,1,35,1.440,10.8,0.0,2.2,9.7,4.50,,1
Trevor Shull,20,0,2,.000,4.67,6,6,0,0,0,0,27.0,21,14,14,0,16,0,14,6,1,1,116,1.370,7.0,0.0,5.3,4.7,0.88,,0
Stayton Thomas,22,3,0,1.000,2.05,14,1,9,0,0,2,26.1,26,6,6,1,10,0,18,2,0,3,113,1.367,8.9,0.3,3.4,6.2,1.80,,0
Justin Woodall*,23,2,1,.667,2.25,19,0,10,0,0,4,24.0,18,9,6,1,14,0,27,2,0,0,102,1.333,6.8,0.4,5.3,10.1,1.93,,0
22 Players,21.5,37,39,.487,3.25,76,76,76,0,8,21,640.1,563,312,231,30,249,1,527,51,4,43,2706,1.268,7.9,0.4,3.5,7.4,2.12,,0
