Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
A.J. Achter,24,1,2,.333,3.04,16,0,6,0,0,1,23.2,17,9,8,4,14,0,20,0,0,0,100,1.310,6.5,1.5,5.3,7.6,1.43,,1
Andrew Albers*,27,11,5,.688,2.86,22,22,0,3,1,0,132.1,124,46,42,14,32,0,116,0,1,0,533,1.179,8.4,1.0,2.2,7.9,3.63,,1
Nick Blackburn,31,0,1,.000,10.80,1,1,0,0,0,0,5.0,10,6,6,2,0,0,0,0,0,0,23,2.000,18.0,3.6,0.0,0.0,,,1
Brandon Boggs,30,0,0,,,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1
Logan Darnell*,24,4,4,.500,4.26,12,11,0,0,0,0,57.0,63,33,27,5,22,0,43,4,0,4,245,1.491,9.9,0.8,3.5,6.8,1.95,,1
Cole De Vries,28,3,4,.429,7.02,10,10,0,0,0,0,50.0,77,40,39,6,13,1,24,1,1,3,237,1.800,13.9,1.1,2.3,4.3,1.85,,1
Pat Dean*,24,3,2,.600,2.03,6,6,0,0,0,0,40.0,38,14,9,0,5,0,22,1,0,0,160,1.075,8.6,0.0,1.1,5.0,4.40,,1
Sam Deduno,29,0,0,,2.70,3,3,0,0,0,0,16.2,14,6,5,1,10,0,17,0,0,2,69,1.440,7.6,0.5,5.4,9.2,1.70,,1
Scott Diamond*,26,4,0,1.000,2.41,6,6,0,1,1,0,41.0,33,13,11,4,9,0,19,0,0,0,162,1.024,7.2,0.9,2.0,4.2,2.11,,1
Brian Dinkelman,29,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,0.000,0.0,0.0,0.0,9.0,,,1
Cody Eppley,27,2,0,1.000,4.88,22,0,5,0,0,0,24.0,23,13,13,0,13,1,20,0,0,0,106,1.500,8.6,0.0,4.9,7.5,1.54,,1
Kyle Gibson,25,7,5,.583,2.92,17,17,0,2,2,0,101.2,85,36,33,5,33,0,87,0,0,3,412,1.161,7.5,0.4,2.9,7.7,2.64,,1
Liam Hendriks,24,4,8,.333,4.67,16,16,0,1,0,0,98.1,115,56,51,9,15,0,62,3,0,2,416,1.322,10.5,0.8,1.4,5.7,4.13,,1
Pedro Hernandez*,24,2,2,.500,4.50,8,7,1,1,0,0,46.0,53,28,23,8,12,0,33,1,0,0,201,1.413,10.4,1.6,2.3,6.5,2.75,,1
Edgar Ibarra*,24,1,0,1.000,1.96,16,0,3,0,0,0,18.1,9,4,4,1,9,0,14,1,0,0,73,0.982,4.4,0.5,4.4,6.9,1.56,,1
Bobby Lanigan,26,0,0,,0.00,1,0,1,0,0,1,0.2,0,0,0,0,0,0,1,0,0,0,2,0.000,0.0,0.0,0.0,13.5,,,0
Blake Martin*,27,0,0,,4.02,12,0,3,0,0,0,15.2,12,7,7,6,12,0,15,0,0,0,69,1.532,6.9,3.4,6.9,8.6,1.25,,0
Shairon Martis,26,2,4,.333,4.26,42,3,21,0,0,11,80.1,68,39,38,8,31,1,65,0,0,6,337,1.232,7.6,0.9,3.5,7.3,2.10,,1
Jermaine Mitchell*,28,0,0,,8.10,2,0,0,0,0,0,3.1,4,3,3,0,3,0,0,0,0,0,16,2.100,10.8,0.0,8.1,0.0,0.00,,0
Mike O'Connor*,32,0,1,.000,4.86,13,0,5,0,0,0,16.2,23,10,9,0,6,1,17,0,1,0,81,1.740,12.4,0.0,3.2,9.2,2.83,,1
Ray Olmedo,32,0,0,,0.00,1,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2,0.000,0.0,0.0,0.0,0.0,,,1
Luis Perdomo,29,5,4,.556,5.95,45,0,19,0,0,6,65.0,67,48,43,9,43,1,59,5,1,5,306,1.692,9.3,1.2,6.0,8.2,1.37,,1
Rafael Perez*,31,1,0,1.000,2.25,4,0,3,0,0,0,4.0,2,1,1,1,3,0,2,0,0,0,16,1.250,4.5,2.3,6.8,4.5,0.67,,1
Bruce Pugh,24,0,0,,19.80,5,0,0,0,0,0,5.0,14,11,11,1,3,0,1,0,1,1,30,3.400,25.2,1.8,5.4,1.8,0.33,,0
Tyler Robertson*,25,2,0,1.000,3.05,21,0,5,0,0,1,20.2,22,7,7,0,16,4,20,0,0,1,95,1.839,9.6,0.0,7.0,8.7,1.25,,1
Anthony Slama,29,0,4,.000,13.50,14,0,8,0,0,2,13.1,16,21,20,2,14,2,9,1,0,1,69,2.250,10.8,1.4,9.5,6.1,0.64,,1
Caleb Thielbar*,26,1,1,.500,3.76,17,0,4,0,0,1,26.1,27,13,11,1,8,0,34,1,0,2,114,1.329,9.2,0.3,2.7,11.6,4.25,,1
Aaron Thompson*,26,3,2,.600,3.48,31,1,10,0,0,6,44.0,49,20,17,3,13,0,42,1,0,3,190,1.409,10.0,0.6,2.7,8.6,3.23,,1
Michael Tonkin,23,1,2,.333,4.41,30,0,21,0,0,14,32.2,33,18,16,3,8,1,36,1,0,0,139,1.255,9.1,0.8,2.2,9.9,4.50,,1
Daniel Turpen,26,2,0,1.000,6.93,21,0,6,0,0,1,24.2,34,24,19,6,13,0,19,2,1,2,118,1.905,12.4,2.2,4.7,6.9,1.46,,0
Virgil Vasquez,31,4,7,.364,4.41,23,13,7,0,0,1,87.2,100,47,43,12,19,1,60,6,0,2,383,1.357,10.3,1.2,2.0,6.2,3.16,,1
P.J. Walters,28,7,5,.583,4.18,19,19,0,1,1,0,103.1,110,54,48,5,46,0,82,8,0,6,457,1.510,9.6,0.4,4.0,7.1,1.78,,1
Tim Wood,30,1,1,.500,6.75,7,0,2,0,0,1,8.0,9,6,6,1,5,0,9,0,1,0,38,1.750,10.1,1.1,5.6,10.1,1.80,,1
Vance Worley,25,6,3,.667,3.88,9,9,0,3,1,0,58.0,65,31,25,3,17,1,34,1,0,1,251,1.414,10.1,0.5,2.6,5.3,2.00,,1
34 Players,26.5,77,67,.535,4.21,144,144,132,12,10,46,1265.0,1316,664,592,120,447,14,983,37,7,44,5453,1.394,9.4,0.9,3.2,7.0,2.20,,0
