Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Jose Arias,22,0,1,.000,2.53,6,4,0,0,0,0,10.2,6,3,3,0,2,0,12,0,0,0,39,0.750,5.1,0.0,1.7,10.1,6.00,,0
Johermyn Chavez,24,1,1,.500,8.53,5,2,0,0,0,0,6.1,6,6,6,1,4,0,4,0,2,1,31,1.579,8.5,1.4,5.7,5.7,1.00,,0
Trevor Clifton,18,0,0,,6.97,8,1,2,0,0,0,10.1,13,8,8,0,8,0,15,0,0,3,51,2.032,11.3,0.0,7.0,13.1,1.88,,0
Augusto Colina*,20,1,0,1.000,5.40,2,0,0,0,0,0,1.2,1,2,1,1,2,0,0,0,0,0,8,1.800,5.4,5.4,10.8,0.0,0.00,,0
Gerardo Concepción*,21,0,0,,0.00,2,2,0,0,0,0,3.2,1,1,0,0,4,0,2,1,0,3,17,1.364,2.5,0.0,9.8,4.9,0.50,,1
Josh Davis,22,3,1,.750,4.50,12,0,1,0,0,0,20.0,18,11,10,1,7,0,10,3,0,4,87,1.250,8.1,0.5,3.2,4.5,1.43,,0
Dayan Diaz,24,0,0,,0.00,2,1,0,0,0,0,3.0,1,0,0,0,1,0,5,0,0,0,11,0.667,3.0,0.0,3.0,15.0,5.00,,1
Jorge Diaz,21,1,0,1.000,9.53,5,1,2,0,0,1,5.2,6,7,6,1,4,0,7,2,0,1,30,1.765,9.5,1.6,6.4,11.1,1.75,,0
Rafael Dolis,25,0,0,,0.00,3,2,0,0,0,0,3.0,0,0,0,0,1,0,2,0,0,0,10,0.333,0.0,0.0,3.0,6.0,2.00,,1
Ethan Elias,20,2,1,.667,5.71,9,0,1,0,0,0,17.1,25,16,11,0,5,0,17,4,2,1,87,1.731,13.0,0.0,2.6,8.8,3.40,,0
Juan Francisco,22,0,1,.000,6.39,12,0,6,0,0,0,12.2,14,11,9,0,17,0,12,1,0,9,70,2.447,9.9,0.0,12.1,8.5,0.71,,0
Victor Garcia*,21,1,0,1.000,13.50,2,0,0,0,0,0,2.0,7,4,3,0,2,0,3,0,0,2,16,4.500,31.5,0.0,9.0,13.5,1.50,,0
David Garner,20,0,2,.000,7.98,9,3,0,0,0,0,14.2,19,15,13,0,9,0,16,1,1,2,71,1.909,11.7,0.0,5.5,9.8,1.78,,0
Zack Godley,23,0,0,,9.00,1,0,0,0,0,0,1.0,2,1,1,0,0,0,1,0,0,0,5,2.000,18.0,0.0,0.0,9.0,,,1
Trevor Graham,21,0,0,,2.01,11,4,1,0,0,1,22.1,18,5,5,2,5,0,17,0,0,0,88,1.030,7.3,0.8,2.0,6.9,3.40,,0
Luis Guillen,19,0,0,,6.91,5,0,2,0,0,0,14.1,19,11,11,3,4,0,12,1,0,2,66,1.605,11.9,1.9,2.5,7.5,3.00,,0
Carlos Gutierrez,26,0,0,,0.00,1,0,0,0,0,0,2.0,0,1,0,0,1,0,1,0,0,0,8,0.500,0.0,0.0,4.5,4.5,1.00,,0
Zak Hermans,22,1,1,.500,3.12,6,1,0,0,0,0,8.2,10,4,3,0,4,0,10,1,0,1,41,1.615,10.4,0.0,4.2,10.4,2.50,,0
Tyler Ihrig*,21,2,0,1.000,0.72,12,0,2,0,0,0,25.0,16,2,2,0,4,0,30,3,0,1,96,0.800,5.8,0.0,1.4,10.8,7.50,,0
Trey Lang,21,0,1,.000,5.54,11,0,3,0,0,0,13.0,14,8,8,1,9,1,14,0,0,6,59,1.769,9.7,0.7,6.2,9.7,1.56,,0
Erick Leal,18,3,2,.600,2.77,13,6,1,0,0,1,48.2,50,18,15,2,8,0,52,3,2,9,205,1.192,9.2,0.4,1.5,9.6,6.50,,0
Chang-Yong Lim,37,0,0,,3.60,5,5,0,0,0,0,5.0,5,2,2,0,0,0,4,0,0,0,19,1.000,9.0,0.0,0.0,7.2,,,1
Trey Masek,21,0,1,.000,15.43,2,0,0,0,0,0,2.1,4,4,4,0,2,0,2,0,0,2,12,2.571,15.4,0.0,7.7,7.7,1.00,,0
Marcos Mateo,29,1,0,1.000,0.00,5,2,0,0,0,0,6.0,3,1,0,0,2,0,8,0,0,0,24,0.833,4.5,0.0,3.0,12.0,4.00,,1
Andrew McKirahan*,23,0,0,,4.50,2,0,0,0,0,0,2.0,4,1,1,0,0,0,4,0,0,0,8,2.000,18.0,0.0,0.0,18.0,,,1
Trey McNutt,23,0,0,,0.00,2,2,0,0,0,0,2.0,3,0,0,0,0,0,3,0,0,0,9,1.500,13.5,0.0,0.0,13.5,,,0
Angel Mejias*,19,0,0,,0.00,3,0,0,0,0,0,4.0,3,5,0,0,4,0,3,1,0,1,22,1.750,6.8,0.0,9.0,6.8,0.75,,0
Juan Paniagua,23,0,0,,0.00,1,1,0,0,0,0,3.0,2,0,0,0,0,0,4,0,0,1,11,0.667,6.0,0.0,0.0,12.0,,,0
Starlin Peralta,22,0,0,,1.35,5,1,0,0,0,0,13.1,11,3,2,0,3,0,14,1,0,0,53,1.050,7.4,0.0,2.0,9.5,4.67,,0
Anthony Prieto*,19,1,2,.333,4.29,6,4,1,0,0,0,21.0,19,15,10,3,12,2,17,0,0,2,94,1.476,8.1,1.3,5.1,7.3,1.42,,0
Brad Renner,22,0,0,,0.00,4,0,1,0,0,1,6.0,2,0,0,0,2,0,8,0,0,2,21,0.667,3.0,0.0,3.0,12.0,4.00,,0
Dae-Eun Rhee,24,0,0,,2.25,2,2,0,0,0,0,4.0,5,3,1,0,1,0,0,1,0,0,20,1.500,11.3,0.0,2.3,0.0,0.00,,0
Carlos Rodriguez*,17,1,4,.200,6.97,13,3,0,0,0,0,31.0,44,27,24,0,15,1,30,2,3,2,151,1.903,12.8,0.0,4.4,8.7,2.00,,0
Orbandy Rodriguez,24,3,1,.750,1.26,10,0,7,0,0,0,14.1,11,3,2,0,4,0,22,1,0,0,58,1.047,6.9,0.0,2.5,13.8,5.50,,0
Alex Santana,19,0,1,.000,4.58,5,2,1,0,0,0,17.2,18,13,9,0,6,0,16,1,0,4,78,1.358,9.2,0.0,3.1,8.2,2.67,,0
Ryan Searle,24,0,0,,4.76,3,3,0,0,0,0,5.2,7,4,3,0,2,0,6,0,0,1,30,1.588,11.1,0.0,3.2,9.5,3.00,,0
Daury Torrez,20,4,2,.667,3.31,12,2,3,0,0,1,49.0,49,21,18,2,5,1,49,0,2,0,198,1.102,9.0,0.4,0.9,9.0,9.80,,0
Luis Villalba*,20,1,2,.333,2.52,16,0,9,0,0,2,25.0,26,10,7,1,7,0,32,0,0,5,105,1.320,9.4,0.4,2.5,11.5,4.57,,0
David Villegas*,20,0,4,.000,3.68,15,1,10,0,0,5,22.0,21,17,9,0,7,0,19,3,2,5,100,1.273,8.6,0.0,2.9,7.8,2.71,,0
Michael Wagner,21,1,0,1.000,0.00,4,0,2,0,0,0,4.0,4,1,0,0,2,0,5,0,0,0,17,1.500,9.0,0.0,4.5,11.3,2.50,,0
Sam Wilson*,21,0,0,,0.00,1,0,0,0,0,0,1.0,1,1,0,0,0,0,2,0,0,0,5,1.000,9.0,0.0,0.0,18.0,,,0
41 Players,21.4,27,28,.491,3.83,55,55,55,0,2,12,484.1,488,265,206,18,175,5,490,30,14,70,2131,1.369,9.1,0.3,3.3,9.1,2.80,,0
