Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Matt Abramson,23,1,1,.500,4.22,18,0,7,0,0,2,32.0,33,19,15,1,13,0,29,1,1,6,139,1.438,9.3,0.3,3.7,8.2,2.23,,0
Jose Bautista*,21,4,2,.667,4.10,16,7,1,0,0,0,48.1,49,31,22,2,23,0,42,4,0,2,221,1.490,9.1,0.4,4.3,7.8,1.83,,0
Nick Blount,22,4,4,.500,3.18,16,9,6,0,0,2,51.0,55,25,18,1,17,0,41,0,0,2,220,1.412,9.7,0.2,3.0,7.2,2.41,,0
Jose Brito,22,2,3,.400,5.96,16,8,1,0,0,0,48.1,54,33,32,5,27,0,31,3,3,11,219,1.676,10.1,0.9,5.0,5.8,1.15,,0
James Dykstra,22,0,0,,5.06,6,0,0,0,0,0,5.1,10,4,3,0,5,0,2,0,0,0,29,2.813,16.9,0.0,8.4,3.4,0.40,,0
Brad Goldberg,23,0,0,,0.00,2,0,0,0,0,0,4.0,2,0,0,0,0,0,7,0,0,0,15,0.500,4.5,0.0,0.0,15.8,,,1
Sean Hagan*,22,1,2,.333,6.19,17,0,10,0,0,3,32.0,41,30,22,2,16,0,20,2,0,1,153,1.781,11.5,0.6,4.5,5.6,1.25,,0
David Haselden,23,6,5,.545,4.14,15,15,0,0,0,0,82.2,91,51,38,2,13,0,50,10,1,4,357,1.258,9.9,0.2,1.4,5.4,3.85,,0
James Hudelson,23,4,1,.800,4.50,17,2,4,0,0,2,46.0,46,26,23,8,27,0,45,1,1,5,210,1.587,9.0,1.6,5.3,8.8,1.67,,0
Eric Jaffe,22,1,1,.500,9.89,18,0,10,0,0,3,23.2,32,27,26,1,23,0,27,3,0,7,124,2.324,12.2,0.4,8.7,10.3,1.17,,0
Todd Kibby*,21,7,2,.778,4.39,16,7,2,0,0,1,55.1,55,36,27,2,26,0,39,6,0,8,241,1.464,8.9,0.3,4.2,6.3,1.50,,0
Jeff McKenzie*,22,4,0,1.000,1.44,16,0,9,0,0,6,25.0,13,4,4,0,6,0,23,0,1,1,90,0.760,4.7,0.0,2.2,8.3,3.83,,0
Andrew Mitchell,21,1,3,.250,4.50,14,14,0,1,0,0,56.0,57,34,28,6,30,0,47,2,0,6,245,1.554,9.2,1.0,4.8,7.6,1.57,,0
David Putman,23,2,1,.667,1.08,13,0,11,0,0,3,25.0,16,6,3,0,17,0,37,4,0,3,113,1.320,5.8,0.0,6.1,13.3,2.18,,0
Bradley Salgado,21,1,0,1.000,3.00,3,0,0,0,0,0,3.0,2,1,1,0,3,0,2,0,0,2,14,1.667,6.0,0.0,9.0,6.0,0.67,,0
Jake Sanchez,23,6,3,.667,2.87,14,14,0,0,0,0,81.2,71,35,26,7,14,0,76,4,0,2,329,1.041,7.8,0.8,1.5,8.4,5.43,,0
Anthony Santiago,23,3,0,1.000,1.59,18,0,8,0,0,3,34.0,19,6,6,1,17,0,27,2,0,1,136,1.059,5.0,0.3,4.5,7.1,1.59,,0
Joey Wagman,21,1,0,1.000,3.57,16,0,6,0,0,2,22.2,23,9,9,0,7,0,28,2,0,2,102,1.324,9.1,0.0,2.8,11.1,4.00,,0
18 Players,22.1,48,28,.632,4.03,76,76,75,1,4,27,676.0,669,377,303,38,284,0,573,44,7,63,2957,1.410,8.9,0.5,3.8,7.6,2.02,,0
