Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Rony Acevedo,24,2,1,.667,4.91,16,0,11,0,0,1,22.0,22,14,12,1,4,0,23,2,1,2,92,1.182,9.0,0.4,1.6,9.4,5.75,,0
Hunter Adkins,22,0,1,.000,3.94,8,3,1,0,0,0,16.0,14,10,7,0,6,0,17,1,0,2,69,1.250,7.9,0.0,3.4,9.6,2.83,,0
Jose Azor,24,1,0,1.000,16.88,3,0,0,0,0,0,2.2,5,6,5,1,7,0,1,2,0,7,20,4.500,16.9,3.4,23.6,3.4,0.14,,0
Trey Barham*,27,0,0,,3.72,7,7,0,0,0,0,9.2,9,4,4,0,3,0,14,0,0,1,40,1.241,8.4,0.0,2.8,13.0,4.67,,0
Sam Bragg,20,1,0,1.000,0.00,4,0,3,0,0,1,7.1,2,0,0,0,2,1,14,0,0,5,27,0.545,2.5,0.0,2.5,17.2,7.00,,0
A.J. Burke,22,1,3,.250,7.84,15,0,5,0,0,0,20.2,29,19,18,1,6,0,18,1,0,4,97,1.694,12.6,0.4,2.6,7.8,3.00,,0
Ryan Doolittle,25,1,0,1.000,0.79,4,3,0,0,0,0,11.1,6,1,1,0,1,0,6,0,0,0,40,0.618,4.8,0.0,0.8,4.8,6.00,,0
Dustin Driver,18,0,2,.000,7.15,7,4,0,0,0,0,11.1,18,12,9,0,11,0,4,0,0,5,60,2.559,14.3,0.0,8.7,3.2,0.36,,0
Ronald Herrera,18,6,4,.600,3.82,14,9,0,0,0,0,70.2,76,36,30,3,11,0,58,3,2,3,296,1.231,9.7,0.4,1.4,7.4,5.27,,1
Chris Kohler*,18,1,2,.333,2.78,13,4,2,0,0,1,22.2,19,10,7,0,9,0,32,1,1,3,97,1.235,7.5,0.0,3.6,12.7,3.56,,0
Jon Massad,22,1,4,.200,3.90,17,2,7,0,0,0,30.0,34,15,13,3,5,0,24,4,0,2,130,1.300,10.2,0.9,1.5,7.2,4.80,,0
Blake McMullen,22,0,2,.000,5.11,15,1,5,0,0,0,24.2,31,22,14,1,14,2,20,1,0,8,117,1.824,11.3,0.4,5.1,7.3,1.43,,0
Junior Mendez,20,0,1,.000,4.50,10,1,2,0,0,0,20.0,19,10,10,2,6,0,21,1,0,1,87,1.250,8.6,0.9,2.7,9.5,3.50,,0
Joseph Michaud,22,1,0,1.000,3.77,10,2,5,0,0,0,14.1,17,8,6,1,9,0,24,0,0,2,69,1.814,10.7,0.6,5.7,15.1,2.67,,0
Carlos Navas,20,1,2,.333,4.83,12,7,0,0,0,0,50.1,55,31,27,4,12,0,23,5,2,4,217,1.331,9.8,0.7,2.1,4.1,1.92,,0
Alex Nolasco*,22,2,3,.400,5.66,14,5,1,0,0,0,41.1,38,28,26,3,33,2,22,5,0,4,193,1.718,8.3,0.7,7.2,4.8,0.67,,0
Jensi Peralta,21,2,1,.667,5.50,15,0,1,0,0,0,18.0,15,14,11,0,13,0,19,2,1,2,83,1.556,7.5,0.0,6.5,9.5,1.46,,0
Cristhian Perez,21,3,3,.500,3.92,10,5,0,0,0,0,43.2,43,24,19,5,5,0,36,0,2,3,178,1.099,8.9,1.0,1.0,7.4,7.20,,0
Travis Pitcher,22,1,0,1.000,1.69,14,0,6,0,0,3,21.1,19,10,4,1,13,0,27,3,0,2,97,1.500,8.0,0.4,5.5,11.4,2.08,,0
Nolan Sanburn,21,0,0,,2.25,2,1,1,0,0,0,4.0,3,1,1,0,1,0,6,1,0,1,17,1.000,6.8,0.0,2.3,13.5,6.00,,0
Dominique Vattuone,22,1,1,.500,3.31,9,0,5,0,0,2,16.1,13,7,6,1,4,0,21,1,0,2,65,1.041,7.2,0.6,2.2,11.6,5.25,,0
Bobby Wahl,21,0,0,,9.00,1,1,0,0,0,0,1.0,0,1,1,0,2,0,1,0,0,0,5,2.000,0.0,0.0,18.0,9.0,0.50,,1
22 Players,21.4,25,30,.455,4.28,55,55,55,0,0,8,479.1,487,283,228,27,177,5,431,33,9,63,2096,1.385,9.1,0.5,3.3,8.1,2.44,,0
