Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Steve Ames,26,2,2,.500,1.64,9,0,2,0,0,0,11.0,8,3,2,0,4,0,9,0,0,0,45,1.091,6.5,0.0,3.3,7.4,2.25,,1
Collin Cargill,26,5,1,.833,3.22,32,0,11,0,0,0,36.1,34,21,13,1,10,2,19,0,0,3,158,1.211,8.4,0.2,2.5,4.7,1.90,,0
Grant Dayton*,26,0,1,.000,1.10,11,0,4,0,0,3,16.1,17,2,2,0,4,0,18,0,0,0,71,1.286,9.4,0.0,2.2,9.9,4.50,,1
Anthony DeSclafani,24,3,4,.429,4.19,8,8,0,0,0,0,43.0,45,20,20,4,10,0,38,0,0,2,175,1.279,9.4,0.8,2.1,8.0,3.80,,1
Joel Effertz,23,0,0,,0.00,1,0,0,0,0,0,2.0,1,0,0,0,4,0,1,0,0,0,10,2.500,4.5,0.0,18.0,4.5,0.25,,0
Andrew Heaney*,23,4,2,.667,2.35,9,8,0,0,0,0,53.2,45,16,14,2,13,0,52,0,0,5,218,1.081,7.5,0.3,2.2,8.7,4.00,,1
Tyler Higgins,23,2,0,1.000,4.97,15,0,7,0,0,0,29.0,40,18,16,4,8,0,17,2,0,1,131,1.655,12.4,1.2,2.5,5.3,2.13,,0
James Leverton*,28,0,1,.000,4.15,7,0,1,0,0,0,8.2,8,5,4,1,3,0,7,0,0,0,37,1.269,8.3,1.0,3.1,7.3,2.33,,0
Jon Link,30,1,0,1.000,2.25,2,2,0,0,0,0,12.0,10,3,3,0,1,0,16,0,0,1,48,0.917,7.5,0.0,0.8,12.0,16.00,,1
Blake Logan,22,0,0,,0.00,5,0,2,0,0,0,11.0,6,0,0,0,1,0,11,1,0,0,40,0.636,4.9,0.0,0.8,9.0,11.00,,0
Scott Lyman,24,0,1,.000,10.80,1,1,0,0,0,0,5.0,8,7,6,0,2,0,3,2,0,2,25,2.000,14.4,0.0,3.6,5.4,1.50,,0
Jheyson Manzueta,24,4,2,.667,4.44,29,0,9,0,0,2,46.2,48,24,23,2,22,1,28,6,0,6,208,1.500,9.3,0.4,4.2,5.4,1.27,,0
Casey McCarthy,24,1,1,.500,1.93,5,0,2,0,0,0,9.1,8,2,2,2,2,0,6,0,0,0,37,1.071,7.7,1.9,1.9,5.8,3.00,,0
Matt Montgomery,26,1,1,.500,4.45,11,3,0,0,0,0,28.1,37,17,14,2,7,1,17,1,0,0,130,1.553,11.8,0.6,2.2,5.4,2.43,,0
Robert Morey,25,3,2,.600,5.09,11,6,0,0,0,0,40.2,53,25,23,3,20,0,19,1,0,4,186,1.795,11.7,0.7,4.4,4.2,0.95,,0
