Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Andrew Bellatti,22,2,6,.250,3.68,46,0,23,0,0,6,71.0,69,32,29,6,22,0,80,0,0,1,301,1.282,8.7,0.8,2.8,10.1,3.64,,1
Kevin Brandt*,24,0,0,,7.20,6,0,1,0,0,0,10.0,15,8,8,0,8,0,8,1,0,2,50,2.300,13.5,0.0,7.2,7.2,1.00,,0
Cory Burns,26,1,1,.500,2.00,16,0,11,0,0,4,18.0,9,4,4,2,3,0,21,0,0,0,64,0.667,4.5,1.0,1.5,10.5,7.00,,1
Mike Colla,27,7,12,.368,4.38,28,26,0,0,0,0,144.0,174,91,70,11,40,0,118,5,0,13,631,1.486,10.9,0.7,2.5,7.4,2.95,,0
Dylan Floro,23,11,13,.458,3.48,28,28,0,3,2,0,178.2,209,80,69,4,24,0,112,3,2,11,746,1.304,10.5,0.2,1.2,5.6,4.67,,1
Santiago Garrido,24,1,3,.250,3.41,47,0,23,0,0,7,58.0,58,27,22,4,29,0,48,4,0,4,263,1.500,9.0,0.6,4.5,7.4,1.66,,0
Grayson Garvin*,24,1,8,.111,3.77,20,20,0,0,0,0,74.0,76,32,31,5,15,2,60,7,0,1,304,1.230,9.2,0.6,1.8,7.3,4.00,,0
Roberto Gomez,24,2,4,.333,5.97,8,8,0,0,0,0,37.2,51,28,25,2,6,0,21,4,0,7,167,1.513,12.2,0.5,1.4,5.0,3.50,,1
Jeremy Hellickson,27,0,0,,1.50,1,1,0,0,0,0,6.0,5,1,1,0,0,0,11,0,0,0,22,0.833,7.5,0.0,0.0,16.5,,,1
Braulio Lara*,25,2,1,.667,5.01,36,0,17,0,0,3,46.2,49,27,26,2,19,0,46,3,1,5,209,1.457,9.5,0.4,3.7,8.9,2.42,,0
Matt Lollis,23,6,2,.750,4.03,49,0,9,0,0,3,73.2,76,41,33,8,32,3,70,5,1,6,328,1.466,9.3,1.0,3.9,8.6,2.19,,0
Parker Markel,23,0,1,.000,3.78,16,0,3,0,0,0,16.2,17,10,7,0,9,0,14,0,0,0,75,1.560,9.2,0.0,4.9,7.6,1.56,,1
Victor Mateo,24,12,11,.522,3.90,28,28,0,2,0,0,166.0,172,84,72,12,55,1,99,11,1,8,718,1.367,9.3,0.7,3.0,5.4,1.80,,0
Jared Mortensen,26,5,1,.833,5.73,12,9,0,0,0,0,55.0,58,40,35,5,31,0,42,2,0,5,250,1.618,9.5,0.8,5.1,6.9,1.35,,0
Matt Neil,27,1,2,.333,7.40,7,3,1,0,0,0,20.2,34,17,17,3,4,0,19,2,0,0,100,1.839,14.8,1.3,1.7,8.3,4.75,,0
Jim Patterson*,25,4,0,1.000,4.08,35,4,7,0,0,2,64.0,67,29,29,6,12,2,52,2,0,1,268,1.234,9.4,0.8,1.7,7.3,4.33,,0
Matt Ramsey,24,3,0,1.000,1.07,24,0,13,0,0,6,33.2,16,4,4,0,23,1,46,0,0,3,135,1.158,4.3,0.0,6.1,12.3,2.00,,1
Sam Runion,25,0,0,,5.27,9,0,3,0,0,0,13.2,14,11,8,2,6,2,12,1,0,1,61,1.463,9.2,1.3,4.0,7.9,2.00,,0
Angel Sanchez,24,0,1,.000,8.00,2,2,0,0,0,0,9.0,11,8,8,2,2,0,6,0,0,1,40,1.444,11.0,2.0,2.0,6.0,3.00,,1
Bryce Stowell,27,4,2,.667,1.99,38,0,21,0,0,3,49.2,39,16,11,1,20,1,54,1,0,4,204,1.188,7.1,0.2,3.6,9.8,2.70,,0
Albert Suarez,24,3,6,.333,4.34,11,11,0,0,0,0,56.0,67,34,27,4,19,2,32,2,0,1,249,1.536,10.8,0.6,3.1,5.1,1.68,,1
Jake Thompson,24,1,0,1.000,2.08,10,0,3,0,0,1,17.1,18,6,4,1,4,0,14,1,0,0,74,1.269,9.3,0.5,2.1,7.3,3.50,,0
22 Players,24.4,66,74,.471,3.99,140,140,135,5,10,35,1219.1,1304,630,540,80,383,14,985,54,5,74,5259,1.384,9.6,0.6,2.8,7.3,2.57,,0
