Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Austin Adams,23,3,2,.600,3.79,42,0,10,0,0,1,59.1,27,28,25,3,53,0,80,10,2,14,261,1.348,4.1,0.5,8.0,12.1,1.51,,1
Cam Bedrosian,22,0,0,,0.00,5,0,4,0,0,1,5.2,1,0,0,0,2,0,15,0,0,0,20,0.529,1.6,0.0,3.2,23.8,7.50,,1
Greg Billo,23,0,2,.000,14.40,2,2,0,0,0,0,5.0,11,8,8,1,6,0,4,2,0,2,31,3.400,19.8,1.8,10.8,7.2,0.67,,0
Alex Blackford,23,0,0,,7.36,5,0,2,0,0,0,11.0,10,10,9,1,5,1,10,1,0,1,49,1.364,8.2,0.8,4.1,8.2,2.00,,0
Jake Boyd,24,1,2,.333,5.10,27,0,6,0,0,0,47.2,56,29,27,4,17,3,36,1,0,6,211,1.531,10.6,0.8,3.2,6.8,2.12,,0
Yeiper Castillo,25,0,1,.000,9.82,2,1,1,0,0,0,3.2,6,5,4,0,4,0,1,1,0,0,23,2.727,14.7,0.0,9.8,2.5,0.25,,0
Mike Clevinger,23,1,3,.250,5.37,13,13,0,0,0,0,55.1,58,41,33,8,27,0,58,4,0,6,248,1.536,9.4,1.3,4.4,9.4,2.15,,1
Ryan Crowley*,23,0,6,.000,6.07,9,7,0,0,0,0,43.0,63,33,29,7,6,0,23,2,0,6,191,1.605,13.2,1.5,1.3,4.8,3.83,,0
Dane De La Rosa,31,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,0.000,0.0,0.0,0.0,9.0,,,1
Tyler DeLoach*,23,10,4,.714,3.21,21,19,0,0,0,0,112.0,87,46,40,6,49,2,122,16,1,4,479,1.214,7.0,0.5,3.9,9.8,2.49,,0
Jairo Diaz,23,2,3,.400,4.78,29,0,16,0,0,4,32.0,31,18,17,2,10,1,37,1,0,8,140,1.281,8.7,0.6,2.8,10.4,3.70,,1
Trevor Foss,24,3,0,1.000,4.54,11,7,0,0,0,0,41.2,48,26,21,6,11,0,25,3,0,4,182,1.416,10.4,1.3,2.4,5.4,2.27,,0
Grant Gordon,23,0,1,.000,8.71,11,0,5,0,0,0,10.1,18,11,10,3,6,0,6,0,0,6,54,2.323,15.7,2.6,5.2,5.2,1.00,,0
Ray Hanson,24,4,5,.444,4.00,12,12,0,1,1,0,72.0,67,37,32,6,31,0,55,3,0,6,308,1.361,8.4,0.8,3.9,6.9,1.77,,0
Brian Hernandez,25,1,0,1.000,0.00,1,0,0,0,0,0,2.0,1,0,0,0,2,0,2,1,0,0,10,1.500,4.5,0.0,9.0,9.0,1.00,,0
Matt Hernandez*,23,0,0,,7.56,5,0,0,0,0,0,8.1,9,8,7,1,4,1,5,3,0,4,42,1.560,9.7,1.1,4.3,5.4,1.25,,0
Daniel Hurtado,21,0,1,.000,2.45,2,0,1,0,0,0,3.2,2,1,1,1,0,0,8,0,0,0,13,0.545,4.9,2.5,0.0,19.6,,,0
Alex Keudell,24,1,5,.167,10.08,7,7,0,0,0,0,27.2,48,34,31,3,14,1,22,2,0,3,147,2.241,15.6,1.0,4.6,7.2,1.57,,0
Joey Krehbiel,21,0,0,,2.25,4,0,2,0,0,0,4.0,2,2,1,1,1,0,6,0,0,1,16,0.750,4.5,2.3,2.3,13.5,6.00,,1
