Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Connor Bach*,22,1,0,1.000,0.00,1,0,0,0,0,0,2.0,0,0,0,0,1,0,1,0,0,0,8,0.500,0.0,0.0,4.5,4.5,1.00,,0
Joan Baez,19,1,3,.250,3.78,4,3,0,0,0,0,16.2,18,13,7,2,3,0,12,1,0,3,75,1.260,9.7,1.1,1.6,6.5,4.00,,0
James Bourque,20,0,0,,0.00,1,1,0,0,0,0,2.0,1,0,0,0,1,0,2,0,0,0,8,1.000,4.5,0.0,4.5,9.0,2.00,,1
John Costa,21,0,2,.000,11.57,2,2,0,0,0,0,2.1,2,4,3,0,0,0,1,1,0,2,12,0.857,7.7,0.0,0.0,3.9,,,0
Weston Davis,17,0,2,.000,9.92,9,3,1,0,0,0,16.1,20,20,18,1,9,0,11,5,0,3,82,1.776,11.0,0.6,5.0,6.1,1.22,,0
Kida De La Cruz,19,0,0,,4.50,13,0,1,0,0,0,18.0,19,11,9,0,11,1,12,3,0,3,83,1.667,9.5,0.0,5.5,6.0,1.09,,0
Robbie Dickey,20,0,2,.000,12.71,3,2,0,0,0,0,5.2,11,9,8,0,3,0,5,0,0,3,31,2.471,17.5,0.0,4.8,7.9,1.67,,0
Pedro Encarnacion,23,0,0,,6.00,4,4,0,0,0,0,9.0,10,7,6,0,2,0,13,1,0,1,41,1.333,10.0,0.0,2.0,13.0,6.50,,0
Wirkin Estevez,22,0,0,,2.25,3,3,0,0,0,0,8.0,4,2,2,1,0,0,6,0,0,0,28,0.500,4.5,1.1,0.0,6.8,,,0
John Feliz,20,3,1,.750,1.08,10,0,7,0,0,1,16.2,9,4,2,0,3,0,13,0,0,1,60,0.720,4.9,0.0,1.6,7.0,4.33,,0
David Fischer,24,0,0,,4.50,2,0,0,0,0,0,4.0,2,2,2,0,2,0,5,1,0,0,17,1.000,4.5,0.0,4.5,11.3,2.50,,0
DJ Jauss,23,1,0,1.000,6.35,14,0,3,0,0,0,17.0,20,14,12,0,12,0,11,4,0,6,84,1.882,10.6,0.0,6.4,5.8,0.92,,0
Sam Johns,22,0,0,,0.00,1,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,5,0.000,0.0,0.0,0.0,0.0,,,0
Nick Lee*,23,1,0,1.000,6.75,5,0,1,0,0,0,8.0,9,6,6,4,4,0,6,1,0,2,36,1.625,10.1,4.5,4.5,6.8,1.50,,0
Domenick Mancini,20,0,2,.000,3.18,9,0,6,0,0,0,11.1,13,7,4,0,6,0,8,1,0,0,50,1.676,10.3,0.0,4.8,6.4,1.33,,0
Tyler Mapes,22,0,0,,0.00,2,0,1,0,0,0,2.0,1,0,0,0,0,0,2,0,0,0,6,0.500,4.5,0.0,0.0,9.0,,,0
Anderson Martinez,21,2,0,1.000,1.04,5,1,0,0,0,0,17.1,15,2,2,1,1,0,14,2,0,1,64,0.923,7.8,0.5,0.5,7.3,14.00,,0
Ryan Mattheus,30,0,0,,7.71,2,1,0,0,0,0,2.1,3,2,2,0,0,0,4,0,1,0,11,1.286,11.6,0.0,0.0,15.4,,,1
Chase McDowell,23,1,0,1.000,8.31,2,0,1,0,0,0,4.1,5,4,4,1,1,0,4,0,0,1,18,1.385,10.4,2.1,2.1,8.3,4.00,,0
McKenzie Mills*,18,1,2,.333,5.87,10,5,2,0,0,1,23.0,31,18,15,2,18,0,13,2,0,4,117,2.130,12.1,0.8,7.0,5.1,0.72,,0
Jose Morales,19,0,5,.000,4.68,13,3,6,0,0,1,32.2,44,22,17,2,11,0,18,4,0,4,152,1.684,12.1,0.6,3.0,5.0,1.64,,0
Ross Ohlendorf,31,0,0,,5.40,1,1,0,0,0,0,1.2,2,1,1,0,1,0,3,1,0,0,9,1.800,10.8,0.0,5.4,16.2,3.00,,1
Ronald Pena,22,0,0,,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,3,0,0,0,6,0.000,0.0,0.0,0.0,13.5,,,0
Ryan Perry,27,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,0,0,1,4,1.000,9.0,0.0,0.0,9.0,,,1
Cole Plouck*,20,1,1,.500,3.55,8,0,4,0,0,2,12.2,13,5,5,0,4,0,9,2,0,2,55,1.342,9.2,0.0,2.8,6.4,2.25,,0
Omar Poveda,26,0,1,.000,5.40,4,1,0,0,0,0,8.1,11,8,5,0,7,0,8,0,1,3,42,2.160,11.9,0.0,7.6,8.6,1.14,,0
