Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Chris Anderson,22,9,7,.563,4.05,23,23,0,1,0,0,126.2,123,66,57,12,59,3,98,8,1,9,551,1.437,8.7,0.9,4.2,7.0,1.66,,0
Lars Anderson*,27,1,1,.500,6.23,4,0,4,0,0,0,4.1,8,3,3,1,1,0,0,0,0,0,20,2.077,16.6,2.1,2.1,0.0,0.00,,1
Ramon Benjamin*,28,2,2,.500,4.50,24,0,7,0,0,1,26.0,22,15,13,4,16,0,22,0,0,0,111,1.462,7.6,1.4,5.5,7.6,1.38,,0
John Cannon,25,0,0,,9.00,1,0,1,0,0,0,1.0,2,1,1,0,0,0,0,0,0,0,5,2.000,18.0,0.0,0.0,0.0,,,0
Ralston Cash,23,2,6,.250,3.47,49,0,20,0,0,3,57.0,42,24,22,7,27,2,56,1,0,3,234,1.211,6.6,1.1,4.3,8.8,2.07,,0
Daniel Corcino,24,0,0,,9.53,3,2,0,0,0,0,5.2,4,7,6,0,6,0,9,4,0,0,32,1.765,6.4,0.0,9.5,14.3,1.50,,1
Jharel Cotton,23,5,2,.714,2.30,11,8,0,0,0,0,62.2,49,18,16,4,21,0,71,0,0,3,248,1.117,7.0,0.6,3.0,10.2,3.38,,1
Grant Dayton*,27,0,2,.000,2.53,8,0,2,0,0,1,10.2,9,3,3,0,7,2,17,0,0,2,47,1.500,7.6,0.0,5.9,14.3,2.43,,1
Jorge De Leon,27,1,3,.250,3.80,34,0,12,0,0,2,42.2,39,19,18,4,18,1,27,0,0,5,176,1.336,8.2,0.8,3.8,5.7,1.50,,1
Jose De Leon,22,2,6,.250,3.64,16,16,0,1,1,0,76.2,61,35,31,11,29,1,105,2,0,2,317,1.174,7.2,1.3,3.4,12.3,3.62,,1
Ryan Dennick*,28,4,1,.800,2.94,47,0,18,0,0,5,52.0,45,17,17,2,14,3,37,0,0,3,211,1.135,7.8,0.3,2.4,6.4,2.64,,1
Caleb Dirks,22,0,0,,1.35,14,0,2,0,0,0,13.1,7,3,2,0,6,0,17,1,0,1,55,0.975,4.7,0.0,4.1,11.5,2.83,,0
Randy Fontanez,26,1,1,.500,4.97,9,5,0,0,0,0,29.0,27,18,16,4,13,0,23,0,0,0,122,1.379,8.4,1.2,4.0,7.1,1.77,,0
Juan Gonzalez,25,0,0,,0.53,13,0,4,0,0,0,17.0,7,1,1,0,5,1,18,0,2,0,61,0.706,3.7,0.0,2.6,9.5,3.60,,0
Scott Griggs,24,0,0,,4.50,1,0,0,0,0,0,2.0,2,1,1,0,0,0,3,0,0,0,8,1.000,9.0,0.0,0.0,13.5,,,0
Jairo Heredia,25,1,3,.250,3.22,8,3,1,0,0,0,22.1,16,8,8,0,8,0,13,1,1,0,92,1.075,6.4,0.0,3.2,5.2,1.63,,0
Jeremy Horst*,29,0,2,.000,1.64,32,0,17,0,0,9,38.1,38,10,7,4,20,4,42,3,0,0,174,1.513,8.9,0.9,4.7,9.9,2.10,,1
Juan Jaime,27,0,2,.000,3.86,11,0,3,0,0,0,11.2,8,5,5,0,12,0,20,0,0,4,53,1.714,6.2,0.0,9.3,15.4,1.67,,1
Jeremy Kehrt,29,7,8,.467,3.46,22,22,0,1,1,0,119.2,119,55,46,7,27,3,94,0,0,8,502,1.220,8.9,0.5,2.0,7.1,3.48,,0
Fabio Martinez,25,0,0,,11.25,5,0,0,0,0,0,4.0,5,6,5,0,14,0,3,1,0,4,32,4.750,11.3,0.0,31.5,6.8,0.21,,0
Deck McGuire,26,4,2,.667,3.55,18,9,2,0,0,1,71.0,58,28,28,5,19,3,66,0,1,4,281,1.085,7.4,0.6,2.4,8.4,3.47,,1
Rudy Owens*,27,0,1,.000,5.91,2,2,0,0,0,0,10.2,10,8,7,4,1,1,8,0,0,1,44,1.031,8.4,3.4,0.8,6.8,8.00,,1
Joel Peralta,39,0,0,,0.00,3,0,0,0,0,0,3.0,0,0,0,0,0,0,3,0,0,0,9,0.000,0.0,0.0,0.0,9.0,,,1
Chris Reed*,25,2,2,.500,7.23,16,0,4,0,0,1,23.2,22,21,19,2,18,1,16,0,0,3,109,1.690,8.4,0.8,6.8,6.1,0.89,,1
Jacob Rhame,22,3,3,.500,3.06,39,0,7,0,0,2,50.0,34,17,17,5,19,1,57,1,0,1,201,1.060,6.1,0.9,3.4,10.3,3.00,,1
Dustin Richardson*,31,2,0,1.000,2.37,7,4,2,0,0,0,19.0,12,6,5,2,6,0,21,0,0,0,74,0.947,5.7,0.9,2.8,9.9,3.50,,1
Drayton Riekenberg,21,1,0,1.000,2.25,2,0,0,0,0,0,4.0,2,1,1,0,5,0,2,0,0,0,18,1.750,4.5,0.0,11.3,4.5,0.40,,0
Rob Rogers,24,1,1,.500,1.50,2,2,0,0,0,0,6.0,8,6,1,0,2,0,5,0,0,1,28,1.667,12.0,0.0,3.0,7.5,2.50,,0
Matt Shelton,26,1,0,1.000,3.68,4,3,0,0,0,0,14.2,12,6,6,1,8,0,12,1,0,0,62,1.364,7.4,0.6,4.9,7.4,1.50,,0
Blake Smith,27,0,3,.000,1.62,16,0,8,0,0,3,16.2,8,4,3,1,9,2,16,2,0,3,71,1.020,4.3,0.5,4.9,8.6,1.78,,1
Steve Smith,29,0,0,,5.59,3,1,0,0,0,0,9.2,15,9,6,2,5,0,6,0,0,0,45,2.069,14.0,1.9,4.7,5.6,1.20,,0
Mickey Storey,29,1,1,.500,3.47,4,4,0,1,1,0,23.1,21,9,9,5,11,1,16,0,0,0,97,1.371,8.1,1.9,4.2,6.2,1.45,,1
Ross Stripling,25,3,6,.333,3.88,13,13,0,1,0,0,67.1,61,29,29,7,19,0,55,0,0,4,273,1.188,8.2,0.9,2.5,7.4,2.89,,1
Eric Stults*,35,4,4,.500,3.38,10,8,2,1,0,1,53.1,47,25,20,2,15,1,35,2,0,1,224,1.163,7.9,0.3,2.5,5.9,2.33,,1
Mike Thomas*,26,1,1,.500,4.80,26,0,7,0,0,0,30.0,27,16,16,3,16,0,32,2,0,6,131,1.433,8.1,0.9,4.8,9.6,2.00,,0
Daniel Tillman,26,0,0,,3.48,11,0,4,0,0,0,10.1,8,4,4,1,4,0,14,0,0,0,43,1.161,7.0,0.9,3.5,12.2,3.50,,0
Ramon Troncoso,32,0,0,,6.00,2,0,2,0,0,0,3.0,6,2,2,0,1,0,1,0,0,0,16,2.333,18.0,0.0,3.0,3.0,1.00,,1
Chin-hui Tsao,34,0,1,.000,7.20,4,0,2,0,0,2,5.0,2,4,4,1,4,0,8,0,0,0,19,1.200,3.6,1.8,7.2,14.4,2.00,,1
Julio Urias*,18,3,4,.429,2.77,13,13,0,0,0,0,68.1,53,24,21,4,15,0,74,1,1,1,268,0.995,7.0,0.5,2.0,9.7,4.93,,1
P.J. Walters,30,0,1,.000,5.40,1,1,0,0,0,0,5.0,9,6,3,1,2,0,5,0,0,0,26,2.200,16.2,1.8,3.6,9.0,2.50,,1
Matt West,26,1,1,.500,0.56,12,0,2,0,0,0,16.0,8,4,1,0,4,0,17,1,0,2,61,0.750,4.5,0.0,2.3,9.6,4.25,,1
41 Players,25.7,62,77,.446,3.50,139,139,133,6,8,31,1232.2,1056,544,480,106,486,30,1144,31,6,71,5151,1.251,7.7,0.8,3.5,8.4,2.35,,0
