Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Collin Balester,29,0,0,,3.07,8,0,0,0,0,0,14.2,12,6,5,1,5,0,8,0,0,1,63,1.159,7.4,0.6,3.1,4.9,1.60,,1
Yhonathan Barrios,23,1,2,.333,4.60,13,0,8,0,0,1,15.2,19,8,8,0,8,0,9,0,0,1,72,1.723,10.9,0.0,4.6,5.2,1.13,,1
Matt Benedict,26,0,2,.000,4.82,2,2,0,0,0,0,9.1,9,5,5,2,1,0,5,0,0,0,38,1.071,8.7,1.9,1.0,4.8,5.00,,0
Jeremy Bleich*,28,0,0,,2.60,13,0,4,0,0,1,17.1,15,7,5,1,3,0,11,1,0,0,71,1.038,7.8,0.5,1.6,5.7,3.67,,1
Wilfredo Boscan,25,10,3,.769,3.07,25,23,1,0,0,0,126.0,130,53,43,3,45,3,86,7,2,9,547,1.389,9.3,0.2,3.2,6.1,1.91,,1
Kelson Brown,27,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,4,1.000,0.0,0.0,9.0,9.0,1.00,,0
Wilkin Castillo,31,2,0,1.000,4.05,5,0,5,0,0,0,6.2,6,3,3,1,6,1,1,3,0,0,34,1.800,8.1,1.4,8.1,1.4,0.17,,1
Tyler Glasnow,21,2,1,.667,2.20,8,8,0,0,0,0,41.0,33,16,10,1,22,0,48,1,0,2,174,1.341,7.2,0.2,4.8,10.5,2.18,,1
Deolis Guerra,26,2,1,.667,1.23,25,0,9,0,0,4,36.2,21,6,5,1,8,1,37,0,0,3,137,0.791,5.2,0.2,2.0,9.1,4.63,,1
Frank Herrmann,31,1,1,.500,1.50,7,0,3,0,0,0,6.0,3,1,1,0,5,0,6,0,0,0,26,1.333,4.5,0.0,7.5,9.0,1.20,,1
John Holdzkom,27,2,0,1.000,3.22,21,0,9,0,0,2,22.1,16,8,8,0,17,1,27,1,0,3,99,1.478,6.4,0.0,6.9,10.9,1.59,,1
Jeff Inman,27,0,1,.000,2.95,14,0,5,0,0,2,18.1,17,7,6,0,4,1,13,1,0,0,73,1.145,8.3,0.0,2.0,6.4,3.25,,0
Nick Kingham,23,1,2,.333,4.31,6,6,0,0,0,0,31.1,34,16,15,3,7,0,32,2,0,0,136,1.309,9.8,0.9,2.0,9.2,4.57,,1
Bobby LaFromboise*,29,1,2,.333,2.98,54,0,10,0,0,0,54.1,41,18,18,5,21,1,52,0,1,1,222,1.141,6.8,0.8,3.5,8.6,2.48,,1
Charles Leesman*,28,4,1,.800,3.74,10,3,3,0,0,0,21.2,20,15,9,0,14,0,16,0,0,1,100,1.569,8.3,0.0,5.8,6.6,1.14,,1
Brad Lincoln,30,6,2,.750,4.18,39,4,13,0,0,2,60.1,60,32,28,3,41,3,57,4,0,2,277,1.674,9.0,0.4,6.1,8.5,1.39,,1
