Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Tristan Archer,24,3,4,.429,3.42,28,2,14,0,0,1,71.0,80,29,27,1,13,0,63,3,1,6,296,1.310,10.1,0.1,1.6,8.0,4.85,,0
Manny Barreda,26,0,0,,0.00,3,0,1,0,0,0,4.0,2,1,0,0,1,0,3,0,0,0,15,0.750,4.5,0.0,2.3,6.8,3.00,,1
Hiram Burgos,27,2,4,.333,4.12,7,7,0,0,0,0,39.1,34,21,18,1,14,0,47,3,0,0,164,1.220,7.8,0.2,3.2,10.8,3.36,,1
Kaleb Earls,22,1,2,.333,3.15,29,0,19,0,0,6,45.2,42,21,16,4,9,0,27,3,1,4,188,1.117,8.3,0.8,1.8,5.3,3.00,,0
Preston Gainey,24,2,4,.333,2.70,33,0,24,0,0,8,50.0,44,18,15,1,21,0,43,1,0,5,207,1.300,7.9,0.2,3.8,7.7,2.05,,0
Johnny Hellweg,26,1,6,.143,4.89,11,11,0,0,0,0,46.0,43,33,25,2,30,0,28,6,1,8,216,1.587,8.4,0.4,5.9,5.5,0.93,,1
Jim Henderson,32,0,1,.000,4.50,2,1,0,0,0,0,2.0,2,1,1,1,1,0,3,0,0,0,9,1.500,9.0,4.5,4.5,13.5,3.00,,1
Zach Hirsch*,24,1,4,.200,4.89,8,5,2,2,0,1,35.0,47,23,19,3,3,0,17,2,0,2,154,1.429,12.1,0.8,0.8,4.4,5.67,,0
Scott Lieser,25,0,0,,11.42,6,0,4,0,0,0,8.2,15,11,11,0,1,0,7,0,0,3,42,1.846,15.6,0.0,1.0,7.3,7.00,,0
Eric Marzec,27,1,8,.111,5.96,10,10,0,1,0,0,51.1,75,42,34,4,16,1,27,3,0,4,244,1.773,13.1,0.7,2.8,4.7,1.69,,0
Casey Medlen,25,0,3,.000,4.91,10,0,8,0,0,4,11.0,11,8,6,1,9,0,8,0,0,2,54,1.818,9.0,0.8,7.4,6.5,0.89,,0
Jorge Ortega,22,9,9,.500,2.41,22,20,0,6,2,0,141.2,136,47,38,7,11,0,72,3,2,4,569,1.038,8.6,0.4,0.7,4.6,6.55,,0
Stephen Peterson*,27,3,3,.500,3.22,29,0,12,0,0,1,64.1,63,34,23,5,25,2,47,0,0,4,279,1.368,8.8,0.7,3.5,6.6,1.88,,0
Javi Salas,23,8,8,.500,4.13,24,22,1,2,0,0,128.2,142,76,59,7,39,0,82,12,1,6,571,1.407,9.9,0.5,2.7,5.7,2.10,,0
Trevor Seidenberger*,23,4,2,.667,3.06,22,0,10,0,0,5,35.1,25,12,12,1,21,0,37,1,0,2,151,1.302,6.4,0.3,5.3,9.4,1.76,,0
Cy Sneed,22,3,4,.429,2.47,11,11,0,1,0,0,62.0,59,23,17,2,11,0,55,2,0,4,249,1.129,8.6,0.3,1.6,8.0,5.00,,1
Tyler Spurlin,24,2,1,.667,3.05,28,0,14,0,0,2,44.1,50,19,15,0,17,0,28,3,0,5,195,1.511,10.2,0.0,3.5,5.7,1.65,,0
Clint Terry*,23,1,1,.500,2.04,12,4,1,0,0,0,39.2,39,11,9,2,5,0,38,2,2,2,160,1.109,8.8,0.5,1.1,8.6,7.60,,0
Wei-Chung Wang*,23,10,6,.625,3.54,25,25,0,3,0,0,139.2,146,69,55,9,39,0,91,2,1,5,594,1.325,9.4,0.6,2.5,5.9,2.33,,1
Mark Williams,25,0,3,.000,2.43,15,0,10,0,0,2,29.2,30,9,8,2,4,0,34,3,0,2,123,1.146,9.1,0.6,1.2,10.3,8.50,,0
Brandon Woodruff,22,4,7,.364,3.45,21,19,2,0,0,0,109.2,112,48,42,2,33,0,71,3,0,5,457,1.322,9.2,0.2,2.7,5.8,2.15,,1
21 Players,23.8,55,80,.407,3.48,137,137,122,15,7,30,1159.0,1197,556,448,55,323,3,828,52,9,73,4937,1.311,9.3,0.4,2.5,6.4,2.56,,0
