Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Tyler Anderson*,26,1,1,.500,2.12,3,3,0,0,0,0,17.0,15,4,4,1,6,0,13,0,1,2,69,1.235,7.9,0.5,3.2,6.9,2.17,,1
Ryan Arrowood,25,0,1,.000,3.48,6,0,3,0,0,1,10.1,10,4,4,1,4,0,10,0,0,0,45,1.355,8.7,0.9,3.5,8.7,2.50,,0
Christian Bergman,28,3,3,.500,3.66,10,10,0,0,0,0,51.2,52,24,21,8,12,0,33,2,0,1,215,1.239,9.1,1.4,2.1,5.7,2.75,,1
Devin Burke,25,0,0,,0.00,1,0,0,0,0,0,1.0,3,2,0,0,0,0,2,0,0,0,7,3.000,27.0,0.0,0.0,18.0,,,0
Eddie Butler,25,8,3,.727,4.45,15,15,0,1,1,0,89.0,93,47,44,9,26,0,35,0,0,4,380,1.337,9.4,0.9,2.6,3.5,1.35,,1
Matt Carasiti,24,0,0,,0.00,6,0,4,0,0,2,7.0,2,0,0,0,2,0,5,1,0,0,25,0.571,2.6,0.0,2.6,6.4,2.50,,1
Shane Carle,24,5,8,.385,5.42,27,19,1,0,0,0,111.1,147,75,67,9,32,0,88,5,0,2,502,1.608,11.9,0.7,2.6,7.1,2.75,,1
Ryan Carpenter*,25,2,3,.400,7.47,26,8,5,0,0,0,68.2,102,59,57,16,25,1,68,2,2,3,326,1.850,13.4,2.1,3.3,8.9,2.72,,1
Miguel Castro,21,2,3,.400,10.34,16,0,5,0,0,0,15.2,21,18,18,5,7,0,15,1,0,3,72,1.787,12.1,2.9,4.0,8.6,2.14,,1
Simon Castro,28,0,5,.000,3.38,50,0,30,0,0,10,53.1,52,21,20,5,12,0,58,5,1,3,225,1.200,8.8,0.8,2.0,9.8,4.83,,1
Jorge De La Rosa*,35,0,0,,4.30,3,3,0,0,0,0,14.2,14,9,7,0,8,0,11,2,0,1,66,1.500,8.6,0.0,4.9,6.8,1.38,,1
Carlos Estevez,23,1,0,1.000,3.18,5,0,2,0,0,0,5.2,6,2,2,0,3,0,4,0,0,0,26,1.588,9.5,0.0,4.8,6.4,1.33,,1
Yohan Flande*,30,3,3,.500,4.25,18,1,6,0,0,0,42.1,52,22,20,2,14,0,27,0,0,1,185,1.559,11.1,0.4,3.0,5.7,1.93,,1
Matt Flemer,25,6,4,.600,3.74,24,11,1,0,0,0,96.1,96,41,40,12,24,0,63,3,0,1,398,1.246,9.0,1.1,2.2,5.9,2.63,,0
Kyle Freeland*,23,6,3,.667,3.91,12,12,0,0,0,0,73.2,81,36,32,7,19,0,57,1,0,1,308,1.357,9.9,0.9,2.3,7.0,3.00,,1
Gonzalez Germen,28,1,0,1.000,0.66,11,0,5,0,0,3,13.2,11,4,1,0,5,1,16,0,0,1,58,1.171,7.2,0.0,3.3,10.5,3.20,,1
Nelson Gonzalez,26,3,3,.500,5.09,28,0,11,0,0,0,35.1,39,21,20,7,15,2,32,0,0,4,158,1.528,9.9,1.8,3.8,8.2,2.13,,0
Jason Gurka*,28,0,1,.000,1.69,18,0,8,0,0,4,21.1,25,6,4,3,6,2,31,1,0,0,95,1.453,10.5,1.3,2.5,13.1,5.17,,1
David Hale,28,0,1,.000,1.50,2,2,0,0,0,0,6.0,5,1,1,0,2,0,7,0,0,0,25,1.167,7.5,0.0,3.0,10.5,3.50,,1
Carlos Hernandez*,29,0,1,.000,1.20,3,2,0,0,0,0,15.0,19,3,2,0,3,0,13,0,0,0,64,1.467,11.4,0.0,1.8,7.8,4.33,,0
Jeff Hoffman,23,6,9,.400,4.02,22,22,0,0,0,0,118.2,117,60,53,11,44,0,124,7,0,5,512,1.357,8.9,0.8,3.3,9.4,2.82,,1
Austin House,25,2,1,.667,7.56,13,0,4,0,0,0,16.2,25,19,14,3,7,0,15,0,0,2,82,1.920,13.5,1.6,3.8,8.1,2.14,,0
Boone Logan*,31,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,0.000,0.0,0.0,0.0,9.0,,,1
Jordan Lyles,25,4,2,.667,5.44,8,8,0,0,0,0,44.2,57,33,27,5,18,0,29,3,0,2,199,1.679,11.5,1.0,3.6,5.8,1.61,,1
German Marquez,21,2,0,1.000,4.35,5,5,0,0,0,0,31.0,30,15,15,5,6,0,29,0,0,0,124,1.161,8.7,1.5,1.7,8.4,4.83,,1
Pat McCoy*,27,3,1,.750,6.35,22,0,4,0,0,0,22.2,30,17,16,2,16,0,19,1,0,1,107,2.029,11.9,0.8,6.4,7.5,1.19,,1
Justin Miller,29,0,0,,6.75,12,0,2,0,0,0,12.0,15,10,9,0,4,0,8,0,0,0,56,1.583,11.3,0.0,3.0,6.0,2.00,,1
Sam Moll*,24,3,5,.375,4.94,42,0,8,0,0,2,47.1,55,30,26,5,19,1,39,1,1,3,209,1.563,10.5,1.0,3.6,7.4,2.05,,1
Jason Motte,34,0,0,,3.18,6,0,1,0,0,0,5.2,3,2,2,1,3,0,5,0,0,0,21,1.059,4.8,1.6,4.8,7.9,1.67,,1
Harrison Musgrave*,24,8,7,.533,4.30,19,19,0,0,0,0,113.0,118,57,54,17,40,0,79,2,1,2,484,1.398,9.4,1.4,3.2,6.3,1.98,,1
Scott Oberg,26,1,0,1.000,2.43,27,0,22,0,0,9,29.2,16,8,8,1,11,0,36,1,0,3,113,0.910,4.9,0.3,3.3,10.9,3.27,,1
Adam Ottavino,30,0,1,.000,4.76,6,0,0,0,0,0,5.2,2,3,3,1,3,0,6,0,0,0,21,0.882,3.2,1.6,4.8,9.5,2.00,,1
Chad Qualls,37,0,0,,21.60,2,0,0,0,0,0,1.2,4,4,4,1,1,0,2,0,0,0,10,3.000,21.6,5.4,5.4,10.8,2.00,,1
Chris Rusin*,29,0,1,.000,5.79,3,3,0,0,0,0,9.1,13,6,6,1,3,0,11,1,0,0,46,1.714,12.5,1.0,2.9,10.6,3.67,,1
Brian Schlitter,30,1,2,.333,3.64,36,0,20,0,0,8,42.0,42,19,17,2,21,2,43,1,0,4,184,1.500,9.0,0.4,4.5,9.2,2.05,,1
35 Players,26.0,71,72,.497,4.44,143,143,142,1,6,39,1250.0,1372,682,617,140,421,9,1034,40,6,49,5420,1.434,9.9,1.0,3.0,7.4,2.46,,0
