Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Estarlin Arias,22,4,0,1.000,2.15,19,0,10,0,0,6,29.1,22,7,7,1,9,0,27,3,1,3,120,1.057,6.8,0.3,2.8,8.3,3.00,,0
Daniel Castano*,21,2,5,.286,6.19,12,11,0,0,0,0,48.0,63,40,33,6,12,0,34,4,0,7,219,1.563,11.8,1.1,2.3,6.4,2.83,,1
Noel Gonzalez,22,3,1,.750,3.05,18,0,14,0,0,1,20.2,24,11,7,1,11,0,20,0,0,6,99,1.694,10.5,0.4,4.8,8.7,1.82,,0
Jordan Hicks,19,2,1,.667,4.20,6,6,0,0,0,0,30.0,33,20,14,1,13,0,20,5,0,3,132,1.533,9.9,0.3,3.9,6.0,1.54,,1
Julio Mateo,20,1,2,.333,8.03,16,0,3,0,0,0,24.2,26,24,22,7,12,0,23,5,0,1,115,1.541,9.5,2.6,4.4,8.4,1.92,,0
Levi MaVorhis,21,2,0,1.000,3.09,18,1,5,0,0,2,35.0,28,14,12,3,9,0,22,2,0,2,140,1.057,7.2,0.8,2.3,5.7,2.44,,0
Yeison Medina,23,4,2,.667,3.58,18,0,10,0,0,3,32.2,39,23,13,1,10,1,28,3,2,4,155,1.500,10.7,0.3,2.8,7.7,2.80,,0
David Oca*,20,2,3,.400,5.96,10,10,0,0,0,0,45.1,64,43,30,1,19,0,38,4,0,4,224,1.831,12.7,0.2,3.8,7.5,2.00,,0
Ian Oxnevad*,19,5,3,.625,3.38,12,12,0,0,0,0,72.0,80,32,27,7,13,0,57,4,0,3,303,1.292,10.0,0.9,1.6,7.1,4.38,,0
Frederis Parra,21,3,5,.375,2.53,11,10,0,1,0,0,64.0,68,33,18,3,7,0,36,3,0,2,267,1.172,9.6,0.4,1.0,5.1,5.14,,0
Ramon Santos,21,3,3,.500,4.53,13,8,3,0,0,1,49.2,59,38,25,5,20,0,44,2,0,14,236,1.591,10.7,0.9,3.6,8.0,2.20,,0
Austin Sexton,21,0,1,.000,3.32,6,6,0,0,0,0,19.0,19,10,7,1,5,0,13,2,0,1,81,1.263,9.0,0.5,2.4,6.2,2.60,,0
Anthony Shew,22,0,1,.000,6.66,15,1,8,0,0,0,25.2,43,22,19,3,7,0,21,0,0,1,123,1.948,15.1,1.1,2.5,7.4,3.00,,0
Keaton Siomkin,24,2,1,.667,3.60,15,0,5,0,0,0,20.0,19,11,8,0,3,0,26,1,0,2,82,1.100,8.6,0.0,1.4,11.7,8.67,,0
Leland Tilley,24,2,0,1.000,3.09,18,0,8,0,0,4,23.1,25,9,8,0,12,0,25,3,0,4,106,1.586,9.6,0.0,4.6,9.6,2.08,,0
Greg Tomchick,23,1,1,.500,4.15,2,0,0,0,0,0,4.1,5,2,2,0,0,0,4,0,0,1,21,1.154,10.4,0.0,0.0,8.3,,,0
Ross Vance*,24,3,0,1.000,2.48,14,3,1,0,0,0,40.0,34,14,11,2,8,0,54,6,0,3,168,1.050,7.7,0.5,1.8,12.2,6.75,,0
17 Players,21.5,39,29,.574,4.06,68,68,67,1,3,17,583.2,651,353,263,42,170,1,492,47,3,61,2591,1.407,10.0,0.6,2.6,7.6,2.89,,0
