Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Austin Adams,30,0,1,.000,4.15,5,0,3,0,0,1,4.1,5,2,2,0,6,0,4,0,0,0,24,2.538,10.4,0.0,12.5,8.3,0.67,,1
Jose Alvarez*,28,0,0,,2.31,9,0,2,0,0,0,11.2,10,3,3,0,2,0,10,0,0,1,46,1.029,7.7,0.0,1.5,7.7,5.00,,1
Andrew Bailey,33,0,2,.000,8.10,7,0,0,0,0,0,6.2,9,9,6,3,1,0,4,0,0,0,30,1.500,12.2,4.1,1.4,5.4,4.00,,1
Manny Banuelos*,26,5,6,.455,4.93,39,9,3,0,0,0,95.0,107,62,52,4,49,1,85,7,1,8,439,1.642,10.1,0.4,4.6,8.1,1.73,,1
Jaime Barria,20,2,0,1.000,2.45,3,3,0,0,0,0,14.2,11,5,4,0,3,0,13,1,0,0,59,0.955,6.8,0.0,1.8,8.0,4.33,,1
Alex Blackford,26,1,4,.200,9.76,7,5,1,0,0,0,27.2,34,31,30,7,23,0,22,2,0,0,136,2.060,11.1,2.3,7.5,7.2,0.96,,0
Parker Bridwell,25,2,3,.400,4.28,6,5,0,0,0,0,27.1,26,16,13,2,8,0,24,1,0,1,115,1.244,8.6,0.7,2.6,7.9,3.00,,1
Vicente Campos,24,0,2,.000,8.27,6,5,0,0,0,0,16.1,23,16,15,2,12,0,9,2,0,0,80,2.143,12.7,1.1,6.6,5.0,0.75,,1
Abel De Los Santos,24,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,0.000,0.0,0.0,0.0,9.0,,,1
Luis Diaz,25,4,11,.267,5.44,24,18,1,0,0,0,94.1,110,69,57,13,41,0,87,8,2,2,428,1.601,10.5,1.2,3.9,8.3,2.12,,0
Michael Dimock,27,0,0,,4.91,2,0,0,0,0,0,3.2,5,2,2,0,2,0,2,0,0,0,18,1.909,12.3,0.0,4.9,4.9,1.00,,0
Cody Ege*,26,2,2,.500,5.49,26,0,2,0,0,0,39.1,44,28,24,1,14,0,40,3,1,0,168,1.475,10.1,0.2,3.2,9.2,2.86,,1
Doug Fister,33,1,0,1.000,4.02,3,3,0,0,0,0,15.2,16,7,7,0,5,0,10,1,0,2,65,1.340,9.2,0.0,2.9,5.7,2.00,,1
Drew Gagnon,27,1,1,.500,6.25,31,10,5,0,0,0,86.1,95,60,60,6,39,1,83,4,1,18,383,1.552,9.9,0.6,4.1,8.7,2.13,,1
Angel Genao,24,0,0,,9.00,1,0,1,0,0,0,1.0,2,1,1,0,1,0,0,0,0,0,6,3.000,18.0,0.0,9.0,0.0,0.00,,0
Deolis Guerra,28,4,1,.800,1.98,31,0,15,0,0,2,41.0,26,9,9,3,8,0,41,2,0,2,155,0.829,5.7,0.7,1.8,9.0,5.13,,1
Jason Gurka*,29,3,1,.750,2.12,30,0,7,0,0,1,34.0,29,11,8,1,11,0,36,5,0,1,141,1.176,7.7,0.3,2.9,9.5,3.27,,1
Andrew Heaney*,26,1,1,.500,3.12,3,3,0,0,0,0,17.1,17,7,6,2,4,0,14,1,0,0,70,1.212,8.8,1.0,2.1,7.3,3.50,,1
Adam Hofacket,23,0,2,.000,6.75,11,0,4,0,0,0,14.2,20,11,11,2,2,0,9,0,0,1,63,1.500,12.3,1.2,1.2,5.5,4.50,,0
Sean Isaac,24,0,0,,1.69,3,0,1,0,0,0,5.1,4,1,1,1,5,0,5,0,0,0,24,1.688,6.8,1.7,8.4,8.4,1.00,,0
Justin Kelly*,24,0,0,,11.25,2,0,2,0,0,0,4.0,7,5,5,1,1,0,4,0,0,0,19,2.000,15.8,2.3,2.3,9.0,4.00,,0
Alex Klonowski,25,1,1,.500,5.26,5,4,0,0,0,0,25.2,31,15,15,3,5,0,17,0,1,2,110,1.403,10.9,1.1,1.8,6.0,3.40,,0
John Lamb*,26,6,3,.667,5.37,13,13,0,0,0,0,70.1,85,44,42,9,26,0,48,4,0,2,311,1.578,10.9,1.2,3.3,6.1,1.85,,1
Damien Magnifico,26,4,2,.667,6.82,31,0,13,0,0,4,34.1,42,28,26,2,24,0,34,0,1,3,165,1.922,11.0,0.5,6.3,8.9,1.42,,1
Greg Mahle*,24,4,4,.500,8.13,20,1,3,0,0,0,27.2,40,26,25,4,15,2,13,1,1,4,131,1.988,13.0,1.3,4.9,4.2,0.87,,1
Alex Meyer,27,0,1,.000,6.00,5,5,0,0,0,0,24.0,30,17,16,4,9,0,31,1,0,0,109,1.625,11.3,1.5,3.4,11.6,3.44,,1
