Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Stetson Allie,26,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,4,2.000,9.0,0.0,9.0,0.0,0.00,,0
Luis Avilan*,27,0,0,,9.00,2,0,0,0,0,0,2.0,1,2,2,0,1,0,3,1,0,0,9,1.000,4.5,0.0,4.5,13.5,3.00,,1
Pedro Baez,29,0,0,,6.00,3,0,0,0,0,0,3.0,1,2,2,0,1,0,3,0,0,0,11,0.667,3.0,0.0,3.0,9.0,3.00,,1
Scott Barlow,24,1,3,.250,7.24,7,7,0,0,0,0,32.1,37,36,26,6,23,0,36,3,0,3,161,1.856,10.3,1.7,6.4,10.0,1.57,,1
Jeremy Bleich*,30,5,3,.625,3.22,31,0,13,0,0,3,50.1,45,19,18,4,9,2,43,0,0,1,203,1.073,8.0,0.7,1.6,7.7,4.78,,1
Adam Bray,24,0,0,,0.00,1,0,1,0,0,1,3.1,1,0,0,0,0,0,2,0,0,0,10,0.300,2.7,0.0,0.0,5.4,,,0
Joe Broussard,26,4,1,.800,3.57,44,0,12,0,0,3,58.0,57,23,23,7,20,1,67,4,0,2,251,1.328,8.8,1.1,3.1,10.4,3.35,,0
Walker Buehler,22,1,1,.500,4.63,12,3,3,0,0,1,23.1,19,12,12,1,11,0,34,0,1,3,100,1.286,7.3,0.4,4.2,13.1,3.09,,1
Fabio Castillo,28,4,8,.333,4.27,22,16,1,0,0,1,84.1,77,40,40,9,31,1,85,5,0,5,358,1.281,8.2,1.0,3.3,9.1,2.74,,1
Parker Curry,23,0,0,,9.00,1,0,0,0,0,0,2.0,3,2,2,0,2,0,3,0,0,0,10,2.500,13.5,0.0,9.0,13.5,1.50,,0
Grant Dayton*,29,0,1,.000,7.71,5,0,1,0,0,1,4.2,9,4,4,1,1,0,7,0,0,0,24,2.143,17.4,1.9,1.9,13.5,7.00,,1
Luke Farrell,26,0,0,,3.86,1,1,0,0,0,0,4.2,4,3,2,0,2,0,5,0,0,1,21,1.286,7.7,0.0,3.9,9.6,2.50,,1
Josh Fields,31,0,0,,0.00,3,0,1,0,0,0,3.0,1,0,0,0,0,0,3,0,0,0,10,0.333,3.0,0.0,0.0,9.0,,,1
Dylan Floro,26,0,1,.000,5.56,8,0,5,0,0,1,11.1,18,8,7,0,3,0,12,0,0,1,53,1.853,14.3,0.0,2.4,9.5,4.00,,1
