Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Huascar Brazoban,27,0,0,,4.91,13,0,8,0,0,5,14.2,11,8,8,1,9,1,16,2,0,1,66,1.364,6.8,0.6,5.5,9.8,1.78,,0
Logan Cozart,24,4,3,.571,4.48,44,0,12,0,0,1,60.1,76,33,30,5,23,0,61,2,0,3,269,1.641,11.3,0.7,3.4,9.1,2.65,,0
Ty Culbreth*,23,7,1,.875,3.13,12,11,0,0,0,0,69.0,66,27,24,6,16,0,51,6,1,0,282,1.188,8.6,0.8,2.1,6.7,3.19,,0
Jairo Diaz,26,0,0,,9.00,2,0,0,0,0,0,2.0,3,2,2,1,0,0,3,0,0,0,8,1.500,13.5,4.5,0.0,13.5,,,1
Jonny Drozd*,25,0,0,,6.94,10,0,4,0,0,0,11.2,19,13,9,2,2,0,7,0,0,2,54,1.800,14.7,1.5,1.5,5.4,3.50,,0
Brandon Gold,22,4,3,.571,4.40,12,12,0,0,0,0,75.2,97,45,37,10,12,0,50,1,0,2,329,1.441,11.5,1.2,1.4,5.9,4.17,,0
Jon Gray,25,0,0,,0.00,1,1,0,0,0,0,4.0,4,0,0,0,1,0,5,0,0,1,15,1.250,9.0,0.0,2.3,11.3,5.00,,1
Scott Griggs,26,0,3,.000,12.60,10,0,6,0,0,3,10.0,9,15,14,0,15,0,11,0,0,2,52,2.400,8.1,0.0,13.5,9.9,0.73,,0
Alexander Guillen,21,0,6,.000,6.26,46,0,32,0,0,12,54.2,73,39,38,8,26,0,72,2,0,16,260,1.811,12.0,1.3,4.3,11.9,2.77,,0
J.D. Hammer,22,0,1,.000,5.25,12,0,10,0,0,6,12.0,10,7,7,0,9,0,18,1,0,0,54,1.583,7.5,0.0,6.8,13.5,2.00,,1
Heath Holder,24,0,0,,7.36,19,0,4,0,0,0,25.2,31,25,21,2,16,0,25,1,0,8,124,1.831,10.9,0.7,5.6,8.8,1.56,,0
Salvador Justo,22,2,4,.333,9.89,25,0,13,0,0,3,23.2,28,27,26,6,20,0,14,3,0,6,119,2.028,10.6,2.3,7.6,5.3,0.70,,0
Trey Killian,23,11,9,.550,6.34,28,28,0,0,0,0,153.1,191,116,108,27,46,0,130,7,0,9,696,1.546,11.2,1.6,2.7,7.6,2.83,,0
Peter Lambert,20,9,8,.529,4.17,26,26,0,0,0,0,142.1,147,75,66,18,30,0,131,3,0,6,585,1.244,9.3,1.1,1.9,8.3,4.37,,1
Marc Magliaro,27,4,2,.667,5.11,41,0,12,0,0,2,61.2,73,37,35,9,14,0,53,3,0,3,269,1.411,10.7,1.3,2.0,7.7,3.79,,0
Carlos Polanco,23,5,5,.500,6.24,37,5,8,0,0,0,66.1,60,52,46,9,54,0,56,5,2,8,310,1.719,8.1,1.2,7.3,7.6,1.04,,0
Cristian Quintin,23,0,0,,17.28,8,0,1,0,0,0,8.1,14,24,16,4,13,0,8,4,0,4,58,3.240,15.1,4.3,14.0,8.6,0.62,,0
Helmis Rodriguez*,23,4,2,.667,4.21,24,5,4,0,0,1,57.2,54,31,27,7,27,0,36,3,0,3,252,1.405,8.4,1.1,4.2,5.6,1.33,,0
Craig Schlitter,25,10,1,.909,2.50,15,15,0,0,0,0,90.0,82,28,25,4,32,0,62,3,1,3,374,1.267,8.2,0.4,3.2,6.2,1.94,,0
Brad Schreiber,26,2,1,.667,5.06,11,0,4,0,0,0,16.0,12,10,9,3,5,0,19,2,0,4,66,1.063,6.8,1.7,2.8,10.7,3.80,,0
Max Schuh*,25,2,5,.286,5.21,39,0,20,0,0,1,48.1,54,33,28,8,27,0,57,5,0,10,229,1.676,10.1,1.5,5.0,10.6,2.11,,0
Sam Thoele,24,1,1,.500,6.46,11,0,2,0,0,0,15.1,21,11,11,1,7,0,12,3,1,2,74,1.826,12.3,0.6,4.1,7.0,1.71,,0
Jesus Tinoco,22,11,4,.733,4.67,24,24,0,0,0,0,140.2,157,78,73,19,50,0,107,4,0,17,614,1.472,10.0,1.2,3.2,6.8,2.14,,1
Colin Welmon,24,3,2,.600,6.32,13,13,0,0,0,0,72.2,94,54,51,18,20,0,51,2,0,3,328,1.569,11.6,2.2,2.5,6.3,2.55,,0
24 Players,23.3,79,61,.564,5.18,140,140,140,0,9,34,1236.0,1386,790,711,168,474,1,1055,62,5,113,5487,1.505,10.1,1.2,3.5,7.7,2.23,,0
