Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Jason Hammel,34,8,13,.381,5.29,32,32,0,0,0,0,180.1,209,109,106,26,48,2,145,9,1,7,804,85,4.37,1.425,10.4,1.3,2.4,7.2,3.02,1
SP,Jason Vargas*,34,18,11,.621,4.16,32,32,0,1,1,0,179.2,181,84,83,27,58,2,134,5,1,6,756,108,4.67,1.330,9.1,1.4,2.9,6.7,2.31,1
SP,Ian Kennedy,32,5,13,.278,5.38,30,30,0,0,0,0,154.0,143,99,92,34,61,2,131,5,1,4,655,83,5.61,1.325,8.4,2.0,3.6,7.7,2.15,1
SP,Danny Duffy*,28,9,10,.474,3.81,24,24,0,0,0,0,146.1,143,67,62,13,41,0,130,4,2,2,609,117,3.46,1.257,8.8,0.8,2.5,8.0,3.17,1
SP,Jakob Junis,24,9,3,.750,4.30,20,16,1,0,0,0,98.1,101,52,47,15,25,1,80,9,1,3,422,104,4.55,1.281,9.2,1.4,2.3,7.3,3.20,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Kelvin Herrera,27,3,3,.500,4.25,64,0,48,0,0,26,59.1,60,33,28,9,20,2,56,1,0,2,259,106,4.30,1.348,9.1,1.4,3.0,8.5,2.80,1
RP,Mike Minor*,29,6,6,.500,2.55,65,0,13,0,0,6,77.2,57,23,22,5,22,3,88,1,0,5,307,176,2.62,1.017,6.6,0.6,2.5,10.2,4.00,1
RP,Scott Alexander*,27,5,4,.556,2.48,58,0,9,0,0,4,69.0,62,23,19,3,28,0,59,0,0,3,283,181,3.23,1.304,8.1,0.4,3.7,7.7,2.11,1
RP,Peter Moylan,38,0,0,,3.49,79,0,7,0,0,0,59.1,40,26,23,4,25,3,46,5,0,1,243,129,4.00,1.096,6.1,0.6,3.8,7.0,1.84,1
RP,Joakim Soria,33,4,3,.571,3.70,59,0,10,0,0,1,56.0,49,24,23,1,20,2,64,1,0,4,232,121,2.23,1.232,7.9,0.2,3.2,10.3,3.20,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nate Karns,29,2,2,.500,4.17,9,8,0,0,0,0,45.1,41,21,21,9,13,1,51,2,0,2,188,108,4.48,1.191,8.1,1.8,2.6,10.1,3.92,1
,Kevin McCarthy,25,1,0,1.000,3.20,33,0,14,0,0,0,45.0,50,23,16,4,13,0,27,0,0,1,196,141,3.98,1.400,10.0,0.8,2.6,5.4,2.08,1
,Travis Wood*,30,1,3,.250,6.91,28,3,10,0,0,0,41.2,56,33,32,4,20,0,29,1,0,1,195,65,4.53,1.824,12.1,0.9,4.3,6.3,1.45,1
,Matt Strahm*,25,2,5,.286,5.45,24,3,3,0,0,0,34.2,30,22,21,6,22,2,37,3,0,3,154,83,5.44,1.500,7.8,1.6,5.7,9.6,1.68,1
,Chris Young,38,0,0,,7.50,14,2,5,0,0,0,30.0,47,27,25,7,14,2,22,1,0,1,148,60,6.22,2.033,14.1,2.1,4.2,6.6,1.57,1
,Ryan Buchter*,30,1,0,1.000,2.67,29,0,7,0,0,0,27.0,16,10,8,3,8,1,18,3,0,0,107,170,4.49,0.889,5.3,1.0,2.7,6.0,2.25,1
,Trevor Cahill,29,0,0,,8.22,10,3,1,0,0,0,23.0,33,21,21,10,21,0,15,0,0,2,118,55,10.24,2.348,12.9,3.9,8.2,5.9,0.71,1
,Brandon Maurer,26,2,2,.500,8.10,26,0,10,0,0,2,20.0,34,18,18,4,11,1,21,0,0,0,105,56,5.31,2.250,15.3,1.8,5.0,9.5,1.91,1
,Neftali Feliz,29,1,0,1.000,4.74,20,0,10,0,0,0,19.0,17,11,10,1,8,0,16,1,0,1,81,96,3.58,1.316,8.1,0.5,3.8,7.6,2.00,1
,Eric Skoglund*,24,1,2,.333,9.50,7,5,1,0,0,0,18.0,30,20,19,2,12,0,14,0,0,0,93,48,5.05,2.333,15.0,1.0,6.0,7.0,1.17,1
,Sam Gaviglio,27,1,0,1.000,3.00,4,2,0,0,0,0,12.0,13,4,4,1,5,0,9,1,0,0,54,153,4.24,1.500,9.8,0.8,3.8,6.8,1.80,1
,Al Alburquerque,31,0,1,.000,3.60,11,0,5,0,0,0,10.0,7,4,4,0,6,0,9,0,0,0,42,128,3.16,1.300,6.3,0.0,5.4,8.1,1.50,1
,Seth Maness,28,1,0,1.000,3.72,8,0,1,0,0,0,9.2,16,5,4,3,2,0,4,0,0,0,45,124,6.99,1.862,14.9,2.8,1.9,3.7,2.00,1
,Onelki García*,27,0,1,.000,13.50,2,1,0,0,0,0,6.0,12,9,9,2,5,0,2,0,0,0,32,35,9.32,2.833,18.0,3.0,7.5,3.0,0.40,1
,Mike Morin,26,0,0,,7.94,6,0,5,0,0,0,5.2,8,5,5,0,3,0,6,0,0,0,28,60,2.63,1.941,12.7,0.0,4.8,9.5,2.00,1
,Andres Machado,24,0,0,,22.09,2,0,1,0,0,0,3.2,10,9,9,2,3,0,1,0,0,0,24,22,12.16,3.545,24.5,4.9,7.4,2.5,0.33,1
,Luke Farrell,26,0,0,,16.88,1,1,0,0,0,0,2.2,7,5,5,1,3,0,2,0,0,0,18,30,9.91,3.750,23.6,3.4,10.1,6.8,0.67,1
,Brian Flynn*,27,0,0,,3.86,1,0,0,0,0,0,2.1,3,1,1,0,0,0,0,0,0,0,8,133,3.16,1.286,11.6,0.0,0.0,0.0,,1
,Miguel Almonte,24,0,0,,13.50,2,0,0,0,0,0,2.0,5,3,3,0,2,0,0,0,0,0,12,39,6.16,3.500,22.5,0.0,9.0,0.0,0.00,1
,Team Totals,30.3,80,82,.494,4.61,162,162,161,1,1,39,1437.2,1480,791,737,196,519,24,1216,52,6,48,6218,97,4.43,1.390,9.3,1.2,3.2,7.6,2.34,1
,Rank in 15 AL teams,,6,8,,10,,,,8,10,6,10 ,12,10,10,6,9,,10,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
