Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Carlos Martinez,25,12,11,.522,3.64,32,32,0,2,2,0,205.0,179,93,83,27,71,3,217,8,0,9,858,116,3.91,1.220,7.9,1.2,3.1,9.5,3.06,1
SP,Lance Lynn,30,11,8,.579,3.43,33,33,0,0,0,0,186.1,151,80,71,27,78,5,153,10,0,2,776,123,4.82,1.229,7.3,1.3,3.8,7.4,1.96,1
SP,Michael Wacha,25,12,9,.571,4.13,30,30,0,1,1,0,165.2,170,82,76,17,55,3,158,3,0,5,701,102,3.63,1.358,9.2,0.9,3.0,8.6,2.87,1
SP,Mike Leake,29,7,12,.368,4.21,26,26,0,0,0,0,154.0,169,83,72,19,35,3,103,7,0,2,654,100,4.24,1.325,9.9,1.1,2.0,6.0,2.94,1
SP,Adam Wainwright,35,12,5,.706,5.11,24,23,0,0,0,0,123.1,140,73,70,14,45,4,96,5,0,2,546,83,4.29,1.500,10.2,1.0,3.3,7.0,2.13,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Seunghwan Oh,34,1,6,.143,4.10,62,0,38,0,0,20,59.1,68,31,27,10,15,9,54,3,0,1,264,103,4.44,1.399,10.3,1.5,2.3,8.2,3.60,1
RP,Brett Cecil*,30,2,4,.333,3.88,73,0,12,0,0,1,67.1,67,31,29,7,16,3,66,0,0,3,277,109,3.26,1.233,9.0,0.9,2.1,8.8,4.13,1
RP,Matt Bowman,26,3,6,.333,3.99,75,0,10,0,0,2,58.2,52,29,26,4,18,2,46,5,0,1,247,106,3.65,1.193,8.0,0.6,2.8,7.1,2.56,1
RP,Tyler Lyons*,29,4,1,.800,2.83,50,0,12,0,0,3,54.0,39,17,17,3,20,2,68,7,0,1,220,150,2.86,1.093,6.5,0.5,3.3,11.3,3.40,1
RP,John Brebbia,27,0,0,,2.44,50,0,13,0,0,0,51.2,37,15,14,8,11,3,51,5,0,2,209,174,4.13,0.929,6.4,1.4,1.9,8.9,4.64,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luke Weaver,23,7,2,.778,3.88,13,10,0,0,0,0,60.1,59,27,26,7,17,1,72,1,0,0,252,109,3.17,1.260,8.8,1.0,2.5,10.7,4.24,1
,Trevor Rosenthal,27,3,4,.429,3.40,50,0,16,0,0,11,47.2,37,20,18,3,20,0,76,2,0,2,202,125,2.17,1.196,7.0,0.6,3.8,14.3,3.80,1
,Sam Tuivailala,24,3,3,.500,2.55,37,0,19,0,0,0,42.1,35,12,12,4,11,3,34,2,0,2,171,166,3.70,1.087,7.4,0.9,2.3,7.2,3.09,1
,Kevin Siegrist*,27,1,1,.500,4.98,39,0,7,0,0,1,34.1,35,19,19,4,20,2,36,1,0,2,151,85,4.41,1.602,9.2,1.0,5.2,9.4,1.80,1
,Jack Flaherty,21,0,2,.000,6.33,6,5,0,0,0,0,21.1,23,15,15,4,10,1,20,1,0,0,94,68,5.27,1.547,9.7,1.7,4.2,8.4,2.00,1
,Miguel Socolovich,30,0,1,.000,8.68,15,0,7,0,0,1,18.2,27,20,18,4,4,0,14,2,0,0,87,49,5.41,1.661,13.0,1.9,1.9,6.8,3.50,1
,Zach Duke*,34,1,1,.500,3.93,27,0,1,0,0,0,18.1,13,8,8,3,6,2,12,2,0,2,74,109,5.29,1.036,6.4,1.5,2.9,5.9,2.00,1
,John Gant,24,0,1,.000,4.67,7,2,1,0,0,0,17.1,17,9,9,4,10,1,11,1,0,0,76,92,6.79,1.558,8.8,2.1,5.2,5.7,1.10,1
,Jonathan Broxton,33,0,1,.000,6.89,20,0,8,0,0,0,15.2,23,12,12,2,11,2,16,0,0,1,78,62,4.88,2.170,13.2,1.1,6.3,9.2,1.45,1
,Ryan Sherriff*,27,2,1,.667,3.14,13,0,2,0,0,0,14.1,13,5,5,2,4,0,15,1,0,0,60,138,3.93,1.186,8.2,1.3,2.5,9.4,3.75,1
,Juan Nicasio,30,2,0,1.000,1.64,9,0,7,0,0,4,11.0,9,2,2,1,2,0,11,0,0,0,44,266,2.89,1.000,7.4,0.8,1.6,9.0,5.50,1
,Sandy Alcantara,21,0,0,,4.32,8,0,3,0,0,0,8.1,9,6,4,2,6,0,10,0,0,0,39,102,6.04,1.800,9.7,2.2,6.5,10.8,1.67,1
,Josh Lucas,26,0,0,,3.68,5,0,2,0,0,0,7.1,7,3,3,2,4,0,7,1,0,1,32,120,6.84,1.500,8.6,2.5,4.9,8.6,1.75,1
,Mike Mayers,25,0,0,,11.57,3,0,1,0,0,0,4.2,8,8,6,2,4,1,3,0,0,0,25,39,10.02,2.571,15.4,3.9,7.7,5.8,0.75,1
,Marco Gonzales*,25,0,0,,13.50,1,1,0,0,0,0,3.1,6,5,5,3,0,0,2,0,0,0,16,35,13.66,1.800,16.2,8.1,0.0,5.4,,1
,Team Totals,28.0,83,79,.512,4.01,162,162,159,3,3,43,1450.1,1393,705,646,183,493,50,1351,67,0,38,6153,106,4.09,1.300,8.6,1.1,3.1,8.4,2.74,1
,Rank in 15 NL teams,,7,9,,6,,,,1,2,6,2 ,6,6,6,4,2,,6,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
