Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Chris Archer,28,10,12,.455,4.07,34,34,0,0,0,0,201.0,193,101,91,27,60,0,249,5,0,15,852,103,3.40,1.259,8.6,1.2,2.7,11.1,4.15,1
SP,Alex Cobb,29,12,10,.545,3.66,29,29,0,0,0,0,179.1,175,78,73,22,44,2,128,6,1,8,742,115,4.16,1.221,8.8,1.1,2.2,6.4,2.91,1
SP,Jake Odorizzi,27,10,8,.556,4.14,28,28,0,0,0,0,143.1,117,80,66,30,61,1,127,2,0,1,604,102,5.43,1.242,7.3,1.9,3.8,8.0,2.08,1
SP,Blake Snell*,24,5,7,.417,4.04,24,24,0,0,0,0,129.1,113,65,58,15,59,1,119,0,0,8,547,104,4.19,1.330,7.9,1.0,4.1,8.3,2.02,1
SP,Jake Faria,23,5,4,.556,3.43,16,14,1,0,0,0,86.2,71,35,33,11,31,0,84,5,0,6,357,123,4.12,1.177,7.4,1.1,3.2,8.7,2.71,1
SP,Matt Andriese,27,5,5,.500,4.50,18,17,1,0,0,1,86.0,90,48,43,16,28,1,76,4,2,3,374,94,4.93,1.372,9.4,1.7,2.9,8.0,2.71,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Alex Colome,28,2,3,.400,3.24,65,0,53,0,0,47,66.2,57,27,24,4,23,7,58,3,0,4,281,130,3.37,1.200,7.7,0.5,3.1,7.8,2.52,1
RP,Tommy Hunter,30,3,5,.375,2.61,61,0,11,0,0,1,58.2,43,18,17,6,14,0,64,1,0,2,228,162,3.07,0.972,6.6,0.9,2.1,9.8,4.57,1
RP,Chase Whitley,28,2,1,.667,4.08,41,0,12,0,0,2,57.1,48,29,26,4,16,2,43,3,0,2,238,104,3.56,1.116,7.5,0.6,2.5,6.8,2.69,1
RP,Danny Farquhar,30,2,2,.500,4.11,37,0,17,0,0,0,35.0,28,16,16,2,22,4,33,4,0,4,154,103,4.24,1.429,7.2,0.5,5.7,8.5,1.50,1
RP,Jose Alvarado*,22,0,3,.000,3.64,35,0,6,0,0,0,29.2,24,12,12,1,9,1,29,0,0,2,123,117,2.55,1.112,7.3,0.3,2.7,8.8,3.22,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Austin Pruitt,27,7,5,.583,5.31,30,8,7,0,0,1,83.0,103,55,49,11,22,2,66,5,0,4,371,79,4.27,1.506,11.2,1.2,2.4,7.2,3.00,1
,Erasmo Ramirez,27,4,3,.571,4.80,26,8,4,0,0,1,69.1,66,39,37,10,16,1,55,1,0,1,282,88,4.18,1.183,8.6,1.3,2.1,7.1,3.44,1
,Sergio Romo,34,2,0,1.000,1.47,25,0,4,0,0,0,30.2,19,6,5,2,7,1,28,1,0,2,116,290,2.96,0.848,5.6,0.6,2.1,8.2,4.00,1
,Jumbo Diaz,33,1,4,.200,5.70,31,0,5,0,0,0,30.0,32,20,19,4,15,2,28,0,0,4,136,75,4.52,1.567,9.6,1.2,4.5,8.4,1.87,1
,Brad Boxberger,29,4,4,.500,3.38,30,0,10,0,0,0,29.1,23,11,11,4,11,3,40,1,0,1,121,126,3.43,1.159,7.1,1.2,3.4,12.3,3.64,1
,Steve Cishek,31,2,1,.667,1.09,26,0,3,0,0,0,24.2,13,3,3,0,7,0,26,2,0,2,94,389,2.14,0.811,4.7,0.0,2.6,9.5,3.71,1
,Ryne Stanek,25,0,0,,5.85,21,0,4,0,0,0,20.0,26,13,13,6,12,2,29,0,0,4,95,73,5.96,1.900,11.7,2.7,5.4,13.1,2.42,1
,Dan Jennings*,30,0,0,,3.44,29,0,4,0,0,0,18.1,18,7,7,2,12,3,13,0,0,3,82,125,5.12,1.636,8.8,1.0,5.9,6.4,1.08,1
,Andrew Kittredge,27,0,1,.000,1.76,15,0,2,0,0,0,15.1,13,4,3,2,6,1,14,0,0,1,66,244,4.20,1.239,7.6,1.2,3.5,8.2,2.33,1
,Ryan Garton,27,0,1,.000,8.71,7,0,3,0,0,0,10.1,13,10,10,3,5,0,9,0,0,2,48,50,6.64,1.742,11.3,2.6,4.4,7.8,1.80,1
