Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Horacio Acosta,26,1,0,1.000,2.35,3,0,1,0,0,0,7.2,8,4,2,0,3,0,4,0,0,1,32,1.435,9.4,0.0,3.5,4.7,1.33,,0
Vincenzo Aiello,22,1,1,.500,2.33,13,0,8,0,0,4,19.1,15,7,5,2,6,0,31,0,0,3,80,1.086,7.0,0.9,2.8,14.4,5.17,,0
Josh Alberius,23,1,1,.500,10.03,8,0,3,0,0,0,11.2,23,15,13,3,6,1,8,1,0,2,65,2.486,17.7,2.3,4.6,6.2,1.33,,0
Nestor Bautista*,25,1,1,.500,6.75,5,0,3,0,0,0,6.2,9,5,5,0,4,1,5,1,0,1,33,1.950,12.2,0.0,5.4,6.8,1.25,,0
Taylor Braley,21,1,2,.333,2.79,7,3,1,0,0,0,19.1,12,8,6,0,5,0,21,0,0,3,79,0.879,5.6,0.0,2.3,9.8,4.20,,0
Edward Cabrera,19,1,3,.250,5.30,13,6,1,0,0,0,35.2,42,27,21,1,8,0,32,7,1,7,165,1.402,10.6,0.3,2.0,8.1,4.00,,1
Eliezer Cuello,20,0,1,.000,27.00,2,0,0,0,0,0,1.0,4,8,3,2,1,0,0,1,0,0,11,5.000,36.0,18.0,9.0,0.0,0.00,,0
Tyler Frohwirth,23,0,1,.000,3.94,14,0,6,0,0,0,16.0,18,12,7,1,4,0,16,0,0,2,73,1.375,10.1,0.6,2.3,9.0,4.00,,0
Javier Garcia,19,0,0,,9.00,2,0,0,0,0,0,3.0,5,3,3,0,2,0,4,0,0,2,16,2.333,15.0,0.0,6.0,12.0,2.00,,0
Sean Guenther*,21,1,4,.200,3.83,9,9,0,0,0,0,40.0,43,18,17,3,4,0,33,3,0,2,167,1.175,9.7,0.7,0.9,7.4,8.25,,1
Alberto Guerrero,19,0,0,,7.88,6,1,0,0,0,0,8.0,10,7,7,1,5,0,10,2,0,5,42,1.875,11.3,1.1,5.6,11.3,2.00,,0
Osman Gutierrez,22,1,1,.500,3.18,3,3,0,0,0,0,17.0,15,6,6,3,3,0,18,4,0,3,72,1.059,7.9,1.6,1.6,9.5,6.00,,0
Colton Hock,21,1,3,.250,6.62,7,1,2,0,0,0,17.2,22,14,13,2,12,0,13,1,0,1,85,1.925,11.2,1.0,6.1,6.6,1.08,,0
Bryce Howe,21,0,0,,0.00,2,0,2,0,0,0,2.0,1,0,0,0,0,0,1,0,0,0,7,0.500,4.5,0.0,0.0,4.5,,,0
Kenny Koplove,23,3,2,.600,4.15,16,0,6,0,0,1,17.1,16,12,8,0,12,0,23,2,0,4,83,1.615,8.3,0.0,6.2,11.9,1.92,,0
Ryan Lillie,21,0,5,.000,4.35,9,7,1,0,0,0,31.0,34,22,15,1,5,0,27,1,1,5,137,1.258,9.9,0.3,1.5,7.8,5.40,,0
Alejandro Mateo,23,3,4,.429,3.86,15,15,0,0,0,0,74.2,82,40,32,5,14,0,79,4,4,4,320,1.286,9.9,0.6,1.7,9.5,5.64,,0
Henry McAree,23,0,0,,0.00,2,0,0,0,0,0,4.0,2,0,0,0,1,0,7,0,0,1,15,0.750,4.5,0.0,2.3,15.8,7.00,,0
Ryan McKay,20,1,1,.500,4.50,17,0,3,0,0,1,30.0,31,22,15,2,11,0,18,3,0,5,137,1.400,9.3,0.6,3.3,5.4,1.64,,0
Travis Neubeck,22,0,2,.000,5.40,18,0,5,0,0,1,25.0,32,17,15,2,8,0,17,1,0,1,116,1.600,11.5,0.7,2.9,6.1,2.13,,0
Jeremy Ovalle,20,1,0,1.000,4.44,16,0,5,0,0,0,24.1,28,14,12,2,12,0,27,3,0,3,117,1.644,10.4,0.7,4.4,10.0,2.25,,0
R.J. Peace,20,0,1,.000,2.84,14,0,7,0,0,2,31.2,23,11,10,0,13,0,34,6,1,4,133,1.137,6.5,0.0,3.7,9.7,2.62,,0
Sam Perez,22,4,2,.667,2.21,14,14,0,0,0,0,77.1,69,20,19,3,13,0,53,3,1,4,306,1.060,8.0,0.3,1.5,6.2,4.08,,0
Brady Puckett,21,0,0,,4.50,1,0,0,0,0,0,2.0,2,1,1,1,0,0,3,0,0,0,8,1.000,9.0,4.5,0.0,13.5,,,0
Remey Reed,22,3,4,.429,4.44,15,11,0,1,0,0,50.2,48,28,25,5,17,0,47,3,0,4,219,1.283,8.5,0.9,3.0,8.3,2.76,,0
Manuel Rodriguez*,20,1,2,.333,9.00,9,3,1,0,0,0,17.0,23,19,17,2,8,0,18,1,1,2,82,1.824,12.2,1.1,4.2,9.5,2.25,,0
Shane Sawczak*,21,3,1,.750,3.25,17,0,6,0,0,0,27.2,22,11,10,1,21,0,30,1,0,2,121,1.554,7.2,0.3,6.8,9.8,1.43,,0
Hunter Wells,22,0,2,.000,2.35,2,2,0,0,0,0,7.2,9,5,2,1,1,0,7,1,0,0,35,1.304,10.6,1.2,1.2,8.2,7.00,,0
Brent Wheatley,23,2,1,.667,4.44,16,0,13,0,0,5,24.1,19,14,12,1,15,1,25,4,0,3,108,1.397,7.0,0.4,5.5,9.2,1.67,,0
29 Players,21.5,30,45,.400,4.16,75,75,74,1,4,14,649.2,667,370,300,44,214,3,611,53,9,74,2864,1.356,9.2,0.6,3.0,8.5,2.86,,0
