Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Petru Balan*,23,1,0,1.000,9.28,8,0,2,0,0,0,10.2,12,11,11,0,8,0,15,1,0,1,51,1.875,10.1,0.0,6.8,12.7,1.88,,0
Tyler Beck,23,0,2,.000,5.27,9,0,6,0,0,0,13.2,16,9,8,0,6,0,23,0,0,6,64,1.610,10.5,0.0,4.0,15.1,3.83,,0
Donny Breek,19,1,2,.333,0.74,10,7,1,0,0,0,36.1,21,10,3,0,19,0,38,6,1,2,153,1.101,5.2,0.0,4.7,9.4,2.00,,0
Yennier Cano,25,0,0,,13.50,2,0,0,0,0,0,2.0,1,4,3,0,4,0,2,0,0,0,11,2.500,4.5,0.0,18.0,9.0,0.50,,0
Matt Canterino,21,0,0,,1.80,2,2,0,0,0,0,5.0,2,1,1,0,1,0,6,0,0,0,18,0.600,3.6,0.0,1.8,10.8,6.00,,0
Dakota Chalmers,22,1,0,1.000,4.05,4,4,0,0,0,0,13.1,8,7,6,0,8,0,19,2,0,0,54,1.200,5.4,0.0,5.4,12.8,2.38,,0
Anthony Escobar,18,5,2,.714,3.83,11,6,2,0,0,0,42.1,33,18,18,3,13,0,37,2,2,3,167,1.087,7.0,0.6,2.8,7.9,2.85,,0
Evan Gillespie*,24,3,1,.750,2.16,12,1,8,0,0,2,16.2,14,5,4,2,4,0,18,0,0,2,67,1.080,7.6,1.1,2.2,9.7,4.50,,0
Stephen Gonsalves*,24,0,1,.000,2.00,5,5,0,0,0,0,9.0,6,2,2,2,0,0,16,0,0,1,33,0.667,6.0,2.0,0.0,16.0,,,1
Jordan Gore,24,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,3,0,2,0,0,1,5,4.500,0.0,0.0,40.5,27.0,0.67,,0
Regi Grace,19,1,2,.333,5.14,6,5,0,0,0,0,21.0,23,14,12,1,9,0,24,2,0,6,100,1.524,9.9,0.4,3.9,10.3,2.67,,0
Brusdar Graterol,20,0,0,,0.00,2,2,0,0,0,0,3.0,1,0,0,0,0,0,4,0,0,0,9,0.333,3.0,0.0,0.0,12.0,,,1
Jose Guevara,20,1,1,.500,2.79,13,0,8,0,0,2,19.1,17,7,6,0,13,0,21,0,2,1,86,1.552,7.9,0.0,6.1,9.8,1.62,,0
Bradley Hanner,20,2,3,.400,4.39,11,0,6,0,0,1,26.2,16,14,13,1,12,0,30,4,0,6,108,1.050,5.4,0.3,4.1,10.1,2.50,,0
Trevor Hildenberger,28,0,0,,2.25,3,0,0,0,0,0,4.0,4,1,1,0,0,0,4,0,0,0,17,1.000,9.0,0.0,0.0,9.0,,,1
Jovani Moran*,22,0,0,,0.00,3,0,0,0,0,0,3.1,2,0,0,0,2,0,5,0,0,0,14,1.200,5.4,0.0,5.4,13.5,2.50,,1
Danny Moreno,19,1,0,1.000,0.00,2,0,0,0,0,0,2.0,2,0,0,0,0,0,1,1,0,0,8,1.000,9.0,0.0,0.0,4.5,,,0
Junior Navas,19,1,1,.500,6.75,12,0,2,0,0,0,21.1,23,17,16,2,13,0,23,5,0,2,101,1.688,9.7,0.8,5.5,9.7,1.77,,0
Bailey Ober,23,1,0,1.000,0.00,2,1,0,0,0,0,9.0,6,2,0,0,1,0,13,1,0,1,36,0.778,6.0,0.0,1.0,13.0,13.00,,1
Rickey Ramirez,22,0,0,,0.00,2,0,0,0,0,0,3.0,2,0,0,0,1,0,5,0,0,2,12,1.000,6.0,0.0,3.0,15.0,5.00,,0
Williams Ramirez,26,0,0,,0.00,4,0,0,0,0,0,5.0,1,0,0,0,1,0,8,0,0,0,18,0.400,1.8,0.0,1.8,14.4,8.00,,0
Rogelio Reyes,21,1,0,1.000,7.11,4,0,1,0,0,0,6.1,8,7,5,0,5,0,9,1,0,2,34,2.053,11.4,0.0,7.1,12.8,1.80,,0
Niklas Rimmel,19,3,1,.750,2.15,9,7,2,0,0,0,37.2,30,11,9,1,8,0,34,1,0,7,149,1.009,7.2,0.2,1.9,8.1,4.25,,0
Miguel Rodriguez,20,2,2,.500,2.48,9,5,1,0,0,0,32.2,29,10,9,1,11,0,39,1,0,1,136,1.224,8.0,0.3,3.0,10.7,3.55,,0
Matthew Swain,21,1,0,1.000,4.66,11,2,5,0,0,3,19.1,22,13,10,1,10,0,21,1,0,2,90,1.655,10.2,0.5,4.7,9.8,2.10,,0
Steve Theetge*,22,3,0,1.000,3.09,8,1,5,0,0,1,11.2,12,5,4,0,2,0,9,0,0,0,47,1.200,9.3,0.0,1.5,6.9,4.50,,0
Jesus Toledo*,19,2,1,.667,4.18,10,2,2,0,0,0,23.2,22,14,11,1,12,0,27,3,1,1,105,1.437,8.4,0.4,4.6,10.3,2.25,,0
Andrew Vasquez*,25,0,0,,0.00,1,0,0,0,0,0,2.0,0,0,0,0,1,0,6,0,0,1,8,0.500,0.0,0.0,4.5,27.0,6.00,,1
Lachlan Wells*,22,0,1,.000,5.40,1,1,0,0,0,0,5.0,6,3,3,0,0,0,9,2,0,0,24,1.200,10.8,0.0,0.0,16.2,,,0
Niall Windeler*,20,0,1,.000,4.91,10,0,0,0,0,0,14.2,20,14,8,0,5,0,15,2,1,1,73,1.705,12.3,0.0,3.1,9.2,3.00,,0
30 Players,20.8,30,21,.588,3.47,51,51,51,0,5,9,420.1,359,199,162,15,172,0,483,35,7,49,1798,1.263,7.7,0.3,3.7,10.3,2.81,,0
