Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,MLB
Felipe Acosta,19,3,2,.600,7.49,16,0,0,0,0,1,33.2,40,34,28,9,16,0,28,4,1,6,161,1.663,10.7,2.4,4.3,7.5,1.75,,0
Luis Alvarez,19,3,1,.750,2.36,14,0,2,0,0,1,26.2,21,10,7,1,7,0,17,2,1,2,110,1.050,7.1,0.3,2.4,5.7,2.43,,0
Elixon Caballero,18,0,0,,2.70,1,1,0,0,0,0,3.1,1,1,1,1,0,0,2,0,0,0,11,0.300,2.7,2.7,0.0,5.4,,,0
Felipe Castaneda,19,3,4,.429,5.10,11,10,0,0,0,0,47.2,48,30,27,3,26,0,41,7,0,5,213,1.552,9.1,0.6,4.9,7.7,1.58,,0
Jol Concepcion,20,2,3,.400,3.18,9,9,0,0,0,0,34.0,35,15,12,3,9,0,31,1,0,2,147,1.294,9.3,0.8,2.4,8.2,3.44,,0
Adams Cuevas,23,2,2,.500,3.45,12,0,7,0,0,1,31.1,29,16,12,5,9,1,42,2,0,5,138,1.213,8.3,1.4,2.6,12.1,4.67,,0
Juan De Paula,21,0,0,,0.00,1,1,0,0,0,0,4.0,1,0,0,0,2,0,3,0,0,0,15,0.750,2.3,0.0,4.5,6.8,1.50,,0
Jared DiCesare,21,2,1,.667,3.60,4,2,0,0,0,0,15.0,15,6,6,0,0,0,12,0,0,1,57,1.000,9.0,0.0,0.0,7.2,,,0
Lazaro Estrada,20,2,3,.400,5.85,11,9,0,0,0,0,47.2,58,37,31,9,10,0,39,5,0,7,215,1.427,11.0,1.7,1.9,7.4,3.90,,0
Austin Havekost,22,2,0,1.000,0.60,10,0,9,0,0,2,15.0,8,5,1,0,4,0,17,1,0,5,61,0.800,4.8,0.0,2.4,10.2,4.25,,0
Roither Hernandez,21,4,4,.500,5.56,12,12,0,0,0,0,43.2,48,42,27,3,21,0,42,6,0,7,208,1.580,9.9,0.6,4.3,8.7,2.00,,0
Yunior Hinojosa,19,1,1,.500,5.10,17,0,9,0,0,3,30.0,28,24,17,2,15,0,27,2,0,4,134,1.433,8.4,0.6,4.5,8.1,1.80,,0
Kyle Huckaby*,23,1,1,.500,5.11,18,0,15,0,0,3,24.2,22,14,14,2,11,3,25,3,0,1,107,1.338,8.0,0.7,4.0,9.1,2.27,,0
Ronald Magdaniel,22,0,0,,10.80,2,0,0,0,0,0,1.2,3,4,2,0,4,0,1,0,0,0,12,4.200,16.2,0.0,21.6,5.4,0.25,,0
Andrew McInvale,22,1,0,1.000,6.23,3,0,0,0,0,0,8.2,12,6,6,1,5,0,8,1,0,2,41,1.962,12.5,1.0,5.2,8.3,1.60,,0
Alejandro Melean,18,1,1,.500,5.57,7,6,0,0,0,0,21.0,20,18,13,2,15,0,25,2,0,2,99,1.667,8.6,0.9,6.4,10.7,1.67,,0
Aldo Ovando,22,1,5,.167,8.89,18,0,9,0,0,1,26.1,34,31,26,3,17,2,18,3,1,1,129,1.937,11.6,1.0,5.8,6.2,1.06,,0
Naswell Paulino*,19,1,1,.500,4.05,11,5,4,0,0,2,40.0,48,24,18,4,17,0,34,3,0,6,189,1.625,10.8,0.9,3.8,7.7,2.00,,0
Luis Quinones,21,0,0,,2.84,2,0,1,0,0,1,6.1,1,2,2,0,2,0,10,0,0,0,22,0.474,1.4,0.0,2.8,14.2,5.00,,0
Gaudy Ramirez,21,1,1,.500,10.64,8,1,1,0,0,0,11.0,16,18,13,4,11,0,15,1,3,1,62,2.455,13.1,3.3,9.0,12.3,1.36,,0
Meliton Reyes,21,0,1,.000,4.93,17,0,7,0,0,1,34.2,41,29,19,6,7,0,16,4,0,2,150,1.385,10.6,1.6,1.8,4.2,2.29,,0
Jimmy Robbins*,21,0,2,.000,4.50,4,3,0,0,0,0,12.0,16,12,6,1,3,0,14,3,0,0,57,1.583,12.0,0.8,2.3,10.5,4.67,,0
Sam Ryan,20,1,3,.250,6.31,11,8,1,0,0,0,41.1,57,38,29,4,8,0,35,4,0,1,191,1.573,12.4,0.9,1.7,7.6,4.38,,0
Julian Valdez,20,0,0,,1.19,9,0,2,0,0,0,22.2,8,3,3,2,7,0,17,2,0,1,83,0.662,3.2,0.8,2.8,6.8,2.43,,0
24 Players,20.4,31,36,.463,4.88,67,67,67,0,3,16,582.1,610,419,316,65,226,6,519,56,6,61,2612,1.436,9.4,1.0,3.5,8.0,2.30,,0
