year,exit,observed,pct
1,TRUE,TRUE,0.3027853525516167
1,TRUE,FALSE,0.32181538038739016
2,TRUE,TRUE,0.09115699259836385
2,TRUE,FALSE,0.013659975476540463
3,TRUE,TRUE,0.017043241137514608
3,TRUE,FALSE,7.827306193240274e-5
4,TRUE,TRUE,0.0010712894429294898
4,TRUE,FALSE,1.902055602751644e-7
5,TRUE,TRUE,9.738994935722633e-5
5,TRUE,FALSE,3.630938325826488e-10
6,TRUE,TRUE,9.738994935722633e-5
6,TRUE,FALSE,6.526559784999208e-13
7,TRUE,TRUE,0
7,TRUE,FALSE,1.1561987440985424e-15
8,TRUE,TRUE,0
8,TRUE,FALSE,2.0411021938278923e-18
9,TRUE,TRUE,0
9,TRUE,FALSE,3.600260227082653e-21
10,TRUE,TRUE,0
10,TRUE,FALSE,6.349157430393832e-24
1,FALSE,TRUE,0.4964939618231399
1,FALSE,FALSE,0.43009096896450866
2,FALSE,TRUE,0.07450331125827815
2,FALSE,FALSE,0.07714066777510097
3,FALSE,TRUE,0.014900662251655629
3,FALSE,FALSE,0.001794993376855773
4,FALSE,TRUE,0.001363459291001169
4,FALSE,FALSE,1.8071555274424646e-5
5,FALSE,TRUE,4.869497467861317e-4
5,FALSE,FALSE,1.438093038004954e-7
6,FALSE,TRUE,0
6,FALSE,FALSE,1.0792403711719022e-9
7,FALSE,TRUE,0
7,FALSE,FALSE,7.985353439882895e-12
8,FALSE,TRUE,0
8,FALSE,FALSE,5.888342628241353e-14
9,FALSE,TRUE,0
9,FALSE,FALSE,4.3384860307065527e-16
10,FALSE,TRUE,0
10,FALSE,FALSE,3.195940049525341e-18
