year,exit,observed,pct
1,TRUE,TRUE,0.034722222222222224
1,TRUE,FALSE,0.207435867095287
2,TRUE,TRUE,0.17456896551724138
2,TRUE,FALSE,0.13276432962193266
3,TRUE,TRUE,0.09794061302681993
3,TRUE,FALSE,0.035914981079866105
4,TRUE,TRUE,0.04310344827586207
4,TRUE,FALSE,0.0013467730525669537
5,TRUE,TRUE,0.011973180076628353
5,TRUE,FALSE,4.152043432869208e-6
6,TRUE,TRUE,0.0028735632183908046
6,TRUE,FALSE,1.0035879251988536e-9
7,TRUE,TRUE,4.7892720306513413e-4
7,TRUE,FALSE,2.2878442896442583e-14
8,TRUE,TRUE,2.3946360153256706e-4
8,TRUE,FALSE,6.63834526850383e-20
9,TRUE,TRUE,2.3946360153256706e-4
9,TRUE,FALSE,3.4566052058163344e-26
10,TRUE,TRUE,0
10,TRUE,FALSE,4.534067661756866e-33
1,FALSE,TRUE,0.08093869731800767
1,FALSE,FALSE,0.08260957635584498
2,FALSE,TRUE,0.34698275862068967
2,FALSE,FALSE,0.35801330792607294
3,FALSE,TRUE,0.1453544061302682
3,FALSE,FALSE,0.17176467205979679
4,FALSE,TRUE,0.04597701149425287
4,FALSE,FALSE,0.008068710527251038
5,FALSE,TRUE,0.011733716475095786
5,FALSE,FALSE,3.0414388974687435e-5
6,FALSE,TRUE,0.0011973180076628354
6,FALSE,FALSE,9.10941770853722e-9
7,FALSE,TRUE,0.0014367816091954023
7,FALSE,FALSE,2.6030588019191394e-13
8,FALSE,TRUE,0
8,FALSE,FALSE,9.522603677318543e-19
9,FALSE,TRUE,0
9,FALSE,FALSE,6.248303739654179e-25
10,FALSE,TRUE,2.3946360153256706e-4
10,FALSE,FALSE,1.0257973745913735e-31
